cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
fbf9ab6c5f53,A1BG,ZRSR2;MIOS,2,0.3289,exp01_bladder-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.52176,0.3376,0.84933,0.35979,,,,
d2c193b96bf1,A1BG-AS1,ZBTB46;LMO2;ZNF841,3,0.0853,exp01_bladder-coregtor-r1,0.38889,0.38889,0.38889,0.15194,0.63511,0.1603,0.49529,1.29135,0.47006,,,,
f8b45d589619,A2M,GLI3;ONECUT3,2,0.1424,exp01_bladder-coregtor-r1,0.33333,0.5,0.33333,0.0,0.99594,0.0,0.56065,1.59345,0.53514,,,,
d25f4f65ff2e,A2M-AS1,SOX10;ZNF133,2,0.2097,exp01_bladder-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.01154,0.51895,1.36358,0.51118,,,,
783002fa8415,A2ML1,FOXH1;RPL35,2,0.3445,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.28145,0.0,0.2316,0.26409,0.92434,0.21222,,,,
f89f4159be63,A2MP1,FOXD3;ZNF467,2,0.1866,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.64961,0.0,0.67592,0.73323,1.80388,0.69463,,,,
e80f48d970c4,A3GALT2,ZNF598;ZNF175,2,0.3913,exp01_bladder-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,0.52052,0.31007,0.77822,0.32295,,,,
f74da5d306ef,A4GALT,NPDC1;AR,2,0.1863,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.42463,0.0,0.56225,0.23097,0.41074,0.29986,,,,
1e1f3abe5800,A4GNT,HOXA10;METTL3,2,0.2675,exp01_bladder-coregtor-r1,0.5,0.5,0.5,19.72339,3.92853,3.27435,0.40265,1.34916,0.32864,,,,
8fcf3453acb8,AAAS,ZNF576;ZNF343;ZNF239,3,0.2517,exp01_bladder-coregtor-r1,0.38889,0.27778,0.33333,0.62026,0.0,0.0,0.90255,1.98467,0.83051,,,,
effd79a43a4a,AACS,ZC3H7A;ZNF462,2,0.4009,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.63701,1.18256,0.59944,,,,
e6a95baa7dea,AADAC,ZNF713;RXRG,2,0.416,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.66681,1.79663,0.63443,,,,
00a636872184,AADACL2,ZNF827;KDM2A,2,0.4548,exp01_bladder-coregtor-r1,0.5,0.5,0.5,3.32061,1.61835,3.17164,0.47545,1.54945,0.4171,,,,
eef161f97751,AADACL4,FOXN2;ZNF552,2,0.3641,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.82959,1.90757,0.82464,,,,
54b40ad9e72b,AADAT,ZNF280B;HDAC1,2,0.2935,exp01_bladder-coregtor-r1,0.33333,0.5,0.5,0.0,0.24247,1.33855,0.29892,0.87753,0.28501,,,,
88016b816618,AAGAB,TRIB3;TRIB2,2,0.2069,exp01_bladder-coregtor-r1,0.5,0.5,0.5,8.40524,23.77837,8.31261,0.62139,3.05996,0.55201,,,,
1fabb4b862c5,AAK1,ZNF561;ZNF624,2,0.1893,exp01_bladder-coregtor-r1,0.5,0.5,0.5,1.85724,2.73374,3.70824,0.93712,2.18913,0.92174,,,,
5ed026135e03,AAMDC,DGCR8;R3HDM2,2,0.1798,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.20811,0.0,1.06488,0.40705,0.84134,0.42841,,,,
360cd1b06f49,AAMP,ZNF622;ZNF324;ZNF3;PPP5C;KMT2B,5,0.1118,exp01_bladder-coregtor-r1,0.45,0.4,0.46667,1.25144,0.91978,2.94281,0.43253,1.04466,0.42113,,,,
e8c08d95495a,AANAT,ISL1;ZBTB6;DRAP1,3,0.2606,exp01_bladder-coregtor-r1,0.44444,0.38889,0.44444,1.2546,0.73377,1.1874,0.41179,1.35486,0.34958,,,,
4df5dcd02365,AAR2,ZNF536;ACO1;ZNF777;DPF2;HOXB7;TEAD3;DNTTIP1;ETS1,8,0.1672,exp01_bladder-coregtor-r1,0.47024,0.38095,0.47619,7.39424,0.91671,5.82149,0.47274,1.25784,0.44431,,,,
4b58508f4ec9,AARD,ZBTB7A;THOC2,2,0.2179,exp01_bladder-coregtor-r1,0.5,0.5,0.5,24.00123,0.75019,12.99546,0.37163,1.34557,0.26124,,,,
6983682e117a,AARS1,RBM42;TFE3;EEF1D,3,0.1121,exp01_bladder-coregtor-r1,0.5,0.5,0.5,8.94405,0.97395,6.89892,0.44275,0.98019,0.42692,,,,
1a899702d7c4,AARS2,ZNF785;IRF3;ZBTB48;E2F5,4,0.3285,exp01_bladder-coregtor-r1,0.5,0.38889,0.5,2.59926,1.02562,1.65013,0.63613,1.63971,0.59242,,,,
f5b966c6ddab,AARSD1,RXRB;LAS1L;UQCRB;ATF4,4,0.2125,exp01_bladder-coregtor-r1,0.47222,0.5,0.47222,1.06777,11.40897,1.74037,0.31379,1.01354,0.28561,,,,
ec1360b12606,AARSD1P1,SF1;SFPQ;GTF3A;ZNF596;ZNF26,5,0.0769,exp01_bladder-coregtor-r1,0.41667,0.45,0.45,9.86437,11.90986,13.49743,0.53053,1.2123,0.50804,,,,
6be64658de41,AASDH,BPTF;NFXL1;KDM5A;MGA,4,0.2099,exp01_bladder-coregtor-r1,0.5,0.55556,0.5,37.30823,16.90226,21.02399,0.58327,1.57459,0.5504,,,,
7c50e060111b,AASDHPPT,ZBTB1;RREB1,2,0.2694,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.95296,0.0,12.73176,0.57905,2.21401,0.43819,,,,
d6df61b33968,AASS,ZNF219;NR2F1,2,0.2365,exp01_bladder-coregtor-r1,0.5,0.5,0.5,25.9747,0.90858,5.49905,0.82631,2.42819,0.73927,,,,
557a3ca09220,AATBC,HOXB7;TP63,2,0.2858,exp01_bladder-coregtor-r1,0.5,0.5,0.33333,1.5367,2.90767,0.0,0.57443,1.74773,0.51813,,,,
acf64a59ac48,AATF,ZNF32;GATA5,2,0.255,exp01_bladder-coregtor-r1,0.33333,0.25,0.33333,0.0,0.0,0.0,0.62902,1.55923,0.61698,,,,
116612f2bc3c,AATK,SOX8;SOX10;RXRG;LMX1B,4,0.3443,exp01_bladder-coregtor-r1,0.44444,0.66667,0.38889,4.66055,9.15776,0.534,0.65704,2.24439,0.54426,,,,
4300fbfb47f9,ABAT,LEF1;PPARG,2,0.2559,exp01_bladder-coregtor-r1,0.5,0.5,0.5,12.42945,66.46746,8.77463,0.59002,2.52308,0.40034,,,,
8f6fd04cd6a1,ABCA1,NR2C1;ZNF548,2,0.3371,exp01_bladder-coregtor-r1,0.5,0.5,0.5,1.59605,1.91182,1.6445,0.67738,1.82822,0.63036,,,,
84e7a98f2e00,ABCA10,E2F3;CENPB,2,0.2701,exp01_bladder-coregtor-r1,0.5,0.5,0.5,0.49454,0.90801,0.47286,0.58867,1.52467,0.54241,,,,
695b5e785bec,ABCA11P,ZNF556;ZNF74,2,0.3642,exp01_bladder-coregtor-r1,0.5,0.5,0.5,1.62828,1.96949,1.57451,0.84329,1.99594,0.82435,,,,
3deaad2f9131,ABCA12,TPPP;ZNF772,2,0.3079,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,4.04489,0.0,3.93589,0.26565,0.58758,0.29237,,,,
13592cc2dd95,ABCA13,GTF2A2;RUNX3,2,0.3468,exp01_bladder-coregtor-r1,0.33333,0.5,0.33333,0.0,2.38339,0.0,0.4068,1.4783,0.31784,,,,
