cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
abaef2062d97,A1BG,IRF6;NR1I3;ILF2;ZNF581;NAP1L1;RORC;ZNF513;PCK2;MRPL2;GRHPR;ZNF695;CELF5;ZNF826P;ESRP2;GPANK1;DRAP1;NONO;ZNF48;HMG20B;SOX12;SOX4;POLE4;MED30;TCF7;ID1;SATB1;LYL1;PPP2R3B;MYB;NFYB;RUFY3;MELK;ZNF32;RNASEH2C;AKR1A1;LEF1;ATF5;ZNF334;WDR83;ZNF283;DBP;NAGS;ZNF688;CUX2;ETFB;STUB1;SPAG7;MTHFD1;BAD;ASCL2;ZNF444;GOT1;MYEF2;EEF1D;PTPMT1;CSNK2B,56,0.2923,exp01_blood-coregtor-r1,0.41293,0.39069,0.42235,2.13548,2.40594,2.90996,0.37729,0.97265,0.36735,,,,
57eb69ba8b3c,A1BG-AS1,ZNF671;FBXL19;FIZ1;HOMEZ;ZNF490;ZNF2;ZNF557;ZNF71;JRK;ZBTB42;ZNF740;ZNF416;ZNF836;ZBTB45,14,0.2606,exp01_blood-coregtor-r1,0.39652,0.36575,0.40293,2.08872,0.51267,1.43942,0.70223,1.59708,0.6703,,,,
e74b8f10408d,A2M,ZNF23;THAP5,2,0.5341,exp01_blood-coregtor-r1,0.5,0.25,0.5,2.01725,0.0,2.04011,0.68352,1.6208,0.625,,,,
7d462ee7ea7e,A2M-AS1,ZNF831;FUBP1;KMT2A;ZNF827;IKZF3;NELFA;MGA;HCFC1;SMARCC2;ZNF76;DAZAP1;HMGXB3;NR2C1;IVD;CELF6;GATAD1;ZBTB40;TAF6;KLRG1;CBFA2T2;HP1BP3;DNMT1;KDM2B;SOX13,24,0.1936,exp01_blood-coregtor-r1,0.4689,0.43841,0.48219,10.50196,5.77676,12.25065,0.40486,1.09164,0.3892,,,,
06b09537579f,A2ML1,EHF;ZNF646;ZNF746;OVOL1;ARNTL;PITX1;GLIS2;TFF3;ZNF213;E2F2;BANP;GTF3A;RXRB;ZSWIM1;KLF1;CELF6;ZNF687;CBX7;ZDHHC5;OTX1;ESRP2;NFYC;ZNF18;FAAP24;CYB5R1;CERS3;RARA;PPP1R10;TEAD2;ELF3;ZXDC;CERS5;ZNF396;SMAP2,34,0.0,exp01_blood-coregtor-r1,0.38577,0.37923,0.39498,1.73766,1.11762,1.32094,0.43786,1.05821,0.43736,,,,
0000eae576bf,A2MP1,ZNF831;SOX13;ZNF600;ZNF827;IKZF3;ZNF76;HOXC4;TBX21;GATAD1;KDM2B;KMT2A;ZNF335;PRDM15;IVD;HDAC8;DMAP1;HMGXB3;ADARB1;BRF1;ZNF598;KLRG1;SMARCC2;ZBTB40;ZNF142;NELFA;POLR3A;ZNF880;KLF12;METTL3;ZNF875;ZNF251;TERF2;HLCS;ILF3;ZNF500;ZNF853;SCMH1,37,0.3893,exp01_blood-coregtor-r1,0.38976,0.39427,0.44044,3.71329,3.48376,4.22774,0.42359,1.14375,0.40952,,,,
35980154ab74,A3GALT2,KDM4B;SMAP2;JDP2;GLIS2;ZXDC;TFEB;ZNF687;RARA;STK40;LCOR;ZNF746;RAB7A;STAT5B;ZNF396;TSC22D4;ZNF646;NFYC;EP300;CERS2;ZBTB34;GATAD2A,21,0.1826,exp01_blood-coregtor-r1,0.48095,0.42222,0.47698,5.31954,5.3613,3.56167,0.44765,1.16073,0.43144,,,,
a5731dc62e30,A4GALT,EZH2;PUM3;TEAD4,3,0.295,exp01_blood-coregtor-r1,0.5,0.66667,0.5,5.81699,8.44158,16.88983,0.38798,1.16561,0.3314,,,,
d5490f9cab96,AAAS,NOC2L;CXXC1;POLD2;ASPSCR1;LAS1L;PDCD11;TRMT1;RUVBL1;TIMM44;TAF6;GTF3C5;NELFA;DAZAP1;SSRP1;HINFP;IRF3,16,0.0,exp01_blood-coregtor-r1,0.5,0.51944,0.5125,16.30571,13.88647,17.90541,0.39034,1.17126,0.35125,,,,
f156c69477ac,AACS,NFX1;NONO;PARP1;PRDM15;POLR3A;ZNF343;TAF6;SREBF2;ZNF664;ABCF2;ZFP64;DNMT1;DAZAP1;RFX5;SCMH1;NOC2L;SSRP1;TGIF2;PPP5C;MTA3;HDAC8;ZNF48;CREB3L2;NNT,24,0.3021,exp01_blood-coregtor-r1,0.50181,0.46196,0.5157,12.97776,9.10753,11.22227,0.41885,1.17279,0.38645,,,,
abeb961c4997,AAGAB,ZNF623;ZNF619;TSN;TBP;NUP107;ZNF766;ZNF512;NUP133;UTP18;METTL3;ZNF37A;PDLIM5;SMC3;MIEF1;METTL14;CEBPG;PSMC2;SNRPB2;ILF2;ZNF510;ZNF761,21,0.0,exp01_blood-coregtor-r1,0.47063,0.44405,0.49206,8.63353,5.04291,11.00493,0.35614,0.9783,0.34864,,,,
a921cc3881d3,AAK1,FOXJ3;ZNF236;BPTF;OTUD4;TAF1;THOC2;POLR3A;SMARCC1;ELK4;LARP1;MGA;ZFP91;NFATC3;FUBP1;BBX;ZNF326;BDP1;ZKSCAN8;KMT2A;FOXK1;DHX36;PPARA;ZBTB40;MBD1;ZNF207,25,0.5024,exp01_blood-coregtor-r1,0.50333,0.46667,0.51389,14.61489,5.14005,14.24857,0.45637,1.28571,0.41178,,,,
a0f388f23c07,AAMDC,ID1;CFL2;PIR;ETFB;GPD1;GTF2A2;MESP1;AR;GOT1;ZNF34;RBFOX2;ESRP2;NFIB;ZNF433;RARB;ATF4;LYL1;STUB1;IRF6;DRAP1;SOD1;PSMC2;TRIP10;KLF15;MRPL2;ZNF415;BNC2;TEAD4;SALL2;DUSP26;ZNF596;HEY2;ZNF22,33,0.1803,exp01_blood-coregtor-r1,0.4345,0.4274,0.44997,1.92087,2.88147,2.932,0.37783,1.06855,0.35269,,,,
c3c7b39568ad,AAMP,TP53;ABCF2;NOC2L;ZNF500;ZFP64;APEX2;NELFB;PDCD11,8,0.0,exp01_blood-coregtor-r1,0.52976,0.51786,0.56548,18.32586,20.87014,17.25043,0.36309,0.90661,0.35874,,,,
c5fdd317a033,AANAT,ESR1;SREBF2,2,0.3294,exp01_blood-coregtor-r1,0.5,0.5,0.5,7.54282,34.65059,4.89051,0.56713,1.91594,0.46297,,,,
42220dd40cd0,AAR2,FIZ1;ZNF490;HOMEZ;ZNF71;ZNF689;MIEF1;ZNF622;CENPB;TIGD5;CSTF2,10,0.6713,exp01_blood-coregtor-r1,0.47037,0.39444,0.47407,3.75425,0.45086,2.01045,0.47708,1.0487,0.45648,,,,
ed0144ea476e,AARS1,MTHFD1;PARP1;GOT1;SSRP1;DNMT1;SND1;RUVBL1;APEX2;ZNF777;DAZAP1,10,0.5808,exp01_blood-coregtor-r1,0.52963,0.51111,0.53333,25.06176,18.94881,31.60549,0.35631,1.15247,0.30694,,,,
b7018f2e4fda,AARS2,NELFA;ZNF76;LAS1L;DAZAP1;SSRP1;DNMT1;HMGXB3;BRF1;NOC2L,9,0.0,exp01_blood-coregtor-r1,0.46759,0.46759,0.49537,15.63179,11.88649,14.83355,0.36473,1.05134,0.35909,,,,
