cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
896db5a4c9d5,A1BG,CREB3L2;RFX1,2,0.396,exp01_kidney_cortex-coregtor-r1,0.33333,0.5,0.33333,0.0,1.55866,0.0,0.7613,2.10975,0.70502,,,,
06bfc85a0b54,A1BG-AS1,MXD4;HOXC10,2,0.3421,exp01_kidney_cortex-coregtor-r1,0.5,0.33333,0.5,34.3106,0.0,1.99388,0.83015,2.09165,0.76823,,,,
bbbb24f622dd,A2M,MBNL2;JAZF1,2,0.2861,exp01_kidney_cortex-coregtor-r1,0.33333,0.5,0.33333,0.0,0.4449,0.0,0.59418,1.20572,0.59385,,,,
5052e47b8833,A2M-AS1,TRPS1;ETV1;CBFB,3,0.3228,exp01_kidney_cortex-coregtor-r1,0.5,0.5,0.44444,3.75459,5.95145,3.11483,0.69708,1.92893,0.62813,,,,
b98498f47307,A2ML1,ZNF700;HOXA2,2,0.3563,exp01_kidney_cortex-coregtor-r1,0.0,0.33333,0.0,0.0,0.0,0.0,0.73087,1.88996,0.69726,,,,
a03be137f562,A3GALT2,HNRNPUL1;YY2;MAF,3,0.3109,exp01_kidney_cortex-coregtor-r1,0.5,0.44444,0.5,3.03873,0.76945,3.49022,0.45079,1.15391,0.4513,,,,
465b9d2f3c3a,A4GALT,SND1;ZBTB42;RELA,3,0.1253,exp01_kidney_cortex-coregtor-r1,0.5,0.44444,0.5,6.90491,3.73377,7.53578,0.35734,0.96616,0.30521,,,,
4597532e2f42,A4GNT,ZNF799;HMX3,2,0.3721,exp01_kidney_cortex-coregtor-r1,0.33333,0.25,0.33333,0.0,0.0,0.0,0.7004,1.70626,0.72636,,,,
278d5ffca9b3,AAAS,ZNF384;ZNF184,2,0.3467,exp01_kidney_cortex-coregtor-r1,0.5,0.33333,0.5,1.90586,0.0,8.53125,0.87751,2.06535,0.86341,,,,
522e9bd6efcf,AACS,ELK1;SND1,2,0.302,exp01_kidney_cortex-coregtor-r1,0.5,0.33333,0.5,4.98696,0.0,3.83065,0.3475,0.9139,0.28122,,,,
4b0bf2f331c9,AADACL4,BNC1;CSTF2,2,0.3033,exp01_kidney_cortex-coregtor-r1,0.33333,0.5,0.33333,0.0,1.23814,0.0,0.32498,0.9059,0.29912,,,,
5f3e8ecf5092,AADAT,ZSCAN21;WT1,2,0.2708,exp01_kidney_cortex-coregtor-r1,0.5,0.33333,0.5,12.61895,0.0,14.60155,0.58788,2.07947,0.44335,,,,
7d14ba818915,AAGAB,SP1;YWHAZ,2,0.1372,exp01_kidney_cortex-coregtor-r1,0.5,0.5,0.5,38.66671,30.98265,23.04783,0.41156,1.4152,0.30888,,,,
ef09516444a3,AAK1,ZNF316;FOXK1,2,0.1745,exp01_kidney_cortex-coregtor-r1,0.5,0.33333,0.5,4.31431,0.0,9.38744,0.62402,1.61723,0.59675,,,,
b4b86021f07c,AAMDC,TIMM8A;RBM8A,2,0.1468,exp01_kidney_cortex-coregtor-r1,0.5,0.33333,0.5,12.70864,0.0,0.84516,0.20914,0.66708,0.21051,,,,
2d58f5bbc7e6,AAMP,ZNF628;STUB1,2,0.2567,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,0.91314,0.17869,0.47664,0.20795,,,,
26598cb9351d,AANAT,DGCR8;SKOR1,2,0.3451,exp01_kidney_cortex-coregtor-r1,0.33333,0.5,0.33333,0.0,0.68434,0.0,0.26008,0.73384,0.26296,,,,
c9b24d1b4726,AAR2,ZSCAN25;NOC2L,2,0.2153,exp01_kidney_cortex-coregtor-r1,0.5,0.5,0.5,21.66206,0.50971,16.53168,0.41438,0.94252,0.34537,,,,
cb475164e601,AARD,HNF4G;PPARA;ACAA1;HNF1A;ETFB;TFEC;VDR,7,0.2277,exp01_kidney_cortex-coregtor-r1,0.45238,0.4127,0.42857,2.93884,10.52015,2.21503,0.37397,1.21341,0.36473,,,,
551e544b096d,AARS1,CDC5L;DMAP1,2,0.2247,exp01_kidney_cortex-coregtor-r1,1.0,0.5,0.5,23.81841,9.20983,15.47965,0.56805,1.85372,0.43674,,,,
54596ac3aa37,AARS2,ZBTB1;ZNF875,2,0.1627,exp01_kidney_cortex-coregtor-r1,0.33333,0.5,0.5,0.0,2.24931,1.43146,0.43138,1.14465,0.40819,,,,
4bbdf17eeb79,AARSD1,SMUG1;ZNF7,2,0.1941,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.25298,0.50816,0.32585,,,,
5367d1656fed,AARSD1P1,ZNF253;ZNF829,2,0.5098,exp01_kidney_cortex-coregtor-r1,0.33333,0.5,0.5,0.0,1.86749,2.16464,0.9706,2.13399,0.9374,,,,
b46cc3d24296,AASDH,ZBTB12;ZXDC,2,0.2051,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.5605,1.47026,0.47366,,,,
98ec33548910,AASDHPPT,CNOT6;RAB18;STAU2;UBE2K;BBX;SNRPB2;UGP2;CANX;RAB7A;TIGD2;CCDC25;VAMP3;CHURC1;LCORL;TAF9;DNAJC21;ZNF189;TFAM;AGGF1;ZNF770;RBM7;SRP9,22,0.1997,exp01_kidney_cortex-coregtor-r1,0.46465,0.4062,0.48413,6.22464,2.42505,7.40639,0.31839,0.77541,0.31941,,,,
c64a9286a9c6,AASS,FLI1;ZNF394,2,0.2417,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.76563,1.84786,0.75068,,,,
7531bc422600,AATBC,ZNF404;CREB1,2,0.487,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.33779,0.92827,0.33409,,,,
32a0f8bac6d8,AATF,ZKSCAN8;HTATIP2,2,0.2284,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,0.45946,0.44919,0.89571,0.43758,,,,
6076aed46d3d,AATK,TBX15;E2F7,2,0.3134,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.77239,2.54633,0.67574,,,,
46f31e73d6b5,ABAT,CREBL2;ECSIT;IVD;PPARA;MAF;RBBP9;VDR;A1CF;GPD1;MSRA;GRHPR;PCK2;AHRR;SIM2;SIX3;ACAA1;AGMAT;DMRTA1;KCNIP1;ETFB;EIF5A2;CCDC25;ZGPAT;PRDM7;TBX1;UQCRB;TFAM;ZNF266;SRP9;CAT;SOD1;HNF4G;HNF4A;SUCLG1;AKR1A1;HNF1A;IRX3;YWHAE;FOXD4;GLYCTK;LMX1B;TIMM8A;HADHB;GRHL3;HES2;ZNF276;ZNF534;YEATS4;LBX2;PLG;NR1I2;VENTX;CUX1;ERG;ONECUT3;STUB1;SP140;NAGS,58,0.5608,exp01_kidney_cortex-coregtor-r1,0.41183,0.39307,0.42388,1.83146,3.65159,2.0293,0.3394,0.95822,0.33467,,,,
d695ae50362c,ABCA1,FOXF2;ZNF784,2,0.3144,exp01_kidney_cortex-coregtor-r1,0.33333,0.25,0.33333,0.0,0.0,0.0,0.55978,1.64157,0.54963,,,,
3ef83d108664,ABCA10,CNOT6;ZNF577;ZNF644,3,0.2057,exp01_kidney_cortex-coregtor-r1,0.38889,0.33333,0.38889,1.20842,0.0,1.56179,0.55745,1.32229,0.51478,,,,
b5413f70bc03,ABCA12,MIOS;HDAC2,2,0.3388,exp01_kidney_cortex-coregtor-r1,0.5,0.5,0.5,2.94144,0.13099,4.7215,0.2697,1.30387,0.18207,,,,
89926778f2ce,ABCA13,TAF6;SOX17,2,0.3287,exp01_kidney_cortex-coregtor-r1,0.5,0.5,0.5,1.57263,0.70281,2.37807,0.39552,1.32668,0.31882,,,,
2d4404de5445,ABCA2,CRTC2;ZNF362,2,0.2407,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,0.92091,0.3622,0.87151,0.34176,,,,
4d49bcec3c96,ABCA3,ZNF319;ZNF629,2,0.3972,exp01_kidney_cortex-coregtor-r1,0.5,0.33333,0.5,28.38116,0.0,6.03335,0.9389,1.91608,0.94796,,,,
d9dc27d94898,ABCA4,DNMT1;MAFK,2,0.6849,exp01_kidney_cortex-coregtor-r1,0.5,0.5,0.5,30.25545,8.99203,12.81371,0.45166,1.27002,0.40024,,,,
4222e16ef7f8,ABCA5,CREM;SP1,2,0.1589,exp01_kidney_cortex-coregtor-r1,0.5,1.0,0.5,20.95194,17.8333,9.10253,0.64646,2.02142,0.56828,,,,
3788f6511c27,ABCA6,GMEB1;ZNF655,2,0.3559,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.28901,0.73633,1.83699,0.68168,,,,
b7724a700a1c,ABCA7,RBFOX2;BATF,2,0.2109,exp01_kidney_cortex-coregtor-r1,0.5,0.5,0.33333,0.41178,0.90991,0.0,0.55732,1.73758,0.36825,,,,
5070f9920bd1,ABCA8,POU2F2;ZNF331,2,0.2801,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.70035,1.66954,0.69257,,,,
00d87cbb547d,ABCA9,PLAGL2;ATOH8,2,0.3465,exp01_kidney_cortex-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.54485,1.46877,0.50403,,,,
