cluster_uid,target,sources,n_sources,silhouette_score,note
4f1786cb51fd,A1BG,POLD2;ZNF404,2,0.1736,exp01_luad-coregtor-r1
cc6410f230bc,A1BG-AS1,ZNF439;ZSCAN18;ZIK1;ZNF382;ZNF497;ZNF667;PBX4;ZNF671,8,0.2903,exp01_luad-coregtor-r1
2c8624b403e6,A2M,TCF21;TBX4;ZNF366;PKNOX2;ERG,5,0.0,exp01_luad-coregtor-r1
8fc33c5d99f9,A2M-AS1,ADARB1;ZNF721,2,0.335,exp01_luad-coregtor-r1
dc4958b07ab2,A2ML1,ZNF76;SOX5,2,0.4236,exp01_luad-coregtor-r1
fd8e9291f6ea,A2MP1,ZNF546;ZNF483,2,0.1844,exp01_luad-coregtor-r1
7d50fa4dffcd,A4GALT,KLF16;ERF;MAFF;CENPB;ZNF385A;HIC1;ARID5A;SNAI1;SRF;JUNB;TWIST2;SP6;RELA;FOXD1;SOX18;GLIS2;ZNF787;ZNF358;IKZF5;ZNF484;ZNF573;HES2,22,0.1714,exp01_luad-coregtor-r1
96989126fb66,A4GNT,ZFP3;ALX4;TCF21,3,0.4343,exp01_luad-coregtor-r1
ab70e74c2b73,AAAS,SNRNP70;DAZAP1;ZNF335;E4F1;ASPSCR1;ARFGAP1;MXD3;ZNF692;ZNF768;PPP2R3B;ZBTB17;ZNF76,12,0.2434,exp01_luad-coregtor-r1
a9dfb1412218,AACS,ANXA1;TIMELESS;HES6;HNF1A;ASCL1;ZNF664;VAX2;SMUG1;CD59;TFF3;PHF8,11,0.3334,exp01_luad-coregtor-r1
f1dc53b41cd9,AADAC,GATA6;HMGB3;MYRF,3,0.2577,exp01_luad-coregtor-r1
c5820a21209c,AADACP1,ZFP28;KLF4,2,0.1892,exp01_luad-coregtor-r1
8c620553be5f,AADAT,ZNF589;POLI;ZNF491;ZNF10;ZNF682;RORB;ZNF620;ZNF44;RXRG;ZNF662,10,0.1659,exp01_luad-coregtor-r1
48260800c539,AAGAB,GTF2A2;SNAPC5;LARP4;TSN,4,0.3643,exp01_luad-coregtor-r1
652a3ba2c841,AAK1,DIABLO;ZNF267;ZNF564,3,0.1772,exp01_luad-coregtor-r1
136e6c490159,AAMDC,NXPH3;LARP1;E2F2;DACH1;AGMAT;LMO2,6,0.0836,exp01_luad-coregtor-r1
3a9ce07bbbb3,AAMP,NFAT5;E2F4,2,0.231,exp01_luad-coregtor-r1
