cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
4f1786cb51fd,A1BG,POLD2;ZNF404,2,0.1736,exp01_luad-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.33403,0.55301,0.40037,,,,
cc6410f230bc,A1BG-AS1,ZNF439;ZSCAN18;ZIK1;ZNF382;ZNF497;ZNF667;PBX4;ZNF671,8,0.2903,exp01_luad-coregtor-r1,0.3631,0.39583,0.36905,1.18302,0.87521,1.13363,0.871,2.03672,0.84089,,,,
2c8624b403e6,A2M,TCF21;TBX4;ZNF366;PKNOX2;ERG,5,0.0,exp01_luad-coregtor-r1,0.41667,0.4,0.36667,0.78583,1.40382,0.30828,0.57881,1.71528,0.52158,,,,
8fc33c5d99f9,A2M-AS1,ADARB1;ZNF721,2,0.335,exp01_luad-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.82307,0.2752,0.61977,0.28825,,,,
dc4958b07ab2,A2ML1,ZNF76;SOX5,2,0.4236,exp01_luad-coregtor-r1,0.5,0.5,0.5,4.52206,1.06089,4.59399,0.62289,1.70213,0.58925,,,,
fd8e9291f6ea,A2MP1,ZNF546;ZNF483,2,0.1844,exp01_luad-coregtor-r1,0.33333,0.5,0.33333,0.0,1.79869,0.0,1.0,2.39959,1.0,,,,
7d50fa4dffcd,A4GALT,KLF16;ERF;MAFF;CENPB;ZNF385A;HIC1;ARID5A;SNAI1;SRF;JUNB;TWIST2;SP6;RELA;FOXD1;SOX18;GLIS2;ZNF787;ZNF358;IKZF5;ZNF484;ZNF573;HES2,22,0.1714,exp01_luad-coregtor-r1,0.41955,0.38817,0.4329,2.00751,2.65488,1.77533,0.59894,1.71324,0.54499,,,,
96989126fb66,A4GNT,ZFP3;ALX4;TCF21,3,0.4343,exp01_luad-coregtor-r1,0.36111,0.38889,0.38889,0.60398,0.66917,0.65209,0.58229,1.71562,0.5325,,,,
ab70e74c2b73,AAAS,SNRNP70;DAZAP1;ZNF335;E4F1;ASPSCR1;ARFGAP1;MXD3;ZNF692;ZNF768;PPP2R3B;ZBTB17;ZNF76,12,0.2434,exp01_luad-coregtor-r1,0.43687,0.42929,0.45455,4.6703,1.73777,3.49417,0.46767,1.13951,0.45234,,,,
a9dfb1412218,AACS,ANXA1;TIMELESS;HES6;HNF1A;ASCL1;ZNF664;VAX2;SMUG1;CD59;TFF3;PHF8,11,0.3334,exp01_luad-coregtor-r1,0.4303,0.42576,0.44242,1.46467,2.09245,1.64018,0.34769,1.03249,0.32642,,,,
f1dc53b41cd9,AADAC,GATA6;HMGB3;MYRF,3,0.2577,exp01_luad-coregtor-r1,0.38889,0.44444,0.38889,1.18952,0.75215,2.29361,0.36703,1.17185,0.33431,,,,
c5820a21209c,AADACP1,ZFP28;KLF4,2,0.1892,exp01_luad-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.30997,0.39727,1.1531,0.35961,,,,
8c620553be5f,AADAT,ZNF589;POLI;ZNF491;ZNF10;ZNF682;RORB;ZNF620;ZNF44;RXRG;ZNF662,10,0.1659,exp01_luad-coregtor-r1,0.38704,0.40185,0.39259,0.8119,1.38875,0.90895,0.73032,1.76631,0.7065,,,,
48260800c539,AAGAB,GTF2A2;SNAPC5;LARP4;TSN,4,0.3643,exp01_luad-coregtor-r1,0.44444,0.5,0.47222,2.09493,10.81445,4.62109,0.42511,1.22108,0.38587,,,,
652a3ba2c841,AAK1,DIABLO;ZNF267;ZNF564,3,0.1772,exp01_luad-coregtor-r1,0.44444,0.38889,0.5,0.66787,0.86964,1.68908,0.42327,0.95944,0.42921,,,,
136e6c490159,AAMDC,NXPH3;LARP1;E2F2;DACH1;AGMAT;LMO2,6,0.0836,exp01_luad-coregtor-r1,0.46667,0.4,0.44444,0.68534,0.93974,0.85811,0.2646,0.76729,0.26111,,,,
3a9ce07bbbb3,AAMP,NFAT5;E2F4,2,0.231,exp01_luad-coregtor-r1,0.5,0.5,0.5,2.01885,8.93302,1.11441,0.68271,2.02122,0.65474,,,,
346c80affd97,AANAT,GIT2;HIF1A,2,0.2748,exp01_luad-coregtor-r1,0.5,0.5,0.5,1.41931,3.70374,1.81624,0.2054,0.83468,0.1835,,,,
66b6d1214a7f,AAR2,GTF2F1;ZNF736;XRCC1;ZNF207;ZNF622;NUCB1;ZNF800;GIT2;ZNF280D;LHX4;ZNF564;GTF3C5;SPAG7;REST;RELA;CENPB;CCNT2;ELK4;ZNF408;CNOT4;DPF2;FOXP1;PQBP1;ZNF451;KDM7A;ERF;JUND;POU2F1;ZNF410;BDP1;ECSIT;HDAC8;UBTF;HSPA5;ZNF148;UBXN1;IKZF2;LARP4;RUFY3;ZNF213;ZNF154;ZNF784;TSC22D4;ZNF91;ZNF789;HIRIP3;GRHPR;CLOCK;TRIM28;NFIB;DIABLO;PROX2;ZNF654;ZNF777;ZNF195;ZNF678;SNRPB2,57,0.1553,exp01_luad-coregtor-r1,0.43745,0.40367,0.45452,4.31348,2.27375,3.92305,0.42531,1.11753,0.40836,,,,
f41a03065b60,AARD,TCF21;CAT;TBX4;TAL1;FOXF1;ID4,6,0.2873,exp01_luad-coregtor-r1,0.43333,0.55556,0.43333,1.13688,6.16184,1.33324,0.44695,1.82858,0.33926,,,,
276c64947cff,AARS1,PARP1;TERF2;CENPBD1;SSRP1;E2F4;UBTF;ZNF687;HSPA5;SMARCA1;TIMELESS,10,0.2242,exp01_luad-coregtor-r1,0.45556,0.54815,0.52222,27.06494,24.47538,30.30481,0.31439,1.10823,0.26004,,,,
216d6019ab40,AARS2,ILF3;ZNF335;UBTF;SNAPC4;SNRNP70;ZBTB12;FBXL19;RXRB;ZNF316;DAZAP1;ZNF76;DNMT3A;PRDM15;ZNF212;ZNF707;KMT2B,16,0.3709,exp01_luad-coregtor-r1,0.4625,0.45764,0.49028,7.33048,4.45947,7.70224,0.50025,1.35377,0.45786,,,,
3338904a90d0,AARSD1,ZNF789;IRF9;MZF1;ZNF692;CREBZF;RPS10;ZNF337;ZNF514;GLI4;LHX4;DMAP1;ZNF410,12,0.2639,exp01_luad-coregtor-r1,0.41793,0.375,0.43687,2.07305,0.30143,1.85234,0.66789,1.61745,0.64014,,,,
eff9b93fd1d4,AARSD1P1,PKM;ZNF169,2,0.3116,exp01_luad-coregtor-r1,0.5,0.5,0.5,0.71376,1.46754,1.30267,0.38878,0.90755,0.33728,,,,
b885a0d7d286,AASDH,CLOCK;ZZZ3;METTL14,3,0.1592,exp01_luad-coregtor-r1,0.5,0.5,0.5,12.21779,5.00584,2.10207,0.40513,1.39187,0.31651,,,,
ffde345805b2,AASDHPPT,ATF2;ZFP91,2,0.2289,exp01_luad-coregtor-r1,0.5,0.5,0.5,0.95929,1.12479,2.02666,0.42858,1.30195,0.36824,,,,
708776ce1517,AASS,NFIA;ZFP92,2,0.1565,exp01_luad-coregtor-r1,0.0,0.33333,0.33333,0.0,0.0,0.0,0.5759,1.55131,0.53721,,,,
abf46ddf1ccd,AATBC,ZNF490;NKX2-1;ZBTB48;ZNF337;ZNF846;ZNF514;ZNF324B;PRDM15;ZNF814;MRPS25;LDB1;PHF12;ZNF354B;ZNF589;ZNF70,15,0.1482,exp01_luad-coregtor-r1,0.43175,0.38175,0.43968,2.71013,0.81527,2.73406,0.61924,1.56317,0.59546,,,,
d4c9568bc147,AATF,UBTF;FBXL19;ZNF282;CNOT3;SSRP1;NFE2L1;LAS1L;TCF3;NOC2L;ZNF768;FOXK2;GAR1;GTF3C2;NELFA;SRF;TIMELESS;HSPA5,17,0.2344,exp01_luad-coregtor-r1,0.50368,0.4951,0.51471,15.75885,7.33804,13.58807,0.39998,1.23292,0.34977,,,,
3d15c28c50ea,AATK,ATOH8;ZBTB4;MELK;SMAD6;STAT6;ACAA1;TIMM8A;RFC2,8,0.2957,exp01_luad-coregtor-r1,0.41071,0.42857,0.41071,1.25912,2.7636,0.97403,0.31566,0.939,0.29779,,,,
1f6c773d2549,ABAT,NFIX;AVEN;RAN;IRX5;NCALD;ZC3H7A;PRDM16;TPI1,8,0.0803,exp01_luad-coregtor-r1,0.46429,0.44048,0.48214,3.03476,1.96731,5.23492,0.2962,0.75634,0.30383,,,,
803ce8b8c013,ABCA1,ZEB2;GIT2,2,0.6196,exp01_luad-coregtor-r1,0.5,0.5,0.5,2.70935,0.61137,5.24336,0.28713,0.97342,0.25816,,,,
0ad7b7247d06,ABCA10,TPI1;MEIS1;ILF2;RORA;ENO1;NME1;P4HB,7,0.1879,exp01_luad-coregtor-r1,0.55556,0.63492,0.51587,26.04363,33.23182,33.86583,0.35654,1.13117,0.31821,,,,
8830f2a36bfb,ABCA11P,ZNF808;PROX2,2,0.2214,exp01_luad-coregtor-r1,0.0,0.25,0.0,0.0,0.0,0.0,0.64622,2.28545,0.51556,,,,
649ce2bb3837,ABCA12,MELK;TFAP2A;E2F8;HNF4G;DMBX1;IKZF2;CERS6;BRCA1;CAT;FOXM1;DTL;ONECUT1,12,0.1636,exp01_luad-coregtor-r1,0.43561,0.53914,0.44444,2.07253,30.54684,3.02638,0.40142,1.25018,0.36925,,,,
a5c713199058,ABCA13,ZNF440;ESRRG;TP63;FANK1;RFX3;GLIS3,6,0.174,exp01_luad-coregtor-r1,0.42222,0.43333,0.41111,0.94388,1.00034,0.68701,0.57894,1.53515,0.54567,,,,
5138ed66609c,ABCA17P,TBX19;ZNF600;ZNF732,3,0.2463,exp01_luad-coregtor-r1,0.38889,0.33333,0.38889,1.10064,0.83032,1.06157,0.71173,1.75392,0.67869,,,,
367274ac8146,ABCA2,SNAPC4;RFX1;ZNF710;ABL1;NCOR2;CIC;KDM4B;AHDC1;HCFC1;KMT2B;MEF2D;MAFK;ZBTB47;GMEB2,14,0.1834,exp01_luad-coregtor-r1,0.48718,0.47527,0.49267,10.45891,5.86387,10.42035,0.49501,1.25657,0.4762,,,,
33beb9550ae4,ABCA3,NKX2-1;ATOH8;TCF21;ZBTB16;HLF;IRX2;NFIX;PRDM16;IRX1;CAT,10,0.2124,exp01_luad-coregtor-r1,0.39074,0.45185,0.40926,1.37078,2.60618,2.02975,0.55382,1.846,0.48177,,,,
db2390496d72,ABCA4,PPARGC1A;HOXD1;MESP2;GRHL3;RUNX1,5,0.3443,exp01_luad-coregtor-r1,0.375,0.45,0.38333,1.60877,7.03561,1.534,0.5642,1.74153,0.50177,,,,
b48527d38ecc,ABCA5,ZNF224;CLK1;SCAND2P;ZNF333;ZNF780B;ZNF410;ZNF44;RUFY3;NR2C1;ZNF326;RFX3;ZBTB25;ZNF10;ZNF440;RORA;ZNF782;ZNF662;POLI;ZNF700;UBE2V1;HMBOX1;ZBTB40,22,0.2137,exp01_luad-coregtor-r1,0.34235,0.3456,0.34488,0.93446,0.73811,0.96915,0.56449,1.38092,0.5469,,,,
8bf4c85ad579,ABCA6,ZEB2;ZEB1;PGR;FLI1;ZNF366;MYLK,6,0.0,exp01_luad-coregtor-r1,0.48889,0.55556,0.45556,7.09605,23.07929,7.13739,0.49454,1.44711,0.44909,,,,
a4757f185195,ABCA7,SNRNP70;ZGPAT;HSF4;SNAPC4;ARFGAP1;ZNF316;E4F1;KDM4B;ZNF692;ZBTB48;DAZAP1,11,0.285,exp01_luad-coregtor-r1,0.45455,0.50303,0.47576,5.46176,2.67718,5.36946,0.45517,1.11265,0.45009,,,,
54106a63f2e2,ABCA8,TAL1;PKNOX2;TCF21,3,0.4662,exp01_luad-coregtor-r1,0.38889,0.5,0.44444,1.44459,4.57128,1.77855,0.55333,1.79461,0.48973,,,,
98d55f06bc40,ABCA9,ZEB2;MEIS1;ZEB1;FLI1;PGR;TPI1;PEG3;RORA;NME1;TCF4,10,0.3521,exp01_luad-coregtor-r1,0.48519,0.56667,0.47037,4.95334,15.55015,5.39632,0.47287,1.41135,0.4368,,,,
