cluster_uid,target,sources,n_sources,silhouette_score,note
56c922588186,A1BG,ZNF580;ZNF311,2,0.3255,exp01_muscle_skeletal-coregtor-r1
151eac145ba2,A1BG-AS1,CERS5;SNAI2,2,0.2076,exp01_muscle_skeletal-coregtor-r1
f7a9975d8789,A2M,AHR;MEIS2,2,0.3726,exp01_muscle_skeletal-coregtor-r1
bdfb81498e86,A2M-AS1,ZFP14;MEOX2;CERS5;EBF2;ZFP82;ZNF251;PLAGL1;ZNF177,8,0.2345,exp01_muscle_skeletal-coregtor-r1
1e8014526b73,A2ML1,POU3F1;IRF4,2,0.6259,exp01_muscle_skeletal-coregtor-r1
706a1f0cd18b,A4GALT,PML;BATF3;CERS2,3,0.1871,exp01_muscle_skeletal-coregtor-r1
c417e983630d,AAAS,DMAP1;IRF3;ZNF691;ATF6B;ZNF585A;ZNF785;ZNF471;LAS1L;XRCC1;STAT2;CERS5;CNOT3;ZNF414;POLD2;AKR1A1;METTL3;ZFP62;CREB3L4;CARF;TFCP2;SNRNP70;ZNF337;RXRB;SND1;MTA3;MZF1;CELF6;ZSCAN26;ZNF506;HSF4,30,0.0,exp01_muscle_skeletal-coregtor-r1
b59af5ff0851,AACS,ETV7;ZBTB7B,2,0.3496,exp01_muscle_skeletal-coregtor-r1
e2a2fbe178a4,AADAT,PRDM5;ZNF519;ZNF518A;MTF2;ZNF589;ZNF789;CREB1;ZNF559;ZNF445;MEOX2;HHAT,11,0.3043,exp01_muscle_skeletal-coregtor-r1
b8a4849d81f9,AAGAB,SNAPC5;ABCF2;CANX;USP39;PSMA6;RAN;NCBP2;PSMC2;PPP5C;TAF9;YWHAE;ACO1;APEX2,13,0.5009,exp01_muscle_skeletal-coregtor-r1
8763a7efcb75,AAK1,CBFB;AHCTF1,2,0.324,exp01_muscle_skeletal-coregtor-r1
4ddca05cb3bc,AAMDC,SSRP1;ZNF598;CBFB;NAP1L1;HTATIP2,5,0.0,exp01_muscle_skeletal-coregtor-r1
0546863590a7,AAMP,RBM42;NOC2L;CPSF4;SND1;CSNK2B;NELFB;ASPSCR1;TRMT1;XRCC1,9,0.0,exp01_muscle_skeletal-coregtor-r1
226bc5f00fbd,AANAT,ZNF276;ZSCAN22,2,0.1542,exp01_muscle_skeletal-coregtor-r1
d982144ee393,AAR2,TBP;ZNF766;FIP1L1;ZNF746;ZNF646;ZNF317;ZNF7;ILF2;DPF2;ZNF384;ZNF394;RELA,12,0.5034,exp01_muscle_skeletal-coregtor-r1
80a78d2ced60,AARS1,ATF5;TWIST2;RFX2;ZNF761;PTCD1;DDIT3;ZNF565;TAF6;ZBTB33;CEBPG;ZDHHC5;BANP;HOXB5;ZNF142;MIEF1;ZNF547;ZBTB16;ATF4;TFE3;NFYA;TIMM44;ILF3;ZBTB48;MBD1,24,0.316,exp01_muscle_skeletal-coregtor-r1
7cc4756185de,AARS2,GLI4;ZNF44,2,0.2052,exp01_muscle_skeletal-coregtor-r1
800456105073,AARSD1,POLD2;CSNK2B;SND1;RUVBL1;ASPSCR1;MTHFD1;NOC2L;TRMT1;RFC2;TP53;ZNF691,11,0.2279,exp01_muscle_skeletal-coregtor-r1
dd5aee0b27f7,AARSD1P1,ZNF665;CREBZF,2,0.2022,exp01_muscle_skeletal-coregtor-r1
410a3a889a3a,AASDH,TFCP2;ZNF569;METTL14;RBAK;CSTF2;TIA1;ZNF175;GTF2H3;ZNF397;ZNF527;GIT2;CDC5L;MGA;CNOT6;ZNF616;ZNF518A,16,0.3279,exp01_muscle_skeletal-coregtor-r1
59a676d42a23,AASDHPPT,SRP9;MBTPS2;NCOA2;RAB18;TSN;ZXDB;CDC5L;NF1;ZNF33A;ZNF91,10,0.0,exp01_muscle_skeletal-coregtor-r1
4a4dd961c6a9,AASS,HNRNPA1;HOMEZ;ADNP2;ZNF362;MSX2;TRIM69;ZNF771;SPR;FOXN3;ZNF791;KLF15;ZNF282;KAT7;ZNF197;DIS3;TFDP2;SIX6;TSC22D4;ZNF367;ZNF669;ZNF550;ARG1;ZNF689;ZNF222;BRF2;DHX36;ZNF274;ZNF773;PSMC2;ZNF844;ZNF227;MED30;GTF2IRD1;POU2F2;RBM3;SFPQ;VPS4B,37,0.1506,exp01_muscle_skeletal-coregtor-r1
8e679e24d7c2,AATBC,GTF2F1;ZSCAN22,2,0.1728,exp01_muscle_skeletal-coregtor-r1
4be25ef47ba9,AATF,SSRP1;NOC2L;ABCF2,3,0.0,exp01_muscle_skeletal-coregtor-r1
e75d1efeca52,AATK,SOX10;KIF22;HIC1;POU3F2;POU3F1;TCF3;NR2F1;LARP1;PRDM16;TCF7L1;TCEAL2;CBFA2T2;GLIS2;EXO5;ZNF536;FOXC1;MAZ;THAP11;ZNF624;ID4;SP3;FOXC2;ZNF174;FOXD1;ZNF232;ERF;GOT1;NXPH3;MEOX2;PRDM6;RORB;ID2;FOXF1;SMAD6;RBM17;UBP1;SOX2;FEZ1;MYRF;ETV1;ZNF639;ZNF677;HOXC4;FOXD3;DDX43;SOX5;ZNF71;PRDM4;GLI1;ERG;GLI2;GATA6;ZEB2;HHEX;NR2F2;PBX2;PPARGC1A;HIRIP3,58,0.0,exp01_muscle_skeletal-coregtor-r1
f89e5b0c1485,ABAT,ZNF700;ARID5A;ZSCAN12,3,0.1707,exp01_muscle_skeletal-coregtor-r1
2db37a7d5d60,ABCA1,FUBP1;HNRNPA1;RBPJ;KDM4C;ZNF595;LAS1L;ZNF337;ZNF26;TAF1;SP110;NUP107;MDM2;ZNF700,13,0.4521,exp01_muscle_skeletal-coregtor-r1
4f8d0914e487,ABCA10,POU6F1;TBX19;ZNF224;CERS5;SHOX2;IRF3;HOXB3;ZNF571;PHF21A;MEF2B;HMBOX1;NRF1;MXD4;HSF4;KLF8;ZNF595;CNOT3;CREBZF;MXD3;EBF3;ZNF266;HMGB1;GATAD1;SNRNP70;TFAP4;SP100;ZNF577,27,0.1661,exp01_muscle_skeletal-coregtor-r1
2995535a70e3,ABCA2,TCF3;STAT2;SMARCC2;ZNF514;HMG20B;CNOT3;CTBP1;IRF3;RXRB;AKR1A1;MXD4;CBFA2T2;XRCC1;ING4;PHF21A;MTA3;ZNF692,17,0.1762,exp01_muscle_skeletal-coregtor-r1
f036aeaf8e93,ABCA3,TCF3;ZNF496;STAT5B;DNMT1;FOXP4;NELFB;CBX7;DNTTIP1;SMARCC2;ZNF324;MBD2,11,0.2012,exp01_muscle_skeletal-coregtor-r1
f1b36eb7b745,ABCA4,ZFP69;HLX,2,0.3198,exp01_muscle_skeletal-coregtor-r1
fee09e4cd5f1,ABCA5,NFX1;KDM4C;ZNF595;HMGB1;DIDO1;RBPJ;HNRNPA1;FOXP2;FUBP1;GATAD1;NUP133;ZNF33B;IKZF5;ZNF706;TP63;HCFC2;U2AF1;RFX3;PHF21A;GTPBP1,20,0.347,exp01_muscle_skeletal-coregtor-r1
03c49447063b,ABCA6,TBX19;SHOX2;ZNF621;ZNF224;GATAD1;STAT6;RUNX2;CREBL2;NFATC4;LDB1;TBX18;NR1H3,12,0.2807,exp01_muscle_skeletal-coregtor-r1
0e0623dd74d2,ABCA7,CNOT3;IRF3;ZNF692;STAT2;CREB3L4;ZNF785;TFAP4;ZNF276;HMG20B;PHF21A,10,0.3205,exp01_muscle_skeletal-coregtor-r1
b9cab32d6b9b,ABCA8,PLAGL1;EBF3;EBF2;FREM1;TCF4;TCF7L2;ZNF709;ZNF704;ETV1;MEOX2;SOX10;ZNF624;ZNF354C;CBFA2T2;AHR;EBF1;SOX4;ZBTB14;ZNF251;TCF3;KMT2A;ZNF665,22,0.0,exp01_muscle_skeletal-coregtor-r1
c61e3f8cd9ec,ABCA9,CNOT3;TBX19;SHOX2;ZNF224;WDR83;NR1H3;PHF21A;HLX;STAT6;NFE2L3;CXXC1;POLI;STAT2;MEF2B;ZNF621;HMBOX1;ZNF571;EBF3;GATAD1;KLF8;ZNF182;IRF3;ZNF836;ZNF785;CREBL2;POU6F1;ZNF230,27,0.1282,exp01_muscle_skeletal-coregtor-r1
d9b00700d3d1,ABCB1,RBMS1;HNRNPLL;KLF4,3,0.2861,exp01_muscle_skeletal-coregtor-r1
49bea6d222d6,ABCB10,SMAD4;CLOCK;ZBTB41;OTUD4;ZBTB44;ZFP91;PDS5A;ZBTB11;ZNF184;NCOA1;SP3;ZNF639;ZBTB6;RCOR1;LARP4;SMAD5,16,0.2836,exp01_muscle_skeletal-coregtor-r1
21767d6b6a8b,ABCB4,HMGB3;TAL2;ZNF598,3,0.5017,exp01_muscle_skeletal-coregtor-r1
b76e8514cb40,ABCB6,MAZ;PIR;TAF6;HIRIP3;STK40;NFE2L1;MAFG;HMGA1;ZNF592;ZNF48;UBTF;CENPB;SMARCC2;ZNF174;RXRB,15,0.3942,exp01_muscle_skeletal-coregtor-r1
389c03ffa754,ABCB7,NUP133;ZNF280D;ZNF16;ZNF561;HMGB2;ZNF595;R3HDM2;ZNF7;MLLT10;FOXP2;GATAD1;ZNF91;TAF1;NFX1,14,0.2379,exp01_muscle_skeletal-coregtor-r1
1afc6cba61a9,ABCB8,HDAC8;PPP5C;HMG20B;RFXANK;ZNF414;TRMT1;ATF6B;RUVBL1;ZNF785;CTBP1;AKR1A1;HDAC2;GLI4;ZNF513;ZNF320;ZNF623;STAT2,17,0.1475,exp01_muscle_skeletal-coregtor-r1
0cd4cce9d329,ABCB9,ZNF177;ZNF251;IRF3;ZNF875;LAS1L;ZNF101;ZNF785;ZNF329,8,0.2788,exp01_muscle_skeletal-coregtor-r1
50b03c65d523,ABCC1,DHX36;ZFHX3;RXRA;MIOS;VEZF1;PSMD12;FOXK2;ATOH8;ZNF622;MLXIPL;NFATC3;KDM4B,12,0.5096,exp01_muscle_skeletal-coregtor-r1
aa50290019a7,ABCC10,NELFB;GIT2;CXXC1;ATF6B;TIMELESS;ZNF785;TAF6,7,0.2953,exp01_muscle_skeletal-coregtor-r1
63c10dcaae64,ABCC11,EGR3;SNAI1,2,0.2525,exp01_muscle_skeletal-coregtor-r1
45f4c2b83d82,ABCC12,LTF;OLIG1,2,0.1636,exp01_muscle_skeletal-coregtor-r1
4430cf243224,ABCC2,ZBTB40;TFAP2E;ZNF131;ZNF335;NFE2L3;CXXC1;HP1BP3;THRA;PICK1;THAP11;LMO2;MAFG;TOB2;FOXP4;PRDM10;CELF6;MAZ;SIX4;ZNF664;ZFP2;DGCR8;PDS5A;ZBTB11;PHF1,24,0.2339,exp01_muscle_skeletal-coregtor-r1
c14a98059c86,ABCC3,NMRAL1;ZNF676,2,0.3663,exp01_muscle_skeletal-coregtor-r1
99f9e064b7f7,ABCC4,CANX;SMARCC1;NFKB1;ZNF655;RB1;ZNF33A;PRDM11;ARNT;NAP1L1,9,0.1793,exp01_muscle_skeletal-coregtor-r1
56a879034c6d,ABCC5,FUBP1;ZNF595;MRPS25;ZC3H7A;ETS2;ZNF326;PHF8;ARFGAP1;CEBPD;GTPBP1;SFPQ;ZNF529,12,0.3107,exp01_muscle_skeletal-coregtor-r1
74b2eed80b88,ABCC6,NR1I3;HOXB2;ZNF169;NNT;ZNF467;TET1;PKM;AKR1A1;HLTF;AR;NR3C2;HMGB3;RBM8A;PDCD11;EZR;GTF3C2,16,0.212,exp01_muscle_skeletal-coregtor-r1
ceb74f448ae8,ABCC8,EZR;ZBTB8A,2,0.3256,exp01_muscle_skeletal-coregtor-r1
128854cbddc2,ABCC9,KDM4C;TCF12;RB1;RBPJ;NF1;RAD21;MLLT10;NUP133;ZNF280D;KDM7A;MXI1;RAB2A;ZNF451;RFX3;PHF21A;CAT;THOC2;HCFC2;SMARCC2;TAF1;SMARCA5;SMAP2;NCOA2;ZNF91;STAT5A;ZBTB16;RNF138;FOXP1;FOXP2,29,0.2147,exp01_muscle_skeletal-coregtor-r1
c2b52977d1b5,ABCD1,ZNF219;CENPB;ZNF174;STK40;ZNF48;NR1H2;DRAP1,7,0.0,exp01_muscle_skeletal-coregtor-r1
cfac31fde315,ABCD2,ZNF621;ZNF707,2,0.2739,exp01_muscle_skeletal-coregtor-r1
16c2d100ac93,ABCD3,CLOCK;PIK3C3;ZNF438;ZKSCAN5;ZBTB41;RB1;GTF2A1;ZFP91,8,0.363,exp01_muscle_skeletal-coregtor-r1
489de14fbcc7,ABCD4,IRF3;CERS5;STAT2;ZNF177;ZNF251,5,0.0,exp01_muscle_skeletal-coregtor-r1
c534d5e8d40c,ABCE1,ATF6;PUM3;ZNF146;UBE2K;ZNF800;PDCD11;CEBPZ,7,0.0,exp01_muscle_skeletal-coregtor-r1
edda55b93efa,ABCF1,ABCF2;ILF3;SSRP1;NOC2L;CANX,5,0.0,exp01_muscle_skeletal-coregtor-r1
21a277eb8386,ABCF3,TBP;ZDHHC5;RBBP5;PTCD1;PDCD11;TIMM44;APEX2;RCOR1;RIOK2;MIEF1;TERF2,11,0.4724,exp01_muscle_skeletal-coregtor-r1
28971b66ee42,ABCG1,DNTTIP1;ZNF337;FUBP1;HNRNPA1;CSNK2B;KDM4C;DIDO1;HMGB2;ZNF606;SREBF1;CHD2;ZNF595;LDB1,13,0.2267,exp01_muscle_skeletal-coregtor-r1
583f60b91649,ABCG2,TBX18;ZFP14,2,0.2505,exp01_muscle_skeletal-coregtor-r1
1282293d6dc5,ABCG4,CXXC5;FOXC1,2,0.2031,exp01_muscle_skeletal-coregtor-r1
c958941dd411,ABHD1,ZNF449;RPS6KA5,2,0.2168,exp01_muscle_skeletal-coregtor-r1
77cb01c168b9,ABHD10,ZNF780B;ZNF519;ZXDA;RBFOX2,4,0.0,exp01_muscle_skeletal-coregtor-r1
3f089c4a7aee,ABHD11,MRPL2;ACAA1;GRHPR,3,0.0,exp01_muscle_skeletal-coregtor-r1
892de7c65e88,ABHD12,ATF6B;RBM42;APEX2;USF1;SIRT6;ZSCAN16;GTF2F1;GTF3C5;ZNF580;WDR83;PCK2;ZBTB45;ZNF18;ZGPAT;DNMT1;HMG20B,16,0.3028,exp01_muscle_skeletal-coregtor-r1
0cd218cea291,ABHD13,GABPA;ZBTB33;ZNF24;ZBTB41;SOCS4;ELK4;UBE2K;CLOCK;ZBTB6;SP3;MYNN;ZNF800;ZZZ3;ETV3,14,0.0,exp01_muscle_skeletal-coregtor-r1
d2d41785a5fd,ABHD14A,ZNF575;TAL2;CBFB;PRDX5;DHX36;CPTP;HMGB3;SSRP1,8,0.0,exp01_muscle_skeletal-coregtor-r1
719baaf4283b,ABHD14B,CERS5;ZNF785;IRF3;ZNF836;DMAP1;ZNF251;ATF6B,7,0.4815,exp01_muscle_skeletal-coregtor-r1
1cef916c7550,ABHD15,ZNF48;DNMT1;RPP25;APEX2;ZNF18;ZBTB1;ZNF813;SATB2;SMUG1;ZNF765;USF1;ZKSCAN5;GIT2;ZNF621;ZNF75D;ZNF286A;ZNF668;FAAP24;ZNF174;IRF5;ZSCAN16;EXOSC3,22,0.1211,exp01_muscle_skeletal-coregtor-r1
fab0198e266d,ABHD16A,FOXP1;FOXP2;HBP1;HMGB2;GTF2B;DNTTIP1,6,0.3159,exp01_muscle_skeletal-coregtor-r1
79df906ded26,ABHD17A,STUB1;ZNF575;PPP2R3B;JUND;ACAA1;HIC1;MAGEF1;ZFP41;PRDX5;GRHPR;SPAG7,11,0.0,exp01_muscle_skeletal-coregtor-r1
067d9c8abf7e,ABHD17AP1,SNRNP70;ZNF793;FANK1;KLRG1,4,0.227,exp01_muscle_skeletal-coregtor-r1
f02fa69ec198,ABHD17B,TIGD7;MYF6,2,0.2185,exp01_muscle_skeletal-coregtor-r1
caf33fbf067f,ABHD17C,SNRPB2;ZNF267,2,0.1982,exp01_muscle_skeletal-coregtor-r1
5805f14d1d8c,ABHD18,ZNF780B;ZNF808;ZNF253;KLF12;LCOR,5,0.0,exp01_muscle_skeletal-coregtor-r1
d317983848de,ABHD2,ZBTB7B;E2F3;PPARD;TBX15;RREB1;POLR2A;FOXK2;RUNX1;ZNF70,9,0.294,exp01_muscle_skeletal-coregtor-r1
d123424c2f5c,ABHD3,ZNF177;ZNF471;CERS5;IRF3;STAT2;CARF;ZNF577;DMAP1;ZNF514;ZNF785;ZNF251;MSI2;ZNF780B;ZNF431;AHDC1;ZNF283;ZNF337;ZNF559;ZNF540,19,0.1328,exp01_muscle_skeletal-coregtor-r1
4a3110b48bbc,ABHD4,MAFG;HTATIP2,2,0.0,exp01_muscle_skeletal-coregtor-r1
2f36d97ef7ba,ABHD5,ZNF770;UBE2K;CEBPZ;FOXK2;PSMD12;ZNF24;ZBTB33;MTF1;CBFB;LARP4;ZBTB43;PDS5A;PRDM4;ZBTB24;RBBP5;ATF6;VEZF1;ZSCAN29,18,0.3339,exp01_muscle_skeletal-coregtor-r1
b7f69fdfc3c7,ABHD6,MAFB;DEAF1;NAP1L1,3,0.1952,exp01_muscle_skeletal-coregtor-r1
bc83d236be1a,ABHD8,MYPOP;ZBTB17;ZNF768;FIZ1,4,0.5255,exp01_muscle_skeletal-coregtor-r1
56abe1746498,ABI1,RAB14;GIT2;FIP1L1;TCF12;SMAD2,5,0.4417,exp01_muscle_skeletal-coregtor-r1
98e39433e067,ABI2,TCF4;ELK3;TRPS1;ZFP90;CTNNB1;RBMS1;ZEB2;ZNF521;GLI3;ATF2;PLAGL1;CREB1;EBF2;AHR;EBF3;ZDHHC15;LUZP1;PEG3,18,0.2956,exp01_muscle_skeletal-coregtor-r1
6e6928b29347,ABI3,NPDC1;LYL1;ELF4;DAB2;STAT6;ETS1;ELK3;FLI1;TAGLN2;ZNF467;HOXB4;SOX18;LHX6;BCL6B;NFATC4;MEIS3;CREB3L1,17,0.5057,exp01_muscle_skeletal-coregtor-r1
d6e1952f9abe,ABI3BP,HIF1A;PEG3,2,0.4195,exp01_muscle_skeletal-coregtor-r1
d909698f3102,ABITRAM,PTCD1;USP39;RBBP5;CANX;CCDC25;ZKSCAN5;ZDHHC5,7,0.2678,exp01_muscle_skeletal-coregtor-r1
65e749217997,ABL2,RBMS1;KDM5A;CTNNB1;CERS2;ATF6;HIF1A;RAB14;BBX;DAB2;TCF12;CREB1;RBPJ;ZNF12,13,0.2753,exp01_muscle_skeletal-coregtor-r1
