plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,ACTB,RAN;RAB7A;PKM;ZMAT2;CSNK2B,exp02_amygdala-coregtor-n_five,0.37547
CoRegTor,goa_similarity_lin,APOE,EZR;HADHB;SOX2;TSC22D4,exp02_amygdala-coregtor-n_five,0.23107
CoRegTor,goa_similarity_lin,APP,RAB7A;PRNP;MAPK1;EWSR1;HNRNPA1,exp02_amygdala-coregtor-n_five,0.34203
CoRegTor,goa_similarity_lin,CLU,HADHB;EZR;SOX2;ENO1;TSC22D4,exp02_amygdala-coregtor-n_five,0.29074
CoRegTor,goa_similarity_lin,CRYAB,YBX1;HSPA5;JUN;ATF4;OLIG1;FEZ1,exp02_amygdala-coregtor-n_five,0.37071
CoRegTor,goa_similarity_lin,DUSP1,FOS;JUNB;JUN;HNRNPA1,exp02_amygdala-coregtor-n_five,0.54455
CoRegTor,goa_similarity_lin,GADD45B,JUNB;JUN;JUND;TSC22D4,exp02_amygdala-coregtor-n_five,0.54292
CoRegTor,goa_similarity_lin,HLA-DRB1,OLIG1;JUNB;FOS,exp02_amygdala-coregtor-n_five,0.54341
CoRegTor,goa_similarity_lin,HLA-E,ATF4;ENO1,exp02_amygdala-coregtor-n_five,0.49548
CoRegTor,goa_similarity_lin,HSP90AA1,FOS;JUN;YBX1;HSPA5;HADHB,exp02_amygdala-coregtor-n_five,0.36386
CoRegTor,goa_similarity_lin,HSPA1A,HSPA5;JUN;FOS;YBX1;JUND,exp02_amygdala-coregtor-n_five,0.475
CoRegTor,goa_similarity_lin,MAT2A,EWSR1;RAB7A;SNRNP70;TPPP;PRNP,exp02_amygdala-coregtor-n_five,0.27977
CoRegTor,goa_similarity_lin,NDRG1,YBX1;HNRNPA1;CENPB;TPPP;FEZ1,exp02_amygdala-coregtor-n_five,0.36146
CoRegTor,goa_similarity_lin,OGA,YWHAE;PRNP;CSNK2B;RAB7A;EWSR1;MAPK1,exp02_amygdala-coregtor-n_five,0.37901
CoRegTor,goa_similarity_lin,SPARC,USF2;YBX1,exp02_amygdala-coregtor-n_five,0.39664
CoRegTor,goa_similarity_lin,STMN1,YWHAZ;TCEAL2;ZMAT2;RAN;SOD1,exp02_amygdala-coregtor-n_five,0.31509
CoRegTor,goa_similarity_lin,SUMO1,YWHAZ;TCEAL2;SOD1;YWHAE;RAN,exp02_amygdala-coregtor-n_five,0.37987
CoRegTor,goa_similarity_lin,TKT,PKM;CSNK2B;THRA;RAB7A;RAN;ENO1;OLIG1,exp02_amygdala-coregtor-n_five,0.40419
CoRegTor,goa_similarity_lin,TXN,SOD1;TCEAL2;YWHAE;STUB1;DRAP1,exp02_amygdala-coregtor-n_five,0.33506
CoRegTor,goa_similarity_lin,VIM,TSC22D4;CSNK2B;ENO1;HADHB;EZR;SOX2;HNRNPA1,exp02_amygdala-coregtor-n_five,0.32684
CoRegNet,goa_similarity_lin,ACTB,AGAP2;ARNT2;ATF4;CBX7;DEAF1;DRAP1;ENO1;EWSR1;EZR;FOS;HADHB;HSPA5;JUN;JUNB;JUND;MAPK1;NPDC1;PKM;PRDX5;PRNP;RAB7A;RAN;SOD1;SOX2;SREBF2;SRP9;STUB1;TCEAL2;THRA;TPI1;TPPP;UBB;YWHAE;YWHAZ;ZMAT2,exp02-coregnet,0.35333
CoRegNet,goa_similarity_lin,APOE,AGAP2;ENO1;EZR;FOS;HADHB;HSPA5;JUN;JUNB;MAPK1;PRDX5;PRNP;SOD1;SOX2;TCEAL2;TPI1;YWHAZ,exp02-coregnet,0.35178
