plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,ACTA2,ATF4;ETS2;TEAD3;ID2;ELF3;YBX1,exp02_bladder-coregtor-n_five,0.54786
CoRegTor,goa_similarity_lin,ACTB,YBX1;ELF3;ID1;TEAD3;PRDX5,exp02_bladder-coregtor-n_five,0.42711
CoRegTor,goa_similarity_lin,CDKN1A,ID2;ETS2;JUNB;TAGLN2;FOSL2,exp02_bladder-coregtor-n_five,0.44834
CoRegTor,goa_similarity_lin,CLU,TRIM28;YBX1;BCL6;RPL6;SOD1,exp02_bladder-coregtor-n_five,0.39807
CoRegTor,goa_similarity_lin,DUSP1,FOSL2;FOS;ID2;CEBPB;JUN,exp02_bladder-coregtor-n_five,0.5514
CoRegTor,goa_similarity_lin,FN1,CBX7;TEAD3;YBX1;ID2;PRNP,exp02_bladder-coregtor-n_five,0.35888
CoRegTor,goa_similarity_lin,GADD45B,HSPA5;CEBPD;ETS2;BCL6;EPAS1,exp02_bladder-coregtor-n_five,0.50726
CoRegTor,goa_similarity_lin,HLA-DRB1,RPL6;TAGLN2;HSPA5;PKM;TEAD3,exp02_bladder-coregtor-n_five,0.33829
CoRegTor,goa_similarity_lin,HLA-E,RPL6;PKM;HNRNPA1;STAT6;TAGLN2,exp02_bladder-coregtor-n_five,0.37476
CoRegTor,goa_similarity_lin,ID3,ID2;PRDX5;ID1;ELF3;YBX1,exp02_bladder-coregtor-n_five,0.41155
CoRegTor,goa_similarity_lin,PDK4,EGR1;EPAS1;CEBPD;ID2;BCL6;NFE2L2;FOS,exp02_bladder-coregtor-n_five,0.55133
CoRegTor,goa_similarity_lin,PDLIM7,TEAD3;CBX7;ID2;ATF4;PRDX5,exp02_bladder-coregtor-n_five,0.37874
CoRegTor,goa_similarity_lin,SPARC,TAGLN2;BCL6;TRIM28;NFE2L1;CBX7,exp02_bladder-coregtor-n_five,0.34508
CoRegTor,goa_similarity_lin,TAGLN,TEAD3;YBX1;ATF4;ID2;CBX7,exp02_bladder-coregtor-n_five,0.43587
CoRegTor,goa_similarity_lin,TIMP1,JUND;ENO1;YBX1;TPI1;BCL6,exp02_bladder-coregtor-n_five,0.3988
CoRegTor,goa_similarity_lin,TIMP3,EPAS1;TRIM28;STAT6;JUND;UBB,exp02_bladder-coregtor-n_five,0.4792
CoRegTor,goa_similarity_lin,TKT,SOD1;TRIM28;CBX7;NFE2L1;UBXN1,exp02_bladder-coregtor-n_five,0.33187
CoRegTor,goa_similarity_lin,VIM,ENO1;TRIM28;PKM;CEBPD;CLK1,exp02_bladder-coregtor-n_five,0.45404
CoRegNet,goa_similarity_lin,ACTA2,BHLHE40;ELF3;EZR;FOS;ID1;ID2;JUNB,exp02-coregnet,0.45937
CoRegNet,goa_similarity_lin,ACTB,BHLHE40;ELF3;EZR;FOS;FOSL2;ID1;JUNB;NR4A1,exp02-coregnet,0.49934
CoRegNet,goa_similarity_lin,CDKN1A,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;FOSL2;ID1;ID2;JUNB;NR4A1,exp02-coregnet,0.58635
CoRegNet,goa_similarity_lin,CLU,BCL6;BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,0.48808
CoRegNet,goa_similarity_lin,DUSP1,BHLHE40;CEBPB;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUN;JUNB;NR4A1,exp02-coregnet,0.57187
CoRegNet,goa_similarity_lin,FN1,BHLHE40;ELF3;EZR;FOS;ID1;JUNB;NR4A1,exp02-coregnet,0.47671
CoRegNet,goa_similarity_lin,GADD45B,BCL6;CEBPD;ELF3;ID1,exp02-coregnet,0.55011
CoRegNet,goa_similarity_lin,HLA-DRB1,BHLHE40;ELF3;FOS;ID1;JUNB;NR4A1,exp02-coregnet,0.56546
CoRegNet,goa_similarity_lin,HLA-E,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,0.57857
CoRegNet,goa_similarity_lin,ID3,BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,0.48618
CoRegNet,goa_similarity_lin,PDK4,BHLHE40;ELF3;ID1,exp02-coregnet,0.58995
CoRegNet,goa_similarity_lin,PDLIM7,BHLHE40;ELF3;EZR;FOS;ID1;JUNB,exp02-coregnet,0.45414
CoRegNet,goa_similarity_lin,SPARC,BCL6;BHLHE40;ELF3;EZR;ID1;NR4A1,exp02-coregnet,0.45367
CoRegNet,goa_similarity_lin,TAGLN,BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,0.48618
CoRegNet,goa_similarity_lin,TIMP1,EGR1;ELF3;EZR;FOS;ID1;JUN;NR4A1,exp02-coregnet,0.46892
CoRegNet,goa_similarity_lin,TIMP3,BCL6;CEBPB;EGR1;ELF3;ID1;JUN;JUND;NR4A1,exp02-coregnet,0.56735
CoRegNet,goa_similarity_lin,TKT,BHLHE40;EGR1;ELF3;FOS;ID1;JUNB;NR4A1,exp02-coregnet,0.56863
CoRegNet,goa_similarity_lin,VIM,BHLHE40;CEBPB;EGR1;ELF3;EZR;ID1;ID2;JUN;NR4A1,exp02-coregnet,0.49038
CoRegTor,goa_similarity_resnik,ACTA2,ATF4;ETS2;TEAD3;ID2;ELF3;YBX1,exp02_bladder-coregtor-n_five,1.7764
CoRegTor,goa_similarity_resnik,ACTB,YBX1;ELF3;ID1;TEAD3;PRDX5,exp02_bladder-coregtor-n_five,1.25062
CoRegTor,goa_similarity_resnik,CDKN1A,ID2;ETS2;JUNB;TAGLN2;FOSL2,exp02_bladder-coregtor-n_five,1.30087
CoRegTor,goa_similarity_resnik,CLU,TRIM28;YBX1;BCL6;RPL6;SOD1,exp02_bladder-coregtor-n_five,1.32489
CoRegTor,goa_similarity_resnik,DUSP1,FOSL2;FOS;ID2;CEBPB;JUN,exp02_bladder-coregtor-n_five,2.12207
CoRegTor,goa_similarity_resnik,FN1,CBX7;TEAD3;YBX1;ID2;PRNP,exp02_bladder-coregtor-n_five,1.18798
CoRegTor,goa_similarity_resnik,GADD45B,HSPA5;CEBPD;ETS2;BCL6;EPAS1,exp02_bladder-coregtor-n_five,1.55305
CoRegTor,goa_similarity_resnik,HLA-DRB1,RPL6;TAGLN2;HSPA5;PKM;TEAD3,exp02_bladder-coregtor-n_five,0.9775
CoRegTor,goa_similarity_resnik,HLA-E,RPL6;PKM;HNRNPA1;STAT6;TAGLN2,exp02_bladder-coregtor-n_five,1.00474
CoRegTor,goa_similarity_resnik,ID3,ID2;PRDX5;ID1;ELF3;YBX1,exp02_bladder-coregtor-n_five,1.35529
CoRegTor,goa_similarity_resnik,PDK4,EGR1;EPAS1;CEBPD;ID2;BCL6;NFE2L2;FOS,exp02_bladder-coregtor-n_five,2.09229
CoRegTor,goa_similarity_resnik,PDLIM7,TEAD3;CBX7;ID2;ATF4;PRDX5,exp02_bladder-coregtor-n_five,1.29838
CoRegTor,goa_similarity_resnik,SPARC,TAGLN2;BCL6;TRIM28;NFE2L1;CBX7,exp02_bladder-coregtor-n_five,1.02456
CoRegTor,goa_similarity_resnik,TAGLN,TEAD3;YBX1;ATF4;ID2;CBX7,exp02_bladder-coregtor-n_five,1.48353
CoRegTor,goa_similarity_resnik,TIMP1,JUND;ENO1;YBX1;TPI1;BCL6,exp02_bladder-coregtor-n_five,1.37149
CoRegTor,goa_similarity_resnik,TIMP3,EPAS1;TRIM28;STAT6;JUND;UBB,exp02_bladder-coregtor-n_five,1.58511
