plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,ACTB,FOSL2;YWHAZ;SF1;LYL1;KLF6,exp02_blood-coregtor-n_five,0.53456
CoRegTor,goa_similarity_lin,BCL2L1,UBB;TAGLN2;MXD1,exp02_blood-coregtor-n_five,0.25844
CoRegTor,goa_similarity_lin,CCND3,CEBPD;HCLS1,exp02_blood-coregtor-n_five,0.40519
CoRegTor,goa_similarity_lin,CD44,STAT5B;YWHAZ;SPI1;PKM,exp02_blood-coregtor-n_five,0.45504
CoRegTor,goa_similarity_lin,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,exp02_blood-coregtor-n_five,0.42622
CoRegTor,goa_similarity_lin,GSTP1,CSNK2B;UBXN1,exp02_blood-coregtor-n_five,0.34316
CoRegTor,goa_similarity_lin,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,exp02_blood-coregtor-n_five,0.41083
CoRegTor,goa_similarity_lin,HBB,TSC22D4;YWHAZ,exp02_blood-coregtor-n_five,0.36603
CoRegTor,goa_similarity_lin,HMOX1,HSPA5;TPI1;ENO1;FOS;CSNK2B,exp02_blood-coregtor-n_five,0.37099
CoRegTor,goa_similarity_lin,HSP90AA1,ATF4;RPL35;MXD1;RPL6;HSPA5,exp02_blood-coregtor-n_five,0.38019
CoRegTor,goa_similarity_lin,HSPA1A,GTPBP1;ATF4;NUCB1;HSPA5;RPL35,exp02_blood-coregtor-n_five,0.34203
CoRegTor,goa_similarity_lin,MCL1,FOSL2;SEMA4A;SF1;KLF6;STAT6,exp02_blood-coregtor-n_five,0.46039
CoRegTor,goa_similarity_lin,NFKBIA,CEBPD;RAB7A;SMAP2;STAT5B;FOS;HMGB2,exp02_blood-coregtor-n_five,0.38889
CoRegTor,goa_similarity_lin,PDLIM7,TSC22D4;TFE3;SPI1,exp02_blood-coregtor-n_five,0.42191
CoRegTor,goa_similarity_lin,RHOA,GTPBP1;JUNB;KLF2;JUND;KLF6;LTF,exp02_blood-coregtor-n_five,0.45304
CoRegTor,goa_similarity_lin,SOCS3,BCL3;CEBPB;ARID5A;NFIL3;FOS,exp02_blood-coregtor-n_five,0.56099
CoRegTor,goa_similarity_lin,TKT,SPI1;SEMA4A;HCLS1,exp02_blood-coregtor-n_five,0.38867
CoRegNet,goa_similarity_lin,ACTB,ANXA1;BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TSC22D4;UBB;YWHAZ;ZBTB7B,exp02-coregnet,0.38132
CoRegNet,goa_similarity_lin,BCL2L1,ANXA1;ARG1;BCL6;CEBPD;FOS;GTPBP1;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,0.36273
CoRegNet,goa_similarity_lin,CCND3,BCL6;CEBPD;HCLS1;LTF;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.36161
CoRegNet,goa_similarity_lin,CD44,ANXA1;ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;YWHAZ;ZBTB7B,exp02-coregnet,0.40913
CoRegNet,goa_similarity_lin,CXCR4,ANXA1;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,0.41747
CoRegNet,goa_similarity_lin,GSTP1,ARG1;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;LTF;PKM;RPL35;RPL6;RPS4X;SF1;SNRNP70,exp02-coregnet,0.39307
CoRegNet,goa_similarity_lin,HBA2,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;ZBTB7B,exp02-coregnet,0.38078
CoRegNet,goa_similarity_lin,HBB,ANXA1;ARG1;BCL6;CEBPD;HCLS1;JUNB;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,0.37001
CoRegNet,goa_similarity_lin,HMOX1,CEBPB;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,0.47118
CoRegNet,goa_similarity_lin,HSP90AA1,CEBPD;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;RPL35;RPS4X,exp02-coregnet,0.42427
CoRegNet,goa_similarity_lin,HSPA1A,CEBPD;FOS;FOSL2;GTPBP1;HSPA5;JUND;LTF;NFE2,exp02-coregnet,0.44455
CoRegNet,goa_similarity_lin,MCL1,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;LTF;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.39498
CoRegNet,goa_similarity_lin,NFKBIA,ANXA1;ARG1;BCL6;CEBPD;HCLS1;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.39027
CoRegNet,goa_similarity_lin,PDLIM7,ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SF1;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;ZBTB7B,exp02-coregnet,0.38946
CoRegNet,goa_similarity_lin,RHOA,ANXA1;ARID5A;ATF4;BCL3;BCL6;CEBPD;ENO1;FOS;FOSL2;GTPBP1;HCLS1;HSPA5;JUNB;JUND;KLF2;KLF6;MXD1;NUCB1;PKM;RAB7A;RPL6;SEMA4A;SF1;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TPI1;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.3942
CoRegNet,goa_similarity_lin,SOCS3,ANXA1;ARID5A;BCL3;BCL6;CEBPB;CEBPD;FOS;FOSL2;GTPBP1;HCLS1;HSPA5;JUNB;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.43891
CoRegNet,goa_similarity_lin,TKT,BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.37605
CoRegTor,goa_similarity_resnik,ACTB,FOSL2;YWHAZ;SF1;LYL1;KLF6,exp02_blood-coregtor-n_five,1.3849
CoRegTor,goa_similarity_resnik,BCL2L1,UBB;TAGLN2;MXD1,exp02_blood-coregtor-n_five,0.54038
CoRegTor,goa_similarity_resnik,CCND3,CEBPD;HCLS1,exp02_blood-coregtor-n_five,1.27477
CoRegTor,goa_similarity_resnik,CD44,STAT5B;YWHAZ;SPI1;PKM,exp02_blood-coregtor-n_five,1.62964
CoRegTor,goa_similarity_resnik,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,exp02_blood-coregtor-n_five,1.22944
CoRegTor,goa_similarity_resnik,GSTP1,CSNK2B;UBXN1,exp02_blood-coregtor-n_five,1.24139
CoRegTor,goa_similarity_resnik,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,exp02_blood-coregtor-n_five,1.60443
CoRegTor,goa_similarity_resnik,HBB,TSC22D4;YWHAZ,exp02_blood-coregtor-n_five,1.03417
CoRegTor,goa_similarity_resnik,HMOX1,HSPA5;TPI1;ENO1;FOS;CSNK2B,exp02_blood-coregtor-n_five,1.29088
CoRegTor,goa_similarity_resnik,HSP90AA1,ATF4;RPL35;MXD1;RPL6;HSPA5,exp02_blood-coregtor-n_five,1.16459
CoRegTor,goa_similarity_resnik,HSPA1A,GTPBP1;ATF4;NUCB1;HSPA5;RPL35,exp02_blood-coregtor-n_five,1.05447
CoRegTor,goa_similarity_resnik,MCL1,FOSL2;SEMA4A;SF1;KLF6;STAT6,exp02_blood-coregtor-n_five,1.29361
CoRegTor,goa_similarity_resnik,NFKBIA,CEBPD;RAB7A;SMAP2;STAT5B;FOS;HMGB2,exp02_blood-coregtor-n_five,1.25649
CoRegTor,goa_similarity_resnik,PDLIM7,TSC22D4;TFE3;SPI1,exp02_blood-coregtor-n_five,1.32714
CoRegTor,goa_similarity_resnik,RHOA,GTPBP1;JUNB;KLF2;JUND;KLF6;LTF,exp02_blood-coregtor-n_five,1.54365
CoRegTor,goa_similarity_resnik,SOCS3,BCL3;CEBPB;ARID5A;NFIL3;FOS,exp02_blood-coregtor-n_five,2.09453
CoRegTor,goa_similarity_resnik,TKT,SPI1;SEMA4A;HCLS1,exp02_blood-coregtor-n_five,1.81117
CoRegNet,goa_similarity_resnik,ACTB,ANXA1;BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TSC22D4;UBB;YWHAZ;ZBTB7B,exp02-coregnet,1.31644
CoRegNet,goa_similarity_resnik,BCL2L1,ANXA1;ARG1;BCL6;CEBPD;FOS;GTPBP1;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,1.22133
