plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,ACTB,NUCB1;CSNK2B;RAB7A;YWHAE;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.37234
CoRegTor,goa_similarity_lin,APP,GOT1;TPPP;YWHAZ;MAPK1;NFE2L1,exp02_cortex-ba9-coregtor-n_five,0.32777
CoRegTor,goa_similarity_lin,DUSP1,HNRNPA1;ENO1,exp02_cortex-ba9-coregtor-n_five,0.47391
CoRegTor,goa_similarity_lin,FASN,SREBF2;AGAP2,exp02_cortex-ba9-coregtor-n_five,0.36815
CoRegTor,goa_similarity_lin,HSP90AA1,UBB;NUCB1;HSPA5;ATF4;RAN,exp02_cortex-ba9-coregtor-n_five,0.36588
CoRegTor,goa_similarity_lin,MAT2A,ATF4;HNRNPA1,exp02_cortex-ba9-coregtor-n_five,0.45266
CoRegTor,goa_similarity_lin,NDRG1,OLIG1;FEZ1;HNRNPA1;TSC22D4;RPS4X,exp02_cortex-ba9-coregtor-n_five,0.31408
CoRegTor,goa_similarity_lin,SPARC,HNRNPA1;SNRNP70;TSC22D4;UBXN1;FEZ1;CSNK2B;HSPA5;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.34071
CoRegTor,goa_similarity_lin,STMN1,GOT1;YWHAZ;TCEAL2;NCALD;SOD1;PRDX5;TCEAL6,exp02_cortex-ba9-coregtor-n_five,0.33958
CoRegTor,goa_similarity_lin,VIM,ATF4;CSNK2B;EWSR1;ENO1;RAB7A,exp02_cortex-ba9-coregtor-n_five,0.39022
CoRegNet,goa_similarity_lin,ACTB,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.33403
CoRegNet,goa_similarity_lin,APP,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.33802
CoRegNet,goa_similarity_lin,DUSP1,GOT1;NCALD,exp02-coregnet,0.17609
CoRegNet,goa_similarity_lin,FASN,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.33403
CoRegNet,goa_similarity_lin,HSP90AA1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.33403
CoRegNet,goa_similarity_lin,MAT2A,BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.32931
CoRegNet,goa_similarity_lin,NDRG1,NCALD;OLIG1;TSC22D4,exp02-coregnet,0.25662
CoRegNet,goa_similarity_lin,SPARC,GOT1;NCALD;OLIG1;TSC22D4,exp02-coregnet,0.22294
CoRegNet,goa_similarity_lin,STMN1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.33403
CoRegNet,goa_similarity_lin,VIM,GOT1;NCALD;TSC22D4,exp02-coregnet,0.20473
CoRegTor,goa_similarity_resnik,ACTB,NUCB1;CSNK2B;RAB7A;YWHAE;EWSR1,exp02_cortex-ba9-coregtor-n_five,1.09343
CoRegTor,goa_similarity_resnik,APP,GOT1;TPPP;YWHAZ;MAPK1;NFE2L1,exp02_cortex-ba9-coregtor-n_five,1.2616
CoRegTor,goa_similarity_resnik,DUSP1,HNRNPA1;ENO1,exp02_cortex-ba9-coregtor-n_five,1.50296
