plot_tool,index,target,sources,method,value
CoRegTor,goa_lin_similarity,ACTA2,EGR1;EPAS1;TAGLN2;SNRNP70;JUND,exp02_heart_left_ventricle-coregtor-n_five,0.37243
CoRegTor,goa_lin_similarity,ACTB,TAGLN2;ENO1;RPL6;HNRNPA1;RPS4X,exp02_heart_left_ventricle-coregtor-n_five,0.42074
CoRegTor,goa_lin_similarity,APP,YBX1;UGP2;CFL2;EZR;HSPA5;YWHAE,exp02_heart_left_ventricle-coregtor-n_five,0.30744
CoRegTor,goa_lin_similarity,CDKN1A,ENO1;ATF4;CEBPD;HNRNPA1;RPL6;TAGLN2;RPS10,exp02_heart_left_ventricle-coregtor-n_five,0.39936
CoRegTor,goa_lin_similarity,CRYAB,UGP2;YWHAE;CFL2;DRAP1;ATF4;CD59,exp02_heart_left_ventricle-coregtor-n_five,0.24737
CoRegTor,goa_lin_similarity,DUSP1,FOS;NR4A1;JUN,exp02_heart_left_ventricle-coregtor-n_five,0.63519
CoRegTor,goa_lin_similarity,FN1,P4HB;DRAP1;CD59;RPS10;PKM,exp02_heart_left_ventricle-coregtor-n_five,0.29907
CoRegTor,goa_lin_similarity,GADD45B,CEBPD;JUNB;TAGLN2,exp02_heart_left_ventricle-coregtor-n_five,0.40924
CoRegTor,goa_lin_similarity,GSTP1,UBXN1;DRAP1;RPS10;CSNK2B,exp02_heart_left_ventricle-coregtor-n_five,0.3115
CoRegTor,goa_lin_similarity,HBB,EPAS1;CEBPD;NKX2-5;TAGLN2;SNRNP70;TPI1,exp02_heart_left_ventricle-coregtor-n_five,0.3299
CoRegTor,goa_lin_similarity,HSP90AA1,HSPA5;ATF4;YWHAE;CEBPD;ESRRA,exp02_heart_left_ventricle-coregtor-n_five,0.42825
CoRegTor,goa_lin_similarity,HSPA1A,JUN;ATF4;FOS,exp02_heart_left_ventricle-coregtor-n_five,0.64315
CoRegTor,goa_lin_similarity,ID3,EPAS1;JUNB,exp02_heart_left_ventricle-coregtor-n_five,0.66703
CoRegTor,goa_lin_similarity,MAT2A,JUNB;CEBPD,exp02_heart_left_ventricle-coregtor-n_five,0.85805
CoRegTor,goa_lin_similarity,MCL1,JUNB;JUND;NR4A1;CEBPD;JUN,exp02_heart_left_ventricle-coregtor-n_five,0.70523
CoRegTor,goa_lin_similarity,PDK4,ESRRA;EZR;PSMA6;HADHB;UGP2,exp02_heart_left_ventricle-coregtor-n_five,0.25346
CoRegTor,goa_lin_similarity,PRKACA,PSMA6;YBX1;TPI1;PKM;PDLIM5;SUCLG1;SOD1,exp02_heart_left_ventricle-coregtor-n_five,0.3047
CoRegTor,goa_lin_similarity,RHOA,YWHAE;HNRNPA1;P4HB;CD59;PSMA6;RPL6,exp02_heart_left_ventricle-coregtor-n_five,0.36697
CoRegTor,goa_lin_similarity,SPARC,USF2;SNRNP70;ATF4;NR4A1;NUCB1,exp02_heart_left_ventricle-coregtor-n_five,0.38894
CoRegTor,goa_lin_similarity,TAGLN,SNRNP70;RPS4X;TAGLN2;RPL6;HNRNPA1,exp02_heart_left_ventricle-coregtor-n_five,0.42774
CoRegTor,goa_lin_similarity,TIMP1,P4HB;RPL6;ENO1;HSPA5;HNRNPA1,exp02_heart_left_ventricle-coregtor-n_five,0.43546
CoRegTor,goa_lin_similarity,TIMP3,JUNB;JUND;EGR1;FOS;NR4A1,exp02_heart_left_ventricle-coregtor-n_five,0.64175
CoRegTor,goa_lin_similarity,VEGFA,ATF4;CEBPD;JUNB,exp02_heart_left_ventricle-coregtor-n_five,0.66743
CoRegTor,goa_lin_similarity,VIM,ATF4;NR4A1,exp02_heart_left_ventricle-coregtor-n_five,0.56519
CoRegNet,goa_lin_similarity,ACTA2,CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,0.33716
CoRegNet,goa_lin_similarity,ACTB,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;NUCB1;P4HB;PKM;PSMA6;RPL35;RPL6;RPS10;RPS4X;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,0.34959
CoRegNet,goa_lin_similarity,APP,CFL2;CYCS;DRAP1;EZR;GOT1;HADHB;HNRNPA1;HSPA5;P4HB;PDLIM5;PKM;PSMA6;RPL6;RPS4X;SMPX;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,0.30584
