plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,ACTB,RAB7A;CSNK2B;YWHAE;RPL6;ENO1,exp02_hypothalamus-coregtor-n_five,0.37868
CoRegTor,goa_similarity_lin,APOE,TSC22D4;THRA;UBXN1;YWHAE;ENO1,exp02_hypothalamus-coregtor-n_five,0.35424
CoRegTor,goa_similarity_lin,APP,NFE2L1;UBB;PRNP;RAD21;TPPP,exp02_hypothalamus-coregtor-n_five,0.32152
CoRegTor,goa_similarity_lin,CLU,RAB7A;UBXN1;ENO1;PKM;EWSR1;THRA,exp02_hypothalamus-coregtor-n_five,0.39707
CoRegTor,goa_similarity_lin,CRYAB,TSC22D4;CENPB;UBXN1;ATF4;FEZ1;ENO1,exp02_hypothalamus-coregtor-n_five,0.31563
CoRegTor,goa_similarity_lin,DUSP1,FOS;JUNB;SNRNP70,exp02_hypothalamus-coregtor-n_five,0.48931
CoRegTor,goa_similarity_lin,GADD45B,JUN;JUNB;ENO1;TAGLN2;ATF4;CSNK2B,exp02_hypothalamus-coregtor-n_five,0.39987
CoRegTor,goa_similarity_lin,GSTP1,DRAP1;CSNK2B;PHF1;ENO1;PRDX5,exp02_hypothalamus-coregtor-n_five,0.39236
CoRegTor,goa_similarity_lin,HLA-DRB1,HNRNPA1;RPS4X;TAGLN2;ATF4;RPL6,exp02_hypothalamus-coregtor-n_five,0.39575
CoRegTor,goa_similarity_lin,HLA-E,TAGLN2;RPS4X;HNRNPA1;UBXN1;ATF4,exp02_hypothalamus-coregtor-n_five,0.32476
CoRegTor,goa_similarity_lin,HSP90AA1,UBB;HSPA5;CANX;RAN;NUCB1,exp02_hypothalamus-coregtor-n_five,0.38118
CoRegTor,goa_similarity_lin,HSPA1A,JUN;FOS,exp02_hypothalamus-coregtor-n_five,0.67476
CoRegTor,goa_similarity_lin,ID3,TAGLN2;ENO1,exp02_hypothalamus-coregtor-n_five,0.26382
CoRegTor,goa_similarity_lin,MAT2A,RAB7A;EWSR1;HNRNPA1;CANX;RAD21,exp02_hypothalamus-coregtor-n_five,0.35114
CoRegTor,goa_similarity_lin,SPARC,EWSR1;RAB7A;SRP9;ENO1;YWHAE,exp02_hypothalamus-coregtor-n_five,0.34429
CoRegTor,goa_similarity_lin,STMN1,NFE2L1;RAD21;SOD1;GOT1;YWHAE;UBB;YWHAZ,exp02_hypothalamus-coregtor-n_five,0.36293
CoRegTor,goa_similarity_lin,SUMO1,SOD1;YWHAZ;RAN;PRNP;SRP9,exp02_hypothalamus-coregtor-n_five,0.33058
CoRegTor,goa_similarity_lin,TIMP3,RAB7A;PKM;YWHAE;EWSR1;ENO1;CSNK2B,exp02_hypothalamus-coregtor-n_five,0.41758
CoRegTor,goa_similarity_lin,TKT,NUCB1;STUB1;RAB7A;ZMAT2;SOD1;YWHAE,exp02_hypothalamus-coregtor-n_five,0.31025
CoRegTor,goa_similarity_lin,TXN,SOD1;RPL6;TPI1;CSNK2B;DRAP1;RAN,exp02_hypothalamus-coregtor-n_five,0.31255
CoRegTor,goa_similarity_lin,VIM,RPL6;HNRNPA1;TAGLN2;ATF4;CLK1;HSPA5,exp02_hypothalamus-coregtor-n_five,0.31112
CoRegNet,goa_similarity_lin,ACTB,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,exp02-coregnet,0.32475
CoRegNet,goa_similarity_lin,APOE,DUSP26;ENO1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;PRNP;RAN;TCEAL2;TCEAL6;TPI1;YWHAZ,exp02-coregnet,0.36612
