plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,0.45379
CoRegTor,goa_similarity_lin,DUSP1,JUN;NR4A1;EGR1,exp02_lung-coregtor-n_five,0.59718
CoRegTor,goa_similarity_lin,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,0.39273
CoRegTor,goa_similarity_lin,HBB,NPDC1;TRIP10,exp02_lung-coregtor-n_five,0.37637
CoRegTor,goa_similarity_lin,HLA-E,TRIP10;EPAS1,exp02_lung-coregtor-n_five,0.29401
CoRegTor,goa_similarity_lin,HSP90AA1,STAT6;ANXA1;KLF6;NUCB1;CLK1;GADD45A,exp02_lung-coregtor-n_five,0.33601
CoRegTor,goa_similarity_lin,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,exp02_lung-coregtor-n_five,0.38828
CoRegTor,goa_similarity_lin,PDK4,BCL3;KLF9;BHLHE40;PKM;KLF4;CEBPB,exp02_lung-coregtor-n_five,0.46832
CoRegTor,goa_similarity_lin,SOCS3,BCL3;JUNB;ETS2;BHLHE40;GADD45A,exp02_lung-coregtor-n_five,0.52193
CoRegTor,goa_similarity_lin,SPARC,TBX2;TAGLN2;CSNK2B;YWHAZ;TRIP10,exp02_lung-coregtor-n_five,0.34002
CoRegTor,goa_similarity_lin,TAGLN,GADD45A;TAGLN2;CSNK2B;HNRNPA1;TRIP10,exp02_lung-coregtor-n_five,0.33549
CoRegTor,goa_similarity_lin,TIMP1,TPI1;YBX1;PKM;P4HB;RPL35,exp02_lung-coregtor-n_five,0.3592
CoRegTor,goa_similarity_lin,TIMP3,EPAS1;KLF9,exp02_lung-coregtor-n_five,0.5079
CoRegNet,goa_similarity_lin,CDKN1A,BCL3;BHLHE40;ETS2;GADD45A;JUNB;NR4A1,exp02-coregnet,0.53022
CoRegNet,goa_similarity_lin,DUSP1,BHLHE40;EGR1;FOS;GADD45A;JUN;JUNB;KLF4;NR4A1,exp02-coregnet,0.56541
CoRegNet,goa_similarity_lin,FN1,BCL3;BHLHE40;FOS;GADD45A;NR4A1,exp02-coregnet,0.48542
CoRegNet,goa_similarity_lin,HBB,BCL3;FOS;GADD45A,exp02-coregnet,0.48208
CoRegNet,goa_similarity_lin,HLA-E,BCL3;EPAS1;ETS2;GADD45A;JUN;JUNB;NR4A1;TRIP10,exp02-coregnet,0.48533
CoRegNet,goa_similarity_lin,HSP90AA1,HSPA5;JUN,exp02-coregnet,0.34869
CoRegNet,goa_similarity_lin,NFKBIA,BCL3;EGR1;ETS2;GADD45A;JUNB;KLF4;KLF9;NR4A1,exp02-coregnet,0.53033
CoRegNet,goa_similarity_lin,PDK4,BCL3;EGR1;FOS,exp02-coregnet,0.51737
CoRegNet,goa_similarity_lin,SOCS3,BCL3;BHLHE40;EGR1;GADD45A;JUNB;NR4A1,exp02-coregnet,0.51858
CoRegNet,goa_similarity_lin,SPARC,FOS;GADD45A,exp02-coregnet,0.421
CoRegNet,goa_similarity_lin,TAGLN,FOS;GADD45A;NR4A1,exp02-coregnet,0.4809
CoRegNet,goa_similarity_lin,TIMP1,EGR1;GADD45A,exp02-coregnet,0.44908
CoRegNet,goa_similarity_lin,TIMP3,EPAS1;KLF9;NR4A1,exp02-coregnet,0.59152
CoRegTor,goa_similarity_resnik,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,1.52727
CoRegTor,goa_similarity_resnik,DUSP1,JUN;NR4A1;EGR1,exp02_lung-coregtor-n_five,2.18445
CoRegTor,goa_similarity_resnik,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,1.20492
CoRegTor,goa_similarity_resnik,HBB,SNRNP70;BCL6;BHLHE40;RPL35;TAGLN2,exp02_lung-coregtor-n_five,0.85049
CoRegTor,goa_similarity_resnik,HLA-E,TRIP10;EPAS1,exp02_lung-coregtor-n_five,0.60437
CoRegTor,goa_similarity_resnik,HSP90AA1,STAT6;ANXA1;KLF6;NUCB1;CLK1;GADD45A,exp02_lung-coregtor-n_five,0.93807
CoRegTor,goa_similarity_resnik,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,exp02_lung-coregtor-n_five,1.25708
CoRegTor,goa_similarity_resnik,PDK4,BCL3;KLF9;BHLHE40;PKM;KLF4;CEBPB,exp02_lung-coregtor-n_five,1.69715
CoRegTor,goa_similarity_resnik,SOCS3,BCL3;JUNB;ETS2;BHLHE40;GADD45A,exp02_lung-coregtor-n_five,1.67222
CoRegTor,goa_similarity_resnik,SPARC,TBX2;TAGLN2;CSNK2B;YWHAZ;TRIP10,exp02_lung-coregtor-n_five,1.04839
