plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,CDKN1A,HNRNPA1;ENO1;GADD45A;SF1;CSNK2B,exp02_muscle_skeletal-coregtor-n_five,0.43391
CoRegTor,goa_similarity_lin,DUSP1,NR4A1;JUNB;CEBPB;HNRNPA1;CEBPD,exp02_muscle_skeletal-coregtor-n_five,0.57266
CoRegTor,goa_similarity_lin,HMOX1,MEF2D;CEBPD,exp02_muscle_skeletal-coregtor-n_five,0.64034
CoRegTor,goa_similarity_lin,HSP90AA1,SOD1;ATF4;SF1;YBX1;TAF7;ESRRA,exp02_muscle_skeletal-coregtor-n_five,0.42015
CoRegTor,goa_similarity_lin,MAT2A,NFIX;SF1;CEBPB;KLF10,exp02_muscle_skeletal-coregtor-n_five,0.54637
CoRegTor,goa_similarity_lin,MCL1,RPL6;HNRNPA1;TAF7;SNRNP70;RPS4X,exp02_muscle_skeletal-coregtor-n_five,0.48375
CoRegTor,goa_similarity_lin,NFKBIA,CEBPB;KLF9;BCL6,exp02_muscle_skeletal-coregtor-n_five,0.52177
CoRegTor,goa_similarity_lin,PDK4,KLF9;CEBPB,exp02_muscle_skeletal-coregtor-n_five,0.41675
CoRegTor,goa_similarity_lin,PER1,MEF2D;CEBPB;KLF9;RPS4X;SNRNP70;RPL35;CEBPD,exp02_muscle_skeletal-coregtor-n_five,0.41603
CoRegTor,goa_similarity_lin,SOD2,PSMA6;TPI1;UBXN1;NFIC,exp02_muscle_skeletal-coregtor-n_five,0.31086
CoRegTor,goa_similarity_lin,SPARC,HADHB;SMPX;ESRRA;JUNB;HNRNPA1,exp02_muscle_skeletal-coregtor-n_five,0.29007
CoRegTor,goa_similarity_lin,SQSTM1,MEF2D;PSMA6;CSNK2B;YWHAE;NFE2L1,exp02_muscle_skeletal-coregtor-n_five,0.37125
CoRegTor,goa_similarity_lin,TAGLN,NFIC;NFIX,exp02_muscle_skeletal-coregtor-n_five,0.96694
CoRegTor,goa_similarity_lin,TIMP3,SF1;JUNB;HADHB;SNRNP70;HNRNPA1,exp02_muscle_skeletal-coregtor-n_five,0.42182
CoRegTor,goa_similarity_lin,VIM,RPL35;RPS4X;SNRNP70;CSNK2B;HNRNPA1,exp02_muscle_skeletal-coregtor-n_five,0.44913
CoRegNet,goa_similarity_lin,CDKN1A,BCL6;CEBPB;CEBPD;GADD45A,exp02-coregnet,0.55589
CoRegNet,goa_similarity_lin,DUSP1,CEBPB;CEBPD;GADD45A;JUNB;NR4A1,exp02-coregnet,0.58368
CoRegNet,goa_similarity_lin,HMOX1,CEBPD;GADD45A;MYF6,exp02-coregnet,0.50746
CoRegNet,goa_similarity_lin,HSP90AA1,BCL6;CEBPD;GADD45A;JUNB;MYF6,exp02-coregnet,0.57653
CoRegNet,goa_similarity_lin,MAT2A,BHLHE40;CEBPB;CEBPD;GADD45A;JUNB;KLF10;NR4A1,exp02-coregnet,0.5863
CoRegNet,goa_similarity_lin,MCL1,BCL6;CEBPB;CEBPD;ENO1;GADD45A;GPD1;JUNB;KLF9;MYF6,exp02-coregnet,0.45861
CoRegNet,goa_similarity_lin,NFKBIA,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,exp02-coregnet,0.56397
CoRegNet,goa_similarity_lin,PDK4,BCL6;CEBPD;GADD45A,exp02-coregnet,0.52676
CoRegNet,goa_similarity_lin,PER1,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,exp02-coregnet,0.56397
CoRegNet,goa_similarity_lin,SOD2,BCL6;GADD45A;NR4A1,exp02-coregnet,0.50714
CoRegNet,goa_similarity_lin,SPARC,CEBPD;GADD45A;JUNB;NR4A1,exp02-coregnet,0.58475
CoRegNet,goa_similarity_lin,SQSTM1,BCL6;CEBPD;GADD45A;MYF6,exp02-coregnet,0.52283
CoRegNet,goa_similarity_lin,TAGLN,CEBPD;JUNB;NR4A1,exp02-coregnet,0.72937
CoRegNet,goa_similarity_lin,TIMP3,CEBPD;GADD45A;JUNB;KLF9,exp02-coregnet,0.56753
CoRegNet,goa_similarity_lin,VIM,CEBPD;GADD45A;JUNB;MYF6;NR4A1,exp02-coregnet,0.58698
CoRegTor,goa_similarity_resnik,CDKN1A,HNRNPA1;ENO1;GADD45A;SF1;CSNK2B,exp02_muscle_skeletal-coregtor-n_five,1.40051
CoRegTor,goa_similarity_resnik,DUSP1,NR4A1;JUNB;CEBPB;HNRNPA1;CEBPD,exp02_muscle_skeletal-coregtor-n_five,1.94684
CoRegTor,goa_similarity_resnik,HMOX1,GADD45A;STUB1,exp02_muscle_skeletal-coregtor-n_five,2.00343
CoRegTor,goa_similarity_resnik,HSP90AA1,SOD1;ATF4;SF1;YBX1;TAF7;ESRRA,exp02_muscle_skeletal-coregtor-n_five,1.41654
CoRegTor,goa_similarity_resnik,MAT2A,GADD45A;ENO1;ATF4;JUNB;BHLHE40,exp02_muscle_skeletal-coregtor-n_five,1.77993
CoRegTor,goa_similarity_resnik,MCL1,RPL6;HNRNPA1;TAF7;SNRNP70;RPS4X,exp02_muscle_skeletal-coregtor-n_five,1.58144
CoRegTor,goa_similarity_resnik,NFKBIA,CEBPB;KLF9;BCL6,exp02_muscle_skeletal-coregtor-n_five,1.85913
CoRegTor,goa_similarity_resnik,PDK4,KLF9;CEBPB,exp02_muscle_skeletal-coregtor-n_five,1.4977
CoRegTor,goa_similarity_resnik,PER1,MEF2D;CEBPB;KLF9;RPS4X;SNRNP70;RPL35;CEBPD,exp02_muscle_skeletal-coregtor-n_five,1.28107
CoRegTor,goa_similarity_resnik,SOD2,PSMA6;TPI1;UBXN1;NFIC,exp02_muscle_skeletal-coregtor-n_five,1.00223
CoRegTor,goa_similarity_resnik,SPARC,HADHB;SMPX;ESRRA;JUNB;HNRNPA1,exp02_muscle_skeletal-coregtor-n_five,0.80885
CoRegTor,goa_similarity_resnik,SQSTM1,MEF2D;PSMA6;CSNK2B;YWHAE;NFE2L1,exp02_muscle_skeletal-coregtor-n_five,1.27343
CoRegTor,goa_similarity_resnik,TAGLN,NFIC;NFIX,exp02_muscle_skeletal-coregtor-n_five,2.84918
CoRegTor,goa_similarity_resnik,TIMP3,SF1;JUNB;HADHB;SNRNP70;HNRNPA1,exp02_muscle_skeletal-coregtor-n_five,1.34996
CoRegTor,goa_similarity_resnik,VIM,RPL35;RPS4X;SNRNP70;CSNK2B;HNRNPA1,exp02_muscle_skeletal-coregtor-n_five,1.37799
CoRegNet,goa_similarity_resnik,CDKN1A,BCL6;CEBPB;CEBPD;GADD45A,exp02-coregnet,1.98802
CoRegNet,goa_similarity_resnik,DUSP1,CEBPB;CEBPD;GADD45A;JUNB;NR4A1,exp02-coregnet,2.02359
CoRegNet,goa_similarity_resnik,HMOX1,CEBPD;GADD45A;MYF6,exp02-coregnet,1.56449
CoRegNet,goa_similarity_resnik,HSP90AA1,BCL6;CEBPD;GADD45A;JUNB;MYF6,exp02-coregnet,1.87138
CoRegNet,goa_similarity_resnik,MAT2A,BHLHE40;CEBPB;CEBPD;GADD45A;JUNB;KLF10;NR4A1,exp02-coregnet,1.93684
CoRegNet,goa_similarity_resnik,MCL1,BCL6;CEBPB;CEBPD;ENO1;GADD45A;GPD1;JUNB;KLF9;MYF6,exp02-coregnet,1.51031
CoRegNet,goa_similarity_resnik,NFKBIA,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,exp02-coregnet,1.88394
CoRegNet,goa_similarity_resnik,PDK4,BCL6;CEBPD;GADD45A,exp02-coregnet,1.78089
CoRegNet,goa_similarity_resnik,PER1,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,exp02-coregnet,1.88394
CoRegNet,goa_similarity_resnik,SOD2,BCL6;GADD45A;NR4A1,exp02-coregnet,1.82878
