plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,ACTA2,TAGLN2;EZR;JUNB;NR4A1;FOXE1;ANXA1,exp02_thyroid-coregtor-n_five,0.3549
CoRegTor,goa_similarity_lin,APOE,PAX8;EPAS1;ID4;CAT;CD59,exp02_thyroid-coregtor-n_five,0.31787
CoRegTor,goa_similarity_lin,CLU,SOD1;YBX1;RPS10;RPL6;P4HB,exp02_thyroid-coregtor-n_five,0.39506
CoRegTor,goa_similarity_lin,CRYAB,SOD1;DDIT3;JUN;CLK1;FOS,exp02_thyroid-coregtor-n_five,0.37553
CoRegTor,goa_similarity_lin,DUSP1,JUN;FOS;EGR1;NR4A1,exp02_thyroid-coregtor-n_five,0.61338
CoRegTor,goa_similarity_lin,HBB,TAGLN2;CSNK2B;ATF4;CAT;UBXN1;CD59;RPL35,exp02_thyroid-coregtor-n_five,0.27586
CoRegTor,goa_similarity_lin,HSP90AA1,CLK1;DDIT3;ATF4;SOD1,exp02_thyroid-coregtor-n_five,0.34487
CoRegTor,goa_similarity_lin,HSPA1A,SOD1;CLK1;FOS;JUN;TRIM28,exp02_thyroid-coregtor-n_five,0.37874
CoRegTor,goa_similarity_lin,PER1,NR4A1;JUND,exp02_thyroid-coregtor-n_five,0.64093
CoRegTor,goa_similarity_lin,TAGLN,EZR;TAGLN2;JUNB;NR4A1;FOXE1,exp02_thyroid-coregtor-n_five,0.36234
CoRegTor,goa_similarity_lin,TIMP1,TAGLN2;ENO1;CD59;CEBPD,exp02_thyroid-coregtor-n_five,0.2945
CoRegTor,goa_similarity_lin,TKT,ENO1;SOD1;PRDX5;TPI1;P4HB,exp02_thyroid-coregtor-n_five,0.40392
CoRegTor,goa_similarity_lin,VIM,RPL35;RPL6;TAGLN2;ATF4;CSNK2B,exp02_thyroid-coregtor-n_five,0.3534
CoRegNet,goa_similarity_lin,ACTA2,BHLHE40;EGR1;FOS;JUN;NR4A1,exp02-coregnet,0.58993
CoRegNet,goa_similarity_lin,APOE,EGR1;NR4A1,exp02-coregnet,0.5663
CoRegNet,goa_similarity_lin,CLU,EGR1;HSPA5;NR4A1,exp02-coregnet,0.42311
CoRegNet,goa_similarity_lin,CRYAB,BHLHE40;DDIT3;EGR1;FOS;HSPA5;JUN;JUNB;NR4A1;TFF3,exp02-coregnet,0.46503
CoRegNet,goa_similarity_lin,DUSP1,BHLHE40;EGR1;FOS;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.63086
CoRegNet,goa_similarity_lin,HBB,BHLHE40;EGR1;FOS;JUN;NR4A1,exp02-coregnet,0.58993
CoRegNet,goa_similarity_lin,HSP90AA1,BHLHE40;DDIT3;EGR1;FOS;HSPA5;JUN;NR4A1,exp02-coregnet,0.51646
CoRegNet,goa_similarity_lin,HSPA1A,BHLHE40;EGR1;FOS;JUN;NR4A1,exp02-coregnet,0.58993
