plot_tool,index,target,sources,method,value
CoRegTor,goa_lin_similarity,ACTA2,ATF4;ETS2;TEAD3;ID2;ELF3;YBX1,exp02_bladder-coregtor-n_five,0.5449
CoRegTor,goa_lin_similarity,ACTB,JUN;NR4A1;EGR1;JUNB,exp02_thyroid-coregtor-n_five,0.63266
CoRegTor,goa_lin_similarity,APOE,TSC22D4;THRA;UBXN1;YWHAE;ENO1,exp02_hypothalamus-coregtor-n_five,0.35526
CoRegTor,goa_lin_similarity,APP,PRNP;YWHAE,exp02_heart_atrial_appendage-coregtor-n_five,0.45396
CoRegTor,goa_lin_similarity,BCL2L1,YWHAE;SOD1;CSNK2B;RAB7A;NUCB1,exp02_cortex-ba9-coregtor-n_five,0.36323
CoRegTor,goa_lin_similarity,CCND3,CEBPD;HCLS1,exp02_blood-coregtor-n_five,0.40519
CoRegTor,goa_lin_similarity,CD44,STAT5B;YWHAZ;SPI1;PKM,exp02_blood-coregtor-n_five,0.45206
CoRegTor,goa_lin_similarity,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,0.45379
CoRegTor,goa_lin_similarity,CDKN1C,TPI1;ATF4;SRP9;HADHB;GADD45A,exp02_kidney_cortex-coregtor-n_five,0.27
CoRegTor,goa_lin_similarity,CLU,UBB;HSPA5;RPS4X,exp02_cortex-ba9-coregtor-n_five,0.42652
CoRegTor,goa_lin_similarity,CRYAB,SOD1;DDIT3;JUN;CLK1;FOS,exp02_thyroid-coregtor-n_five,0.3736
CoRegTor,goa_lin_similarity,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,exp02_blood-coregtor-n_five,0.42531
CoRegTor,goa_lin_similarity,DUSP1,FOS;NR4A1;JUN,exp02_heart_left_ventricle-coregtor-n_five,0.63519
CoRegTor,goa_lin_similarity,FASN,SREBF2;AGAP2,exp02_cortex-ba9-coregtor-n_five,0.37054
CoRegTor,goa_lin_similarity,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,0.39072
CoRegTor,goa_lin_similarity,GADD45B,JUNB;JUN;JUND;TSC22D4,exp02_amygdala-coregtor-n_five,0.54305
CoRegTor,goa_lin_similarity,GSTP1,DRAP1;ENO1;USF2,exp02_amygdala-coregtor-n_five,0.46224
CoRegTor,goa_lin_similarity,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,exp02_blood-coregtor-n_five,0.40949
CoRegTor,goa_lin_similarity,HBB,RPL6;CSNK2B;SOD1;YBX1;RPL35,exp02_kidney_cortex-coregtor-n_five,0.40324
CoRegTor,goa_lin_similarity,HLA-DRB1,OLIG1;JUNB;FOS,exp02_amygdala-coregtor-n_five,0.54341
CoRegTor,goa_lin_similarity,HLA-E,HSF1;NR4A1,exp02_heart_left_ventricle-coregtor-n_five,0.58086
CoRegTor,goa_lin_similarity,HMOX1,MEF2D;CEBPD,exp02_muscle_skeletal-coregtor-n_five,0.64034
CoRegTor,goa_lin_similarity,HSP90AA1,HSPA5;YWHAE;PKM;STAT6;CSNK2B,exp02_bladder-coregtor-n_five,0.43239
CoRegTor,goa_lin_similarity,HSPA1A,STAT6;NR4A1,exp02_lung-coregtor-n_five,0.70046
CoRegTor,goa_lin_similarity,ID3,EPAS1;JUNB,exp02_heart_left_ventricle-coregtor-n_five,0.66703
CoRegTor,goa_lin_similarity,MAT2A,JUNB;CEBPD,exp02_heart_left_ventricle-coregtor-n_five,0.85805
