cluster_uid,target,sources,n_sources,n_percent,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
3aad92c9cbc0,ACTB,AGAP2;ARNT2;ATF4;CBX7;DEAF1;DRAP1;ENO1;EWSR1;EZR;FOS;HADHB;HSPA5;JUN;JUNB;JUND;MAPK1;NPDC1;PKM;PRDX5;PRNP;RAB7A;RAN;SOD1;SOX2;SREBF2;SRP9;STUB1;TCEAL2;THRA;TPI1;TPPP;UBB;YWHAE;YWHAZ;ZMAT2,35,100.0,exp02-coregnet,0.5493,0.53908,0.55966,14.20231,17.35657,14.21057,0.35333,1.16968,0.3085,0.05714,0.09524,0.07143,0.03704
d8783f6b3eea,APOE,AGAP2;ENO1;EZR;FOS;HADHB;HSPA5;JUN;JUNB;MAPK1;PRDX5;PRNP;SOD1;SOX2;TCEAL2;TPI1;YWHAZ,16,100.0,exp02-coregnet,0.61667,0.63194,0.63889,22.95329,32.89454,23.59815,0.35178,1.24408,0.29475,0.0625,0.04167,0.05,0.02564
e0e929c320a7,APP,AGAP2;ARNT2;ATF4;CBX7;DEAF1;ENO1;EWSR1;FOS;HSPA5;JUN;JUNB;JUND;MAPK1;NPDC1;PKM;PRDX5;PRNP;RAB7A;RAN;SNRNP70;SOD1;SOX2;SREBF2;SRP9;TCEAL2;THRA;TPI1;TPPP;UBB;YWHAE;YWHAZ;ZMAT2,32,100.0,exp02-coregnet,0.55074,0.54183,0.56149,15.6989,18.47242,14.80828,0.36105,1.17221,0.31873,0.0625,0.04082,0.04938,0.02532
06d3c0d8bbb7,CLU,AGAP2;ATF4;CBX7;ENO1;EZR;FOS;HADHB;HSPA5;JUN;JUNB;MAPK1;PKM;PRDX5;PRNP;RAB7A;RAN;SOD1;SOX2;SREBF2;SRP9;TCEAL2;TPI1;UBB;YWHAZ,24,100.0,exp02-coregnet,0.5779,0.58998,0.59722,18.61649,26.24122,19.67661,0.35159,1.23771,0.29526,0.125,0.12,0.12245,0.06522
d5f3f15bf54f,CRYAB,ATF4;FOS;HSPA5;JUN;JUNB;JUND,6,100.0,exp02-coregnet,0.83333,0.93333,0.8,37.79192,87.14464,28.72013,0.56245,2.24188,0.45599,0.0,0.0,0.0,0.0
b1365cf8d50d,DUSP1,FOS;JUN;JUNB,3,100.0,exp02-coregnet,1.0,1.0,1.0,61.40462,131.87315,55.06947,0.67977,2.68017,0.57483,0.33333,0.03448,0.0625,0.03226
08092d220403,GADD45B,FOS;JUN;JUNB,3,100.0,exp02-coregnet,1.0,1.0,1.0,61.40462,131.87315,55.06947,0.67977,2.68017,0.57483,0.33333,0.04348,0.07692,0.04
9d658e98bd28,HLA-DRB1,FOS;HSPA5;YWHAZ,3,100.0,exp02-coregnet,0.66667,0.83333,0.66667,50.30511,69.12472,36.65668,0.40896,1.66088,0.30289,0.0,0.0,0.0,0.0
1875de8a9cb6,HLA-E,ATF4;FOS;HSPA5;JUN;JUNB;JUND;SNRNP70,7,100.0,exp02-coregnet,0.78571,0.80952,0.7381,44.97963,61.26407,26.60767,0.5119,2.03854,0.4009,0.14286,0.01923,0.0339,0.01724
87338d07fe5a,HSP90AA1,AGAP2;ATF4;CBX7;ENO1;EWSR1;EZR;FOS;HSPA5;JUN;JUNB;JUND;MAPK1;PKM;PRDX5;PRNP;RAB7A;RAN;SOD1;SREBF2;TCEAL2;TPI1;TPPP;UBB;YWHAZ;ZMAT2,25,100.0,exp02-coregnet,0.57556,0.56944,0.58278,17.21955,23.12626,17.04364,0.35987,1.21902,0.30733,0.04,0.05,0.04444,0.02273
7ab5edb53437,HSPA1A,FOS;HSPA5;JUN;JUNB,4,100.0,exp02-coregnet,0.83333,0.91667,0.75,41.77156,90.43261,34.00169,0.50555,1.96733,0.41892,0.0,0.0,0.0,0.0
6a083cd96308,MAT2A,AGAP2;ARNT2;ATF4;CBX7;ENO1;EWSR1;EZR;FOS;HADHB;HSPA5;JUN;JUNB;JUND;MAPK1;PKM;PRNP;RAB7A;RAN;SNRNP70;SOX2;SREBF2;TCEAL2;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,28,100.0,exp02-coregnet,0.56261,0.56129,0.57011,17.24656,19.9613,16.42636,0.3654,1.21053,0.31538,0.07143,0.09524,0.08163,0.04255
f106a47973eb,NDRG1,ATF4;EZR;FOS;HADHB;HSPA5;JUN;JUNB;JUND;SNRNP70;TPPP,10,100.0,exp02-coregnet,0.67407,0.63333,0.62963,27.51633,30.79503,18.47898,0.37791,1.46283,0.30402,0.0,0.0,0.0,0.0
1d3fe12d9ec4,OGA,AGAP2;ARNT2;ATF4;CBX7;DEAF1;DRAP1;ENO1;EWSR1;EZR;FOS;HADHB;HSPA5;JUN;JUNB;JUND;MAPK1;NPDC1;PKM;PRDX5;PRNP;RAB7A;RAN;SNRNP70;SOD1;SOX2;SREBF2;SRP9;STUB1;TCEAL2;THRA;TPI1;TPPP;UBB;YWHAE;YWHAZ;ZMAT2,36,100.0,exp02-coregnet,0.54974,0.53743,0.55952,15.02954,16.90334,14.90335,0.3517,1.1668,0.30631,0.05556,0.07692,0.06452,0.03333
87d343a6e8c2,SPARC,EZR;FOS;HSPA5;JUN;JUNB;SOX2,6,100.0,exp02-coregnet,0.7,0.8,0.66667,33.61253,71.32425,28.13227,0.44626,1.6665,0.36392,0.16667,0.04348,0.06897,0.03571
