cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
0f44a99df7e5,ACTB,YWHAE;RAB7A;RAN;NPDC1;ZMAT2;YWHAZ;PKM;CSNK2B;EWSR1;TPI1;MAPK1;SREBF2,12,100.0,0.0,exp02_amygdala-coregtor-default
3dc8dbae3183,APOE,HADHB;EZR;SOX2;TSC22D4;ENO1,5,100.0,0.0,exp02_amygdala-coregtor-default
b3c38c7b5627,APP,TPPP;EWSR1;HNRNPA1;RAB7A;PRNP;YWHAZ;YWHAE;MAPK1,8,100.0,0.0,exp02_amygdala-coregtor-default
8ef1408b4142,CLU,ENO1;TSC22D4;EZR;HADHB;SOX2;USF2;FOS;ATF4;YBX1;PKM,10,100.0,0.0,exp02_amygdala-coregtor-default
e39f8e63dea5,CRYAB,YBX1;RPS10;JUN;HSPA5;ATF4;EWSR1;HNRNPA1;OLIG1;CSNK2B;FEZ1;TSC22D4;JUND;CENPB;FOS,14,100.0,0.0,exp02_amygdala-coregtor-default
a478c525e701,DUSP1,JUN;FOS;JUNB;HNRNPA1;ATF4,5,100.0,0.0,exp02_amygdala-coregtor-default
8b6543b0f296,GADD45B,JUNB;JUN;JUND;HSPA5;FOS;TSC22D4;ENO1,7,100.0,0.0,exp02_amygdala-coregtor-default
7241d360b801,GSTP1,ENO1;TSC22D4;UBXN1;ATF4;RPL35;CSNK2B;USF2;DRAP1;RPS10;FEZ1;RPS4X;SRP9;RPL6;YBX1;STUB1;HADHB,16,100.0,0.0,exp02_amygdala-coregtor-default
170239e69682,HBA2,HSPA5;TSC22D4;EZR;AGAP2;HADHB;FOS;DRAP1;RPL6;ENO1;FEZ1;TCEAL2;PRNP;JUND;DEAF1;OLIG1;UBB;SOD1;RAB7A;ARNT2;SREBF2;EWSR1;TPPP;YWHAZ;YWHAE;YBX1;ZNF358;PRDX5;ATF4,28,90.3226,0.3358,exp02_amygdala-coregtor-default
e2168e138d8b,HBB,CENPB;SNRNP70,2,5.2632,0.2759,exp02_amygdala-coregtor-default
96176e351076,HBB,AGAP2;FOS;HADHB;CBX7;HSPA5;EZR;SOD1;USF2;JUND;TCEAL2;YWHAZ;NPDC1;DEAF1;ARNT2;YWHAE;FEZ1;TSC22D4;ATF4;STUB1;RPL6;OLIG1;ENO1;TPPP;UBB;RAB7A;YBX1;EWSR1;ZNF358;JUN;SREBF2;PRDX5;PRNP,32,84.2105,0.2393,exp02_amygdala-coregtor-default
3d8046eb10b0,HBB,JUNB;MAPK1,2,5.2632,0.1794,exp02_amygdala-coregtor-default
049acc8b4c51,HLA-DRB1,JUNB;HSPA5;EWSR1;TPPP;FOS;OLIG1;ATF4;HNRNPA1;YBX1;USF2;SNRNP70;FEZ1;RAB7A;UBXN1;RPS4X;RAN;JUN;RPL6;JUND;PKM,20,95.2381,0.4176,exp02_amygdala-coregtor-default
73848157e75e,HLA-E,TSC22D4;CSNK2B;ATF4;HSPA5;EWSR1;USF2;ENO1;HNRNPA1;RAB7A;YBX1;JUNB;HADHB;JUN;JUND;FOS;UBXN1;EZR,17,100.0,0.0,exp02_amygdala-coregtor-default
96799b0905a0,HSP90AA1,RAN;YBX1;EWSR1;JUN;HSPA5;CSNK2B;HADHB;RAB7A;FOS;JUNB;UBB;PKM;TPPP;OLIG1;ATF4;RPL35;JUND;PRNP,18,100.0,0.0,exp02_amygdala-coregtor-default
12a1b6055b80,HSPA1A,JUN;HSPA5;FOS;YBX1;JUND;UBB;HADHB;ATF4,8,100.0,0.0,exp02_amygdala-coregtor-default
0b1c5b0a0507,MAT2A,RAB7A;SNRNP70;EWSR1;MAPK1;PRNP;TPPP;ARNT2;JUND;RAN;ATF4,10,100.0,0.0,exp02_amygdala-coregtor-default
f63745d4baac,NDRG1,CENPB;YBX1;TSC22D4;HNRNPA1;FEZ1;JUN;OLIG1;TPPP;ATF4;SNRNP70,10,100.0,0.0,exp02_amygdala-coregtor-default
9ff70ec7e8c1,OGA,HNRNPA1;EWSR1;PRNP;RAB7A;NPDC1;ARNT2;CSNK2B;SREBF2;YWHAE;MAPK1;PKM;THRA;RAN;SOX2;UBB;SNRNP70;TCEAL2;JUN,18,100.0,0.0,exp02_amygdala-coregtor-default
1713df077d3f,RHOA,HNRNPA1;YBX1;SRP9;RAB7A;TSC22D4;ATF4;UBB;CSNK2B;USF2;RPS4X;ENO1;YWHAE;RAN;UBXN1;RPL6;DRAP1;FEZ1;PRNP;HADHB,19,100.0,0.0,exp02_amygdala-coregtor-default
21bcd0a81c61,SPARC,HADHB;EZR;SOX2;HSPA5;EWSR1;USF2;YBX1,7,100.0,0.0,exp02_amygdala-coregtor-default
9a78778181c3,STMN1,YWHAZ;TCEAL2;ZMAT2;SOD1;RAN;TPI1;CSNK2B;YWHAE;MAPK1,9,100.0,0.0,exp02_amygdala-coregtor-default
e98804b782f4,SUMO1,SOD1;TCEAL2;YWHAZ;RAN;YWHAE;TPI1;MAPK1;ZMAT2;PRNP,9,100.0,0.0,exp02_amygdala-coregtor-default
67cc302b1db5,TIMP3,TSC22D4;ENO1;SOX2;THRA;ARNT2;EZR;HADHB;PKM;SRP9;UBB;JUN;EWSR1,12,80.0,0.3077,exp02_amygdala-coregtor-default
fd3468c486a8,TKT,CSNK2B;ENO1;OLIG1;PKM;RAB7A;THRA;ATF4;NPDC1;TPI1;ZMAT2;ARNT2;RAN;SOD1;EWSR1;USF2;UBXN1;SRP9;HSPA5;DRAP1;YBX1;SREBF2,21,100.0,0.0,exp02_amygdala-coregtor-default
30d38dd58a36,TXN,TCEAL2;STUB1;THRA;SOD1;CSNK2B;DRAP1;YWHAE;SRP9;RPL6;RPS10;ZMAT2;TPI1;RAN;YWHAZ;UBXN1;PRNP;PRDX5,17,100.0,0.0,exp02_amygdala-coregtor-default
097c9326b804,VIM,CSNK2B;ENO1;TSC22D4;HNRNPA1;SOX2;PKM;HADHB;EZR;ATF4;SRP9;FOS;RAB7A;THRA;JUN;YBX1;UBXN1;DEAF1;EWSR1;RPL6;JUND;HSPA5;JUNB;RAN,23,100.0,0.0,exp02_amygdala-coregtor-default
