,cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid
0,0f44a99df7e5,ACTB,YWHAE;RAB7A;RAN;NPDC1;ZMAT2;YWHAZ;PKM;CSNK2B;EWSR1;TPI1;MAPK1;SREBF2,12,100.0,0.0,exp02_amygdala-coregtor-default,0.35421,1.07373,0.32151,0.56818,0.56818,0.56818,23.42889,19.91061,26.34654
1,3dc8dbae3183,APOE,HADHB;EZR;SOX2;TSC22D4;ENO1,5,100.0,0.0,exp02_amygdala-coregtor-default,0.29008,0.94256,0.26141,0.6,0.65,0.7,14.42212,10.22392,21.03426
2,b3c38c7b5627,APP,TPPP;EWSR1;HNRNPA1;RAB7A;PRNP;YWHAZ;YWHAE;MAPK1,8,100.0,0.0,exp02_amygdala-coregtor-default,0.3637,1.31991,0.2935,0.60714,0.625,0.67857,30.63097,30.74335,32.39031
3,8ef1408b4142,CLU,ENO1;TSC22D4;EZR;HADHB;SOX2;USF2;FOS;ATF4;YBX1;PKM,10,100.0,0.0,exp02_amygdala-coregtor-default,0.38152,1.31089,0.31632,0.58519,0.6,0.5963,18.98929,26.36185,22.54053
4,e39f8e63dea5,CRYAB,YBX1;RPS10;JUN;HSPA5;ATF4;EWSR1;HNRNPA1;OLIG1;CSNK2B;FEZ1;TSC22D4;JUND;CENPB;FOS,14,100.0,0.0,exp02_amygdala-coregtor-default,0.38617,1.18484,0.34533,0.60256,0.58608,0.58425,29.61646,23.13476,24.90086
5,a478c525e701,DUSP1,JUN;FOS;JUNB;HNRNPA1;ATF4,5,100.0,0.0,exp02_amygdala-coregtor-default,0.55521,2.18949,0.43743,0.85,0.85,0.8,43.55426,52.88807,26.71698
6,8b6543b0f296,GADD45B,JUNB;JUN;JUND;HSPA5;FOS;TSC22D4;ENO1,7,100.0,0.0,exp02_amygdala-coregtor-default,0.46622,1.68951,0.38833,0.69048,0.75397,0.64286,33.60762,56.80173,24.3091
7,7241d360b801,GSTP1,ENO1;TSC22D4;UBXN1;ATF4;RPL35;CSNK2B;USF2;DRAP1;RPS10;FEZ1;RPS4X;SRP9;RPL6;YBX1;STUB1;HADHB,16,100.0,0.0,exp02_amygdala-coregtor-default,0.34775,1.07719,0.31206,0.55556,0.55694,0.56667,33.41182,19.06335,36.17061
8,170239e69682,HBA2,HSPA5;TSC22D4;EZR;AGAP2;HADHB;FOS;DRAP1;RPL6;ENO1;FEZ1;TCEAL2;PRNP;JUND;DEAF1;OLIG1;UBB;SOD1;RAB7A;ARNT2;SREBF2;EWSR1;TPPP;YWHAZ;YWHAE;YBX1;ZNF358;PRDX5;ATF4,28,90.3226,0.3358,exp02_amygdala-coregtor-default,0.35137,1.16511,0.30276,0.5291,0.50595,0.5366,12.23177,10.64835,12.45334
9,e2168e138d8b,HBB,CENPB;SNRNP70,2,5.2632,0.2759,exp02_amygdala-coregtor-default,0.48691,1.04222,0.45484,0.5,1.0,0.5,6.74213,7.08635,7.84253
10,96176e351076,HBB,AGAP2;FOS;HADHB;CBX7;HSPA5;EZR;SOD1;USF2;JUND;TCEAL2;YWHAZ;NPDC1;DEAF1;ARNT2;YWHAE;FEZ1;TSC22D4;ATF4;STUB1;RPL6;OLIG1;ENO1;TPPP;UBB;RAB7A;YBX1;EWSR1;ZNF358;JUN;SREBF2;PRDX5;PRNP,32,84.2105,0.2393,exp02_amygdala-coregtor-default,0.34896,1.1339,0.30787,0.53259,0.50571,0.52991,13.33532,11.76525,11.3602
11,3d8046eb10b0,HBB,JUNB;MAPK1,2,5.2632,0.1794,exp02_amygdala-coregtor-default,0.35094,1.28418,0.28568,0.5,0.5,0.5,22.29773,45.06003,10.73456
12,049acc8b4c51,HLA-DRB1,JUNB;HSPA5;EWSR1;TPPP;FOS;OLIG1;ATF4;HNRNPA1;YBX1;USF2;SNRNP70;FEZ1;RAB7A;UBXN1;RPS4X;RAN;JUN;RPL6;JUND;PKM,20,95.2381,0.4176,exp02_amygdala-coregtor-default,0.3743,1.24122,0.3183,0.59298,0.59474,0.57719,37.68335,26.00564,33.13386
13,73848157e75e,HLA-E,TSC22D4;CSNK2B;ATF4;HSPA5;EWSR1;USF2;ENO1;HNRNPA1;RAB7A;YBX1;JUNB;HADHB;JUN;JUND;FOS;UBXN1;EZR,17,100.0,0.0,exp02_amygdala-coregtor-default,0.37765,1.29018,0.31582,0.61642,0.60172,0.59069,27.90249,21.68324,23.66162
14,96799b0905a0,HSP90AA1,RAN;YBX1;EWSR1;JUN;HSPA5;CSNK2B;HADHB;RAB7A;FOS;JUNB;UBB;PKM;TPPP;OLIG1;ATF4;RPL35;JUND;PRNP,18,100.0,0.0,exp02_amygdala-coregtor-default,0.35666,1.21216,0.30329,0.59259,0.58606,0.58824,24.38357,23.49531,23.13016
15,12a1b6055b80,HSPA1A,JUN;HSPA5;FOS;YBX1;JUND;UBB;HADHB;ATF4,8,100.0,0.0,exp02_amygdala-coregtor-default,0.39745,1.5036,0.32612,0.69643,0.71429,0.625,35.09348,45.56328,23.94684
16,0b1c5b0a0507,MAT2A,RAB7A;SNRNP70;EWSR1;MAPK1;PRNP;TPPP;ARNT2;JUND;RAN;ATF4,10,100.0,0.0,exp02_amygdala-coregtor-default,0.34277,1.23519,0.27853,0.53333,0.52222,0.56296,10.84035,12.15118,13.35895
17,f63745d4baac,NDRG1,CENPB;YBX1;TSC22D4;HNRNPA1;FEZ1;JUN;OLIG1;TPPP;ATF4;SNRNP70,10,100.0,0.0,exp02_amygdala-coregtor-default,0.36656,1.1773,0.32249,0.55926,0.51481,0.53333,35.05383,19.27678,21.47986
18,9ff70ec7e8c1,OGA,HNRNPA1;EWSR1;PRNP;RAB7A;NPDC1;ARNT2;CSNK2B;SREBF2;YWHAE;MAPK1;PKM;THRA;RAN;SOX2;UBB;SNRNP70;TCEAL2;JUN,18,100.0,0.0,exp02_amygdala-coregtor-default,0.36518,1.14153,0.32346,0.57081,0.53758,0.57298,22.4882,19.41118,21.23448
19,1713df077d3f,RHOA,HNRNPA1;YBX1;SRP9;RAB7A;TSC22D4;ATF4;UBB;CSNK2B;USF2;RPS4X;ENO1;YWHAE;RAN;UBXN1;RPL6;DRAP1;FEZ1;PRNP;HADHB,19,100.0,0.0,exp02_amygdala-coregtor-default,0.33596,1.12587,0.28728,0.54191,0.55361,0.55556,26.3718,20.60461,28.23335
20,21bcd0a81c61,SPARC,HADHB;EZR;SOX2;HSPA5;EWSR1;USF2;YBX1,7,100.0,0.0,exp02_amygdala-coregtor-default,0.33225,0.98656,0.29343,0.69048,0.61905,0.69048,34.53676,18.89268,42.79997
21,9a78778181c3,STMN1,YWHAZ;TCEAL2;ZMAT2;SOD1;RAN;TPI1;CSNK2B;YWHAE;MAPK1,9,100.0,0.0,exp02_amygdala-coregtor-default,0.3402,1.08811,0.30736,0.58333,0.59259,0.56944,22.49418,22.61652,24.30505
22,e98804b782f4,SUMO1,SOD1;TCEAL2;YWHAZ;RAN;YWHAE;TPI1;MAPK1;ZMAT2;PRNP,9,100.0,0.0,exp02_amygdala-coregtor-default,0.32887,1.12158,0.29015,0.59722,0.60648,0.65278,20.01759,25.87787,24.77559
23,67cc302b1db5,TIMP3,TSC22D4;ENO1;SOX2;THRA;ARNT2;EZR;HADHB;PKM;SRP9;UBB;JUN;EWSR1,12,80.0,0.3077,exp02_amygdala-coregtor-default,0.37028,1.11195,0.33009,0.59848,0.55051,0.58081,20.59822,22.09469,18.88289
24,fd3468c486a8,TKT,CSNK2B;ENO1;OLIG1;PKM;RAB7A;THRA;ATF4;NPDC1;TPI1;ZMAT2;ARNT2;RAN;SOD1;EWSR1;USF2;UBXN1;SRP9;HSPA5;DRAP1;YBX1;SREBF2,21,100.0,0.0,exp02_amygdala-coregtor-default,0.36422,1.13206,0.32424,0.53016,0.51627,0.5381,13.74915,15.2889,18.30182
25,30d38dd58a36,TXN,TCEAL2;STUB1;THRA;SOD1;CSNK2B;DRAP1;YWHAE;SRP9;RPL6;RPS10;ZMAT2;TPI1;RAN;YWHAZ;UBXN1;PRNP;PRDX5,17,100.0,0.0,exp02_amygdala-coregtor-default,0.3247,1.01321,0.29793,0.55025,0.53186,0.5674,16.97748,14.29341,21.18225
26,097c9326b804,VIM,CSNK2B;ENO1;TSC22D4;HNRNPA1;SOX2;PKM;HADHB;EZR;ATF4;SRP9;FOS;RAB7A;THRA;JUN;YBX1;UBXN1;DEAF1;EWSR1;RPL6;JUND;HSPA5;JUNB;RAN,23,100.0,0.0,exp02_amygdala-coregtor-default,0.38647,1.28275,0.32624,0.58959,0.58564,0.58893,28.86121,24.63124,29.47283
