cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
6f903d793dd6,ACTB,RAN;RAB7A;PKM;ZMAT2;CSNK2B,5,41.6667,0.294,exp02_amygdala-coregtor-n_five
06c54168555a,ACTB,YWHAE;YWHAZ;NPDC1,3,25.0,0.2072,exp02_amygdala-coregtor-n_five
3b83ee89536e,APOE,EZR;HADHB;SOX2;TSC22D4,4,80.0,0.7264,exp02_amygdala-coregtor-n_five
260013face11,APP,RAB7A;PRNP;MAPK1;EWSR1;HNRNPA1,5,62.5,0.3356,exp02_amygdala-coregtor-n_five
20f339e4e3d7,CLU,HADHB;EZR;SOX2;ENO1;TSC22D4,5,50.0,0.6422,exp02_amygdala-coregtor-n_five
91193795d60b,CRYAB,YBX1;HSPA5;JUN;ATF4;OLIG1;FEZ1,6,42.8571,0.3693,exp02_amygdala-coregtor-n_five
6ade7acf46ce,DUSP1,FOS;JUNB;JUN;HNRNPA1,4,80.0,0.4613,exp02_amygdala-coregtor-n_five
786b1872b645,GADD45B,JUNB;JUN;JUND;TSC22D4,4,57.1429,0.4435,exp02_amygdala-coregtor-n_five
d32b294c0937,GADD45B,ENO1;HSPA5;FOS,3,42.8571,0.2582,exp02_amygdala-coregtor-n_five
b5fb3231ae23,GSTP1,CSNK2B;UBXN1;TSC22D4;RPL35;ATF4,5,31.25,0.4235,exp02_amygdala-coregtor-n_five
6dac861adacf,GSTP1,DRAP1;ENO1;USF2,3,18.75,0.2882,exp02_amygdala-coregtor-n_five
f7ff4e320702,HBA2,AGAP2;FOS,2,6.4516,0.3689,exp02_amygdala-coregtor-n_five
d5ce710a2b82,HBA2,DRAP1;EZR;HSPA5;HADHB;TSC22D4,5,16.129,0.3,exp02_amygdala-coregtor-n_five
ea41ab6ab58c,HBB,HSPA5;EZR;FOS;AGAP2;HADHB,5,13.1579,0.6196,exp02_amygdala-coregtor-n_five
91912fc5026e,HLA-DRB1,ATF4;YBX1;HNRNPA1;HSPA5;EWSR1;USF2,6,28.5714,0.4359,exp02_amygdala-coregtor-n_five
dd20dce0e6ea,HLA-DRB1,OLIG1;JUNB;FOS,3,14.2857,0.3822,exp02_amygdala-coregtor-n_five
6de485723d61,HLA-E,ATF4;ENO1,2,11.7647,0.3226,exp02_amygdala-coregtor-n_five
f9417066e7fe,HLA-E,TSC22D4;YBX1;CSNK2B;EWSR1;HSPA5,5,29.4118,0.245,exp02_amygdala-coregtor-n_five
588ea27fe507,HSP90AA1,FOS;JUN;YBX1;HSPA5;HADHB,5,27.7778,0.2641,exp02_amygdala-coregtor-n_five
8bb7fb449e3a,HSPA1A,HSPA5;JUN;FOS;YBX1;JUND,5,62.5,0.3568,exp02_amygdala-coregtor-n_five
4276ee65d787,MAT2A,EWSR1;RAB7A;SNRNP70;TPPP;PRNP,5,50.0,0.4784,exp02_amygdala-coregtor-n_five
28eb7ae159b7,NDRG1,YBX1;HNRNPA1;CENPB;TPPP;FEZ1,5,50.0,0.3132,exp02_amygdala-coregtor-n_five
7c72357442b4,OGA,YWHAE;PRNP;CSNK2B;RAB7A;EWSR1;MAPK1,6,33.3333,0.188,exp02_amygdala-coregtor-n_five
29fd7bfb3795,RHOA,HNRNPA1;UBXN1;RAB7A;SRP9;YBX1;CSNK2B,6,31.5789,0.1669,exp02_amygdala-coregtor-n_five
2a446cd353fb,SPARC,EZR;HSPA5;SOX2;HADHB;EWSR1,5,71.4286,0.397,exp02_amygdala-coregtor-n_five
7970a0a6ee3e,SPARC,USF2;YBX1,2,28.5714,0.2056,exp02_amygdala-coregtor-n_five
063a4f52f12a,STMN1,YWHAZ;TCEAL2;ZMAT2;RAN;SOD1,5,55.5556,0.3353,exp02_amygdala-coregtor-n_five
feeaad289925,SUMO1,YWHAZ;TCEAL2;SOD1;YWHAE;RAN,5,55.5556,0.7588,exp02_amygdala-coregtor-n_five
7f45aee5daf2,TIMP3,HADHB;EZR;ENO1;SOX2;TSC22D4,5,33.3333,0.4077,exp02_amygdala-coregtor-n_five
b244eb2ab925,TKT,PKM;CSNK2B;THRA;RAB7A;RAN;ENO1;OLIG1,7,33.3333,0.2716,exp02_amygdala-coregtor-n_five
0f471fba55ac,TXN,SOD1;TCEAL2;YWHAE;STUB1;DRAP1,5,29.4118,0.3538,exp02_amygdala-coregtor-n_five
8594e06f113f,VIM,TSC22D4;CSNK2B;ENO1;HADHB;EZR;SOX2;HNRNPA1,7,30.4348,0.4368,exp02_amygdala-coregtor-n_five
