cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
6f903d793dd6,ACTB,RAN;RAB7A;PKM;ZMAT2;CSNK2B,5,41.6667,0.294,exp02_amygdala-coregtor-n_five,0.37544,1.22279,0.31221,0.55,0.5,0.55,23.27345,7.64705,30.10428,0.0,0.0,0.0,0.0
06c54168555a,ACTB,YWHAE;YWHAZ;NPDC1,3,25.0,0.2072,exp02_amygdala-coregtor-n_five,0.36984,1.13736,0.36778,0.66667,0.55556,0.66667,0.4048,82.49671,0.83696,0.0,0.0,0.0,0.0
3b83ee89536e,APOE,EZR;HADHB;SOX2;TSC22D4,4,80.0,0.7264,exp02_amygdala-coregtor-n_five,0.23057,0.71305,0.2246,0.58333,0.52778,0.66667,6.18764,4.80039,12.25061,0.0,0.0,0.0,0.0
260013face11,APP,RAB7A;PRNP;MAPK1;EWSR1;HNRNPA1,5,62.5,0.3356,exp02_amygdala-coregtor-n_five,0.34117,1.19254,0.27198,0.6,0.6,0.65,27.05079,25.36804,36.80859,0.0,0.0,0.0,0.0
20f339e4e3d7,CLU,HADHB;EZR;SOX2;ENO1;TSC22D4,5,50.0,0.6422,exp02_amygdala-coregtor-n_five,0.28988,0.94151,0.26137,0.6,0.65,0.7,14.42212,10.22392,21.03426,0.0,0.0,0.0,0.0
91193795d60b,CRYAB,YBX1;HSPA5;JUN;ATF4;OLIG1;FEZ1,6,42.8571,0.3693,exp02_amygdala-coregtor-n_five,0.36848,1.3351,0.30166,0.61111,0.65556,0.54444,24.88325,24.03475,14.13484,0.0,0.0,0.0,0.0
6ade7acf46ce,DUSP1,FOS;JUNB;JUN;HNRNPA1,4,80.0,0.4613,exp02_amygdala-coregtor-n_five,0.54311,2.07211,0.43849,0.83333,0.83333,0.75,62.18589,58.86976,33.4501,0.25,0.034482758620689655,0.0606060606060606,0.03125
786b1872b645,GADD45B,JUNB;JUN;JUND;TSC22D4,4,57.1429,0.4435,exp02_amygdala-coregtor-n_five,0.54305,1.85175,0.48814,0.75,0.75,0.75,34.16018,76.03923,27.28885,0.25,0.043478260869565216,0.07407407407407408,0.038461538461538464
d32b294c0937,GADD45B,ENO1;HSPA5;FOS,3,42.8571,0.2582,exp02_amygdala-coregtor-n_five,0.41375,1.54467,0.29585,0.5,1.0,0.5,42.99181,58.75102,46.58674,0.0,0.0,0.0,0.0
b5fb3231ae23,GSTP1,CSNK2B;UBXN1;TSC22D4;RPL35;ATF4,5,31.25,0.4235,exp02_amygdala-coregtor-n_five,0.30037,0.93041,0.27635,0.5,0.51667,0.5,6.14759,9.44606,8.17332,0.0,0.0,0.0,0.0
