"Regulator","Target"
"BCL6","CLU"
"BCL6","GADD45B"
"BCL6","SPARC"
"BCL6","TIMP3"
"JUNB","HLA-DRB1"
"JUNB","HLA-E"
"JUNB","CDKN1A"
"JUNB","ID3"
"JUNB","DUSP1"
"JUNB","ACTB"
"JUNB","FN1"
"JUNB","CLU"
"JUNB","ACTA2"
"JUNB","TAGLN"
"JUNB","PDLIM7"
"JUNB","TKT"
"BHLHE40","HLA-DRB1"
"BHLHE40","HLA-E"
"BHLHE40","CDKN1A"
"BHLHE40","VIM"
"BHLHE40","ID3"
"BHLHE40","SPARC"
"BHLHE40","DUSP1"
"BHLHE40","ACTB"
"BHLHE40","FN1"
"BHLHE40","CLU"
"BHLHE40","PDK4"
"BHLHE40","ACTA2"
"BHLHE40","TAGLN"
"BHLHE40","PDLIM7"
"BHLHE40","TKT"
"NR4A1","HLA-DRB1"
"NR4A1","HLA-E"
"NR4A1","CDKN1A"
"NR4A1","VIM"
"NR4A1","ID3"
"NR4A1","SPARC"
"NR4A1","TIMP1"
"NR4A1","TIMP3"
"NR4A1","DUSP1"
"NR4A1","ACTB"
"NR4A1","FN1"
"NR4A1","CLU"
"NR4A1","TAGLN"
"NR4A1","TKT"
"FOS","HLA-DRB1"
"FOS","HLA-E"
"FOS","CDKN1A"
"FOS","ID3"
"FOS","DUSP1"
"FOS","ACTB"
"FOS","FN1"
"FOS","CLU"
"FOS","ACTA2"
"FOS","TAGLN"
"FOS","PDLIM7"
"FOS","TIMP1"
"FOS","TKT"
"ID1","HLA-DRB1"
"ID1","PDK4"
"ID1","HLA-E"
"ID1","CDKN1A"
"ID1","VIM"
"ID1","ID3"
"ID1","TIMP3"
"ID1","DUSP1"
"ID1","ACTB"
"ID1","FN1"
"ID1","CLU"
"ID1","ACTA2"
"ID1","TAGLN"
"ID1","PDLIM7"
"ID1","SPARC"
"ID1","TIMP1"
"ID1","GADD45B"
"ID1","TKT"
"ELF3","HLA-DRB1"
"ELF3","PDK4"
"ELF3","HLA-E"
"ELF3","CDKN1A"
"ELF3","ID3"
"ELF3","SPARC"
"ELF3","TIMP1"
"ELF3","TIMP3"
"ELF3","DUSP1"
"ELF3","ACTB"
"ELF3","FN1"
"ELF3","CLU"
"ELF3","ACTA2"
"ELF3","VIM"
"ELF3","TAGLN"
"ELF3","PDLIM7"
"ELF3","GADD45B"
"ELF3","TKT"
"CEBPD","HLA-E"
"CEBPD","CDKN1A"
"CEBPD","GADD45B"
"CEBPB","HLA-E"
"CEBPB","CDKN1A"
"CEBPB","VIM"
"CEBPB","TIMP3"
"CEBPB","DUSP1"
"ETS2","HLA-E"
"ETS2","CDKN1A"
"ETS2","DUSP1"
"ID2","HLA-E"
"ID2","CDKN1A"
"ID2","VIM"
"ID2","ID3"
"ID2","DUSP1"
"ID2","CLU"
"ID2","ACTA2"
"ID2","TAGLN"
"EGR1","HLA-E"
"EGR1","CDKN1A"
"EGR1","VIM"
"EGR1","ID3"
"EGR1","TIMP3"
"EGR1","DUSP1"
"EGR1","CLU"
"EGR1","TAGLN"
"EGR1","TIMP1"
"EGR1","TKT"
"FOSL2","CDKN1A"
"FOSL2","ACTB"
"JUN","VIM"
"JUN","TIMP3"
"JUN","DUSP1"
"JUN","TIMP1"
"EZR","ID3"
"EZR","ACTB"
"EZR","FN1"
"EZR","CLU"
"EZR","ACTA2"
"EZR","VIM"
"EZR","TAGLN"
"EZR","PDLIM7"
"EZR","SPARC"
"EZR","TIMP1"
"JUND","TIMP3"
