cluster_uid,target,sources,n_sources,n_percent,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
8443a671c5a9,ACTA2,BHLHE40;ELF3;EZR;FOS;ID1;ID2;JUNB,7,100.0,exp02-coregnet,0.51587,0.59524,0.51587,8.1282,21.59125,5.02974,0.45937,1.57449,0.3854,0.0,0.0,0.0,0.0
9d9c38b31ef7,ACTB,BHLHE40;ELF3;EZR;FOS;FOSL2;ID1;JUNB;NR4A1,8,100.0,exp02-coregnet,0.56548,0.67857,0.55357,13.01744,30.61148,6.81262,0.49934,1.587,0.44181,0.125,0.04762,0.06897,0.03571
a2d501206cf6,CDKN1A,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;FOSL2;ID1;ID2;JUNB;NR4A1,12,100.0,exp02-coregnet,0.56061,0.76515,0.57576,15.06754,47.83095,8.26301,0.58635,1.94283,0.50526,0.66667,0.0315,0.06015,0.03101
9fb9d40d06c0,CLU,BCL6;BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,10,100.0,exp02-coregnet,0.54074,0.68889,0.53704,8.33171,37.7706,5.53685,0.48808,1.72005,0.3967,0.2,0.08,0.11429,0.06061
d8e26eea77da,DUSP1,BHLHE40;CEBPB;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUN;JUNB;NR4A1,11,100.0,exp02-coregnet,0.59091,0.78182,0.59091,16.08824,56.3205,11.11461,0.57187,1.99799,0.47653,0.18182,0.06897,0.1,0.05263
a4c0ac969724,FN1,BHLHE40;ELF3;EZR;FOS;ID1;JUNB;NR4A1,7,100.0,exp02-coregnet,0.53968,0.64286,0.54762,10.17723,27.24316,5.48267,0.47671,1.56396,0.40906,0.14286,0.01538,0.02778,0.01408
fa66eaa25a6d,GADD45B,BCL6;CEBPD;ELF3;ID1,4,100.0,exp02-coregnet,0.47222,0.58333,0.5,2.39431,15.74952,2.47738,0.55011,1.55959,0.4833,0.0,0.0,0.0,0.0
ffaed4534628,HLA-DRB1,BHLHE40;ELF3;FOS;ID1;JUNB;NR4A1,6,100.0,exp02-coregnet,0.55556,0.7,0.56667,12.94372,35.0667,6.50057,0.56546,1.83892,0.48635,0.0,0.0,0.0,0.0
ffbb12f9a127,HLA-E,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUNB;NR4A1,11,100.0,exp02-coregnet,0.54545,0.74545,0.56364,13.70423,48.36765,7.6501,0.57857,1.96301,0.48871,0.18182,0.03846,0.06349,0.03279
07ff81a5ee14,ID3,BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,9,100.0,exp02-coregnet,0.53704,0.68056,0.53241,8.92519,35.69888,5.52371,0.48618,1.71891,0.39903,0.33333,0.14286,0.2,0.11111
9c0825cf6d31,PDK4,BHLHE40;ELF3;ID1,3,100.0,exp02-coregnet,0.44444,0.5,0.5,0.90879,4.39792,1.80522,0.58995,1.72961,0.51909,0.0,0.0,0.0,0.0
beb7cf0e58af,PDLIM7,BHLHE40;ELF3;EZR;FOS;ID1;JUNB,6,100.0,exp02-coregnet,0.52222,0.6,0.53333,8.37984,21.17745,5.0003,0.45414,1.45138,0.3951,0.33333,0.05263,0.09091,0.04762
ccdec7e02b0e,SPARC,BCL6;BHLHE40;ELF3;EZR;ID1;NR4A1,6,100.0,exp02-coregnet,0.52222,0.56667,0.53333,4.44395,12.89025,3.66677,0.45367,1.45897,0.38566,0.0,0.0,0.0,0.0
ab17dc1c8710,TAGLN,BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,9,100.0,exp02-coregnet,0.53704,0.68056,0.53241,8.92519,35.69888,5.52371,0.48618,1.71891,0.39903,0.0,0.0,0.0,0.0
b39199c9bd28,TIMP1,EGR1;ELF3;EZR;FOS;ID1;JUN;NR4A1,7,100.0,exp02-coregnet,0.61111,0.71429,0.54762,15.58585,57.28167,10.673,0.46892,1.669,0.38401,0.42857,0.07895,0.13333,0.07143
92781efa3ffd,TIMP3,BCL6;CEBPB;EGR1;ELF3;ID1;JUN;JUND;NR4A1,8,100.0,exp02-coregnet,0.67262,0.78571,0.64286,16.17162,71.46303,12.97667,0.56735,1.99802,0.45927,0.375,0.13636,0.2,0.11111
d9f64ddf953f,TKT,BHLHE40;EGR1;ELF3;FOS;ID1;JUNB;NR4A1,7,100.0,exp02-coregnet,0.56349,0.7619,0.57143,11.61898,49.32535,6.46779,0.56863,1.92398,0.47834,0.14286,0.03571,0.05714,0.02941
e42775a152a9,VIM,BHLHE40;CEBPB;EGR1;ELF3;EZR;ID1;ID2;JUN;NR4A1,9,100.0,exp02-coregnet,0.5787,0.69444,0.5463,11.3883,42.14988,8.60284,0.49038,1.76168,0.39742,0.11111,0.02,0.0339,0.01724
