cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
8443a671c5a9,ACTA2,BHLHE40;ELF3;EZR;FOS;ID1;ID2;JUNB,7,100.0,exp02-coregnet,0.45725,1.56523,0.38428,0.51587,0.59524,0.51587,8.1282,21.59125,5.02974,0.0,0.0,0.0,0.0
9d9c38b31ef7,ACTB,BHLHE40;ELF3;EZR;FOS;FOSL2;ID1;JUNB;NR4A1,8,100.0,exp02-coregnet,0.49716,1.5785,0.44062,0.56548,0.67857,0.55357,13.01744,30.61148,6.81262,0.125,0.047619047619047616,0.06896551724137931,0.03571428571428571
a2d501206cf6,CDKN1A,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;FOSL2;ID1;ID2;JUNB;NR4A1,12,100.0,exp02-coregnet,0.58291,1.92671,0.50403,0.56061,0.76515,0.57576,15.06754,47.83095,8.26301,0.6666666666666666,0.031496062992125984,0.06015037593984962,0.031007751937984496
9fb9d40d06c0,CLU,BCL6;BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,10,100.0,exp02-coregnet,0.48529,1.70519,0.39576,0.54074,0.68889,0.53704,8.33171,37.7706,5.53685,0.2,0.08,0.11428571428571428,0.06060606060606061
d8e26eea77da,DUSP1,BHLHE40;CEBPB;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUN;JUNB;NR4A1,11,100.0,exp02-coregnet,0.56852,1.98273,0.47536,0.59091,0.78182,0.59091,16.08824,56.3205,11.11461,0.18181818181818182,0.06896551724137931,0.1,0.05263157894736842
a4c0ac969724,FN1,BHLHE40;ELF3;EZR;FOS;ID1;JUNB;NR4A1,7,100.0,exp02-coregnet,0.47457,1.55492,0.40801,0.53968,0.64286,0.54762,10.17723,27.24316,5.48267,0.14285714285714285,0.015384615384615385,0.02777777777777778,0.014084507042253521
fa66eaa25a6d,GADD45B,BCL6;CEBPD;ELF3;ID1,4,100.0,exp02-coregnet,0.54725,1.54903,0.48181,0.47222,0.58333,0.5,2.39431,15.74952,2.47738,0.0,0.0,0.0,0.0
ffaed4534628,HLA-DRB1,BHLHE40;ELF3;FOS;ID1;JUNB;NR4A1,6,100.0,exp02-coregnet,0.56354,1.83174,0.48534,0.55556,0.7,0.56667,12.94372,35.0667,6.50057,0.0,0.0,0.0,0.0
ffbb12f9a127,HLA-E,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUNB;NR4A1,11,100.0,exp02-coregnet,0.5751,1.94628,0.48755,0.54545,0.74545,0.56364,13.70423,48.36765,7.6501,0.18181818181818182,0.038461538461538464,0.0634920634920635,0.03278688524590164
07ff81a5ee14,ID3,BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,9,100.0,exp02-coregnet,0.48289,1.70267,0.39783,0.53704,0.68056,0.53241,8.92519,35.69888,5.52371,0.3333333333333333,0.14285714285714285,0.2,0.1111111111111111
9c0825cf6d31,PDK4,BHLHE40;ELF3;ID1,3,100.0,exp02-coregnet,0.58706,1.71892,0.51757,0.44444,0.5,0.5,0.90879,4.39792,1.80522,0.0,0.0,0.0,0.0
beb7cf0e58af,PDLIM7,BHLHE40;ELF3;EZR;FOS;ID1;JUNB,6,100.0,exp02-coregnet,0.45176,1.44109,0.39391,0.52222,0.6,0.53333,8.37984,21.17745,5.0003,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.047619047619047616
ccdec7e02b0e,SPARC,BCL6;BHLHE40;ELF3;EZR;ID1;NR4A1,6,100.0,exp02-coregnet,0.45188,1.45187,0.38495,0.52222,0.56667,0.53333,4.44395,12.89025,3.66677,0.0,0.0,0.0,0.0
ab17dc1c8710,TAGLN,BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,9,100.0,exp02-coregnet,0.48289,1.70267,0.39783,0.53704,0.68056,0.53241,8.92519,35.69888,5.52371,0.0,0.0,0.0,0.0
b39199c9bd28,TIMP1,EGR1;ELF3;EZR;FOS;ID1;JUN;NR4A1,7,100.0,exp02-coregnet,0.46475,1.65306,0.3822,0.61111,0.71429,0.54762,15.58585,57.28167,10.673,0.42857142857142855,0.07894736842105263,0.13333333333333333,0.07142857142857142
92781efa3ffd,TIMP3,BCL6;CEBPB;EGR1;ELF3;ID1;JUN;JUND;NR4A1,8,100.0,exp02-coregnet,0.56384,1.98495,0.45804,0.67262,0.78571,0.64286,16.17162,71.46303,12.97667,0.375,0.13636363636363635,0.19999999999999998,0.1111111111111111
d9f64ddf953f,TKT,BHLHE40;EGR1;ELF3;FOS;ID1;JUNB;NR4A1,7,100.0,exp02-coregnet,0.56446,1.90322,0.47702,0.56349,0.7619,0.57143,11.61898,49.32535,6.46779,0.14285714285714285,0.03571428571428571,0.05714285714285715,0.029411764705882353
e42775a152a9,VIM,BHLHE40;CEBPB;EGR1;ELF3;EZR;ID1;ID2;JUN;NR4A1,9,100.0,exp02-coregnet,0.48739,1.74923,0.39626,0.5787,0.69444,0.5463,11.3883,42.14988,8.60284,0.1111111111111111,0.02,0.03389830508474577,0.017241379310344827
