,cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid
0,f83a461f2513,ACTA2,TEAD3;ID2;ATF4;ETS2;YBX1;CBX7;ID1;ELF3;PRNP;PRDX5;SOD1;BHLHE40;TAGLN2,13,100.0,0.0,exp02_bladder-coregtor-default,0.38695,1.26415,0.33915,0.49145,0.51282,0.50427,5.66777,7.0891,5.6543
1,62faaa1a6519,ACTB,TEAD3;ELF3;PRDX5;ID1;YBX1;PRNP;CBX7;ID2,8,100.0,0.0,exp02_bladder-coregtor-default,0.38525,1.22174,0.33496,0.47024,0.48214,0.47619,4.45779,4.15864,3.87518
2,b4e62dc53e86,APP,YWHAE;YWHAZ;PRDX5;EZR;EPAS1;RPL35;NFE2L2;STAT6;PKM;BCL6;HNRNPA1;FOSL2;JUN;NUCB1;ID2,15,100.0,0.0,exp02_bladder-coregtor-default,0.39223,1.31269,0.32611,0.6,0.60794,0.55079,21.22963,28.88868,15.17325
3,9004c1682917,CDKN1A,ETS2;JUNB;ID2;HSPA5;FOSL2;CEBPD;TAGLN2;YWHAE;BHLHE40;ELF3;CBX7;NUCB1;BCL6;CEBPB;EZR;HNRNPA1,16,80.0,0.237,exp02_bladder-coregtor-default,0.40974,1.26486,0.36633,0.53333,0.56944,0.56528,13.07274,16.41386,13.0175
4,79eb1a81c25a,CLU,YBX1;ID1;ELF3;TRIM28;SOD1;BCL6;NFE2L1;RPL6;RPS10;NUCB1;PHF1;ENO1;TEAD3;RPL35;UBB;ID2;ATF4;PRDX5;CBX7;UBXN1,20,100.0,0.0,exp02_bladder-coregtor-default,0.37043,1.14995,0.32981,0.53333,0.53421,0.52632,17.01555,12.48685,16.05478
5,0621a3b714fa,DUSP1,FOS;ID2;FOSL2;CEBPB;ID1;JUN;YBX1;JUNB;CBX7;EZR;PRDX5;TEAD3;TRIM28;HNRNPA1;NR4A1;JUND;EGR1;EPAS1;SOD1,19,95.0,0.457,exp02_bladder-coregtor-default,0.45012,1.58868,0.36882,0.5809,0.63548,0.58285,21.40311,34.03523,16.31461
6,d9436079063d,FN1,TEAD3;CBX7;PRNP;YBX1;ID2;SOD1;ENO1;NFE2L1;JUNB;ETS2;BHLHE40;NR4A1,12,92.3077,0.5741,exp02_bladder-coregtor-default,0.43749,1.43143,0.37593,0.5202,0.52273,0.52778,10.54347,10.42804,7.34964
7,16284fc39d4f,GADD45B,BCL6;TRIM28;EPAS1;HSPA5;CEBPD;ETS2;NUCB1;CEBPB;FOSL2;CSNK2B;JUN;LDB1;ENO1;RPS4X;EWSR1,15,78.9474,0.4607,exp02_bladder-coregtor-default,0.47002,1.46177,0.40013,0.58889,0.5873,0.60952,25.42334,23.53731,26.18873
8,8c7c441a5f8b,GSTP1,EZR;PKM;PRDX5;CBX7;ID1;ELF3;ATF4;JUNB,8,100.0,0.0,exp02_bladder-coregtor-default,0.38387,1.20574,0.33598,0.51786,0.5,0.52381,6.15594,8.19404,6.0384
9,6d74870c5260,HLA-DRB1,PKM;CBX7;TAGLN2;TEAD3;HSPA5;SOD1;RPL6;YBX1;PRNP;STAT6;NR4A1;BHLHE40;HNRNPA1;BCL6;YWHAE;TRIM28;CEBPB,17,94.4444,0.3587,exp02_bladder-coregtor-default,0.38638,1.26696,0.32576,0.57721,0.59804,0.62255,29.61343,21.5692,38.16663
