cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
ebca3b13c106,ACTA2,ATF4;ETS2;TEAD3;ID2;ELF3;YBX1,6,46.1538,0.2917,exp02_bladder-coregtor-n_five
31d6b7b65adc,ACTB,YBX1;ELF3;ID1;TEAD3;PRDX5,5,62.5,0.4749,exp02_bladder-coregtor-n_five
824f7358d278,APP,EPAS1;YWHAZ;EZR;PRDX5;YWHAE,5,33.3333,0.4732,exp02_bladder-coregtor-n_five
7c560c5ff5f3,CDKN1A,ID2;ETS2;JUNB;TAGLN2;FOSL2,5,25.0,0.4255,exp02_bladder-coregtor-n_five
eafac8fc88f8,CLU,TRIM28;YBX1;BCL6;RPL6;SOD1,5,25.0,0.2096,exp02_bladder-coregtor-n_five
f9394df9e9a3,DUSP1,FOSL2;FOS;ID2;CEBPB;JUN,5,25.0,0.4954,exp02_bladder-coregtor-n_five
64154551dcab,FN1,CBX7;TEAD3;YBX1;ID2;PRNP,5,38.4615,0.446,exp02_bladder-coregtor-n_five
78d776d625ee,GADD45B,HSPA5;CEBPD;ETS2;BCL6;EPAS1,5,26.3158,0.2705,exp02_bladder-coregtor-n_five
0b8604d87753,GSTP1,PRDX5;PKM;EZR;ELF3;ID1,5,62.5,0.4688,exp02_bladder-coregtor-n_five
e6fe733dfd06,HLA-DRB1,RPL6;TAGLN2;HSPA5;PKM;TEAD3,5,27.7778,0.435,exp02_bladder-coregtor-n_five
d3029c4122ab,HLA-E,RPL6;PKM;HNRNPA1;STAT6;TAGLN2,5,16.6667,0.5161,exp02_bladder-coregtor-n_five
9ed6d713c096,HLA-E,HSPA5;BHLHE40,2,6.6667,0.2886,exp02_bladder-coregtor-n_five
1cf82b60a4c5,HSP90AA1,HSPA5;YWHAE;PKM;STAT6;CSNK2B,5,16.129,0.3721,exp02_bladder-coregtor-n_five
3a7b1a63614a,ID3,ID2;PRDX5;ID1;ELF3;YBX1,5,62.5,0.4027,exp02_bladder-coregtor-n_five
b98c0873c240,MAT2A,ETS2;NUCB1;CEBPB;EZR;NR4A1,5,22.7273,0.3788,exp02_bladder-coregtor-n_five
5976e3064b8b,NFKBIA,LDB1;FOSL2;HNRNPA1;CEBPB;EWSR1,5,17.8571,0.2602,exp02_bladder-coregtor-n_five
9e58f1bbb81d,PDK4,EGR1;EPAS1;CEBPD;ID2;BCL6;NFE2L2;FOS,7,22.5806,0.2796,exp02_bladder-coregtor-n_five
a4cf65b0c1d9,PDLIM7,TEAD3;CBX7;ID2;ATF4;PRDX5,5,29.4118,0.35,exp02_bladder-coregtor-n_five
faf3a225c41a,RHOA,ENO1;EPAS1;NUCB1;PRNP;YBX1,5,14.7059,0.2259,exp02_bladder-coregtor-n_five
076a2673e2b6,SPARC,TAGLN2;BCL6;TRIM28;NFE2L1;CBX7,5,25.0,0.4357,exp02_bladder-coregtor-n_five
3b9f0bc95e11,TAGLN,TEAD3;YBX1;ATF4;ID2;CBX7,5,31.25,0.2748,exp02_bladder-coregtor-n_five
aee8eaea9dd8,TIMP1,JUND;ENO1;YBX1;TPI1;BCL6,5,26.3158,0.3476,exp02_bladder-coregtor-n_five
c118473caadd,TIMP3,EPAS1;TRIM28;STAT6;JUND;UBB,5,22.7273,0.1839,exp02_bladder-coregtor-n_five
f46bddf009d9,TKT,SOD1;TRIM28;CBX7;NFE2L1;UBXN1,5,71.4286,0.8044,exp02_bladder-coregtor-n_five
287b68022145,TXN,YBX1;ENO1;BCL6;NUCB1;TEAD3,5,35.7143,0.5919,exp02_bladder-coregtor-n_five
c36725f9eea4,VIM,ENO1;TRIM28;PKM;CEBPD;CLK1,5,26.3158,0.2569,exp02_bladder-coregtor-n_five
