cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
ebca3b13c106,ACTA2,ATF4;ETS2;TEAD3;ID2;ELF3;YBX1,6,46.1538,0.2917,exp02_bladder-coregtor-n_five,0.5449,1.76279,0.46013,0.46667,0.53333,0.45556,4.30683,8.44761,2.68166,0.16666666666666666,0.02702702702702703,0.046511627906976744,0.023809523809523808
31d6b7b65adc,ACTB,YBX1;ELF3;ID1;TEAD3;PRDX5,5,62.5,0.4749,exp02_bladder-coregtor-n_five,0.42379,1.23599,0.37408,0.46667,0.46667,0.46667,3.20264,2.43949,2.57418,0.2,0.047619047619047616,0.07692307692307693,0.04
824f7358d278,APP,EPAS1;YWHAZ;EZR;PRDX5;YWHAE,5,33.3333,0.4732,exp02_bladder-coregtor-n_five,0.38831,1.42929,0.31579,0.6,0.6,0.55,15.87369,40.89486,21.88378,0.0,0.0,0.0,0.0
7c560c5ff5f3,CDKN1A,ID2;ETS2;JUNB;TAGLN2;FOSL2,5,25.0,0.4255,exp02_bladder-coregtor-n_five,0.44702,1.29636,0.42295,0.53333,0.58333,0.53333,8.8867,22.11842,6.29199,0.6,0.011811023622047244,0.02316602316602317,0.01171875
eafac8fc88f8,CLU,TRIM28;YBX1;BCL6;RPL6;SOD1,5,25.0,0.2096,exp02_bladder-coregtor-n_five,0.39585,1.30934,0.31751,0.65,0.6,0.65,56.29689,22.85991,61.49298,0.2,0.04,0.06666666666666667,0.034482758620689655
f9394df9e9a3,DUSP1,FOSL2;FOS;ID2;CEBPB;JUN,5,25.0,0.4954,exp02_bladder-coregtor-n_five,0.54867,2.1123,0.44723,0.7,0.85,0.7,34.62489,87.25263,25.68133,0.4,0.06896551724137931,0.1176470588235294,0.0625
64154551dcab,FN1,CBX7;TEAD3;YBX1;ID2;PRNP,5,38.4615,0.446,exp02_bladder-coregtor-n_five,0.35677,1.17245,0.29971,0.48333,0.46667,0.48333,6.71643,2.75785,3.93851,0.0,0.0,0.0,0.0
78d776d625ee,GADD45B,HSPA5;CEBPD;ETS2;BCL6;EPAS1,5,26.3158,0.2705,exp02_bladder-coregtor-n_five,0.50827,1.55873,0.44799,0.5,0.55,0.5,9.43997,27.54746,7.77266,0.0,0.0,0.0,0.0
0b8604d87753,GSTP1,PRDX5;PKM;EZR;ELF3;ID1,5,62.5,0.4688,exp02_bladder-coregtor-n_five,0.34577,1.06051,0.2996,0.53333,0.48333,0.55,8.93757,6.07069,11.69609,0.0,0.0,0.0,0.0
e6fe733dfd06,HLA-DRB1,RPL6;TAGLN2;HSPA5;PKM;TEAD3,5,27.7778,0.435,exp02_bladder-coregtor-n_five,0.33796,0.97548,0.32228,0.55,0.6,0.65,43.16219,25.70477,56.78095,0.0,0.0,0.0,0.0
d3029c4122ab,HLA-E,RPL6;PKM;HNRNPA1;STAT6;TAGLN2,5,16.6667,0.5161,exp02_bladder-coregtor-n_five,0.37449,1.00362,0.35513,0.55,0.65,0.6,50.88328,32.6297,62.83023,0.0,0.0,0.0,0.0
9ed6d713c096,HLA-E,HSPA5;BHLHE40,2,6.6667,0.2886,exp02_bladder-coregtor-n_five,0.26237,0.741,0.25604,0.5,0.5,0.5,6.02498,2.89555,2.14907,0.0,0.0,0.0,0.0
1cf82b60a4c5,HSP90AA1,HSPA5;YWHAE;PKM;STAT6;CSNK2B,5,16.129,0.3721,exp02_bladder-coregtor-n_five,0.43239,1.43602,0.35899,0.5,0.65,0.5,42.76337,23.43502,43.71134,0.0,0.0,0.0,0.0
3a7b1a63614a,ID3,ID2;PRDX5;ID1;ELF3;YBX1,5,62.5,0.4027,exp02_bladder-coregtor-n_five,0.41019,1.35162,0.34373,0.48333,0.51667,0.46667,4.86829,8.05087,4.86959,0.4,0.09523809523809523,0.15384615384615385,0.08333333333333333
b98c0873c240,MAT2A,ETS2;NUCB1;CEBPB;EZR;NR4A1,5,22.7273,0.3788,exp02_bladder-coregtor-n_five,0.38116,1.24224,0.33625,0.5,0.6,0.6,7.33737,21.09176,9.688,0.0,0.0,0.0,0.0
5976e3064b8b,NFKBIA,LDB1;FOSL2;HNRNPA1;CEBPB;EWSR1,5,17.8571,0.2602,exp02_bladder-coregtor-n_five,0.48539,1.46457,0.4014,0.55,0.6,0.7,26.25248,28.51702,47.98191,0.2,0.029411764705882353,0.05128205128205128,0.02631578947368421
9e58f1bbb81d,PDK4,EGR1;EPAS1;CEBPD;ID2;BCL6;NFE2L2;FOS,7,22.5806,0.2796,exp02_bladder-coregtor-n_five,0.54906,2.07945,0.42126,0.5,0.71429,0.49206,12.20556,66.80783,8.03429,0.0,0.0,0.0,0.0
a4cf65b0c1d9,PDLIM7,TEAD3;CBX7;ID2;ATF4;PRDX5,5,29.4118,0.35,exp02_bladder-coregtor-n_five,0.37794,1.29577,0.31928,0.46667,0.43333,0.45,2.80025,1.51097,0.6357,0.0,0.0,0.0,0.0
faf3a225c41a,RHOA,ENO1;EPAS1;NUCB1;PRNP;YBX1,5,14.7059,0.2259,exp02_bladder-coregtor-n_five,0.37192,1.15027,0.3229,0.5,0.5,0.55,13.21782,16.88739,17.71415,0.0,0.0,0.0,0.0
