cluster_uid,target,sources,n_sources,n_percent,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
3c59a203b248,ACTB,ANXA1;BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TSC22D4;UBB;YWHAZ;ZBTB7B,15,100.0,exp02-coregnet,0.48889,0.50952,0.48571,3.76173,13.00747,3.42148,0.38132,1.31644,0.31925,0.0,0.0,0.0,0.0
6ecd8156b71d,BCL2L1,ANXA1;ARG1;BCL6;CEBPD;FOS;GTPBP1;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,16,100.0,exp02-coregnet,0.47222,0.49861,0.47361,4.09067,13.93618,4.57965,0.36273,1.22133,0.31069,0.1875,0.04478,0.07229,0.0375
f36ba2fec553,CCND3,BCL6;CEBPD;HCLS1;LTF;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,15,100.0,exp02-coregnet,0.4873,0.50317,0.4873,4.42372,12.47019,3.52598,0.36161,1.22086,0.31283,0.0,0.0,0.0,0.0
7d84896242e1,CD14,BCL6;CEBPD;GTPBP1;HCLS1;LTF;NFE2;PKM;SEMA4A;SMAP2;SPI1;STAT5B;ZBTB7B,12,100.0,exp02-coregnet,0.4798,0.51515,0.4697,2.69291,15.39143,3.18791,0.41833,1.3874,0.35115,0.08333,0.05,0.0625,0.03226
65d370bf7add,CD44,ANXA1;ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;YWHAZ;ZBTB7B,16,100.0,exp02-coregnet,0.49444,0.51528,0.48333,5.13508,13.9169,4.99348,0.40913,1.45554,0.32664,0.0625,0.01282,0.02128,0.01075
5082379cff46,CXCR4,ANXA1;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,12,100.0,exp02-coregnet,0.50758,0.57323,0.50253,11.64429,16.74989,10.06332,0.41747,1.30109,0.37035,0.08333,0.01923,0.03125,0.01587
79c5677026da,DUSP1,ARG1;BCL6;CEBPB;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;KLF6;LTF;MXD1;NFIL3,14,100.0,exp02-coregnet,0.53297,0.65385,0.55861,11.25372,35.39316,9.17376,0.46641,1.57808,0.3975,0.07143,0.03448,0.04651,0.02381
147b04d106c3,GADD45B,FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3,12,100.0,exp02-coregnet,0.52273,0.62121,0.51263,10.30183,25.71011,6.1868,0.49265,1.56175,0.43962,0.08333,0.04348,0.05714,0.02941
52d97019a2e2,GSTP1,ARG1;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;LTF;PKM;RPL35;RPL6;RPS4X;SF1;SNRNP70,15,100.0,exp02-coregnet,0.56984,0.57778,0.57937,33.85598,22.12192,31.44005,0.39307,1.30522,0.33169,0.06667,0.02564,0.03704,0.01887
10bae0affea1,HBA2,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;ZBTB7B,14,100.0,exp02-coregnet,0.47802,0.49634,0.47985,3.91151,14.76964,4.08779,0.38078,1.32527,0.32318,0.07143,0.04545,0.05556,0.02857
