cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
3c59a203b248,ACTB,ANXA1;BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TSC22D4;UBB;YWHAZ;ZBTB7B,15,100.0,exp02-coregnet,0.38005,1.30939,0.31895,0.48889,0.50952,0.48571,3.76173,13.00747,3.42148,0.0,0.0,0.0,0.0
6ecd8156b71d,BCL2L1,ANXA1;ARG1;BCL6;CEBPD;FOS;GTPBP1;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,16,100.0,exp02-coregnet,0.36158,1.21444,0.31045,0.47222,0.49861,0.47361,4.09067,13.93618,4.57965,0.1875,0.04477611940298507,0.07228915662650602,0.0375
f36ba2fec553,CCND3,BCL6;CEBPD;HCLS1;LTF;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,15,100.0,exp02-coregnet,0.36061,1.21573,0.31259,0.4873,0.50317,0.4873,4.42372,12.47019,3.52598,0.0,0.0,0.0,0.0
7d84896242e1,CD14,BCL6;CEBPD;GTPBP1;HCLS1;LTF;NFE2;PKM;SEMA4A;SMAP2;SPI1;STAT5B;ZBTB7B,12,100.0,exp02-coregnet,0.41691,1.38097,0.35068,0.4798,0.51515,0.4697,2.69291,15.39143,3.18791,0.08333333333333333,0.05,0.0625,0.03225806451612903
65d370bf7add,CD44,ANXA1;ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;YWHAZ;ZBTB7B,16,100.0,exp02-coregnet,0.4068,1.4437,0.32606,0.49444,0.51528,0.48333,5.13508,13.9169,4.99348,0.0625,0.01282051282051282,0.02127659574468085,0.010752688172043012
5082379cff46,CXCR4,ANXA1;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,12,100.0,exp02-coregnet,0.41662,1.29537,0.37021,0.50758,0.57323,0.50253,11.64429,16.74989,10.06332,0.08333333333333333,0.019230769230769232,0.03125,0.015873015873015872
79c5677026da,DUSP1,ARG1;BCL6;CEBPB;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;KLF6;LTF;MXD1;NFIL3,14,100.0,exp02-coregnet,0.46559,1.57294,0.39726,0.53297,0.65385,0.55861,11.25372,35.39316,9.17376,0.07142857142857142,0.034482758620689655,0.046511627906976744,0.023809523809523808
147b04d106c3,GADD45B,FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3,12,100.0,exp02-coregnet,0.49248,1.55919,0.43961,0.52273,0.62121,0.51263,10.30183,25.71011,6.1868,0.08333333333333333,0.043478260869565216,0.057142857142857134,0.029411764705882353
52d97019a2e2,GSTP1,ARG1;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;LTF;PKM;RPL35;RPL6;RPS4X;SF1;SNRNP70,15,100.0,exp02-coregnet,0.39194,1.29555,0.33157,0.56984,0.57778,0.57937,33.85598,22.12192,31.44005,0.06666666666666667,0.02564102564102564,0.037037037037037035,0.018867924528301886
10bae0affea1,HBA2,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;ZBTB7B,14,100.0,exp02-coregnet,0.37907,1.31642,0.32278,0.47802,0.49634,0.47985,3.91151,14.76964,4.08779,0.07142857142857142,0.045454545454545456,0.05555555555555555,0.02857142857142857
