cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
a7a71ae3b786,ACTB,SEMA4A;KLF6;SF1;FOSL2;LYL1;YWHAZ;RAB7A;SPI1,8,100.0,0.0,exp02_blood-coregtor-default
0549488ed6c4,BCL2L1,UBB;TAGLN2;MXD1,3,100.0,0.0,exp02_blood-coregtor-default
6fbe7aa3a05e,CCND3,ZBTB7B;RAB7A;HCLS1;TSC22D4;CEBPD,5,100.0,0.0,exp02_blood-coregtor-default
4cd55b4692a2,CD14,PKM;SPI1;TSC22D4;ZBTB7B,4,100.0,0.0,exp02_blood-coregtor-default
ab40272a2545,CD44,YWHAZ;STAT5B;SEMA4A;PKM;SPI1,5,100.0,0.0,exp02_blood-coregtor-default
ffc3ed306f3f,CXCR4,FOSL2;GTPBP1;MXD1;FOS;SF1;ATF4,6,100.0,0.0,exp02_blood-coregtor-default
1942bc7b5586,DUSP1,FOS,1,100.0,0.0,exp02_blood-coregtor-default
7fc40f266f15,GADD45B,GTPBP1,1,100.0,0.0,exp02_blood-coregtor-default
565bc928cf2a,GSTP1,CSNK2B;UBXN1,2,100.0,0.0,exp02_blood-coregtor-default
d51df10d54b6,HBA2,HCLS1;RAB7A;ANXA1;STAT5B;USF1;ZBTB7B,6,100.0,0.0,exp02_blood-coregtor-default
02b5905780eb,HBB,TSC22D4;YWHAZ,2,100.0,0.0,exp02_blood-coregtor-default
146eedebf633,HLA-DRB1,JUND;RPS4X;SF1;FOSL2,4,100.0,0.0,exp02_blood-coregtor-default
57e05007de0d,HLA-E,TSC22D4;USF1;STAT6;TFE3,4,100.0,0.0,exp02_blood-coregtor-default
ce34731ad18c,HMOX1,TPI1;ENO1;HSPA5;KLF2;CSNK2B;FOS;JUND;NFIL3;ATF4;FOSL2,10,100.0,0.0,exp02_blood-coregtor-default
a1d82c0ebd05,HSP90AA1,RPL35;ATF4;RPL6;MXD1;HSPA5;KLF6;UBB,7,100.0,0.0,exp02_blood-coregtor-default
433bd193c675,HSPA1A,GTPBP1;HSPA5;NUCB1;RPL35;ATF4;NFIL3;TPI1;ARG1;JUND,9,100.0,0.0,exp02_blood-coregtor-default
b1683fa9c984,MCL1,BCL6;YWHAZ;FOSL2;STAT5B;KLF6;SF1;SEMA4A;RPL35;LYL1;STAT6;TSC22D4;ATF4,12,100.0,0.0,exp02_blood-coregtor-default
714e0fb4e1be,NFKBIA,RAB7A;SMAP2;CEBPD;STAT5B;FOS;HMGB2;JUNB;YWHAZ;TFE3;BCL6,10,100.0,0.0,exp02_blood-coregtor-default
5564075da7c2,PDLIM7,TSC22D4;TFE3;SPI1,3,100.0,0.0,exp02_blood-coregtor-default
43de764fa862,RHOA,YWHAZ;LTF;JUNB;JUND;KLF2;CSNK2B;GTPBP1;ENO1;KLF6,9,100.0,0.0,exp02_blood-coregtor-default
e4ed07f2e677,SOCS3,CEBPB;BCL3;ARID5A;FOS;JUNB;NFIL3;KLF6,7,100.0,0.0,exp02_blood-coregtor-default
b0a5c6ba6fe1,TGFB1,CSNK2B;UBXN1;SF1;JUND,4,100.0,0.0,exp02_blood-coregtor-default
9b58a3d89504,TIMP1,ENO1;CSNK2B;TPI1;JUNB,4,100.0,0.0,exp02_blood-coregtor-default
2d9847b52055,TKT,SPI1;SEMA4A;HCLS1,3,100.0,0.0,exp02_blood-coregtor-default
73dee859d8f6,VIM,RAB7A;SPI1;SEMA4A;PKM,4,100.0,0.0,exp02_blood-coregtor-default
