,cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid
0,a7a71ae3b786,ACTB,SEMA4A;KLF6;SF1;FOSL2;LYL1;YWHAZ;RAB7A;SPI1,8,100.0,0.0,exp02_blood-coregtor-default,0.39391,1.27086,0.3369,0.47024,0.4881,0.45238,4.32344,6.64,3.88734
1,0549488ed6c4,BCL2L1,UBB;TAGLN2;MXD1,3,100.0,0.0,exp02_blood-coregtor-default,0.25903,0.54038,0.2914,0.5,0.44444,0.5,6.60802,0.18686,4.7513
2,6fbe7aa3a05e,CCND3,ZBTB7B;RAB7A;HCLS1;TSC22D4;CEBPD,5,100.0,0.0,exp02_blood-coregtor-default,0.36717,1.23927,0.31501,0.5,0.43333,0.5,4.08869,3.13281,2.05636
3,4cd55b4692a2,CD14,PKM;SPI1;TSC22D4;ZBTB7B,4,100.0,0.0,exp02_blood-coregtor-default,0.40319,1.39461,0.3386,0.58333,0.44444,0.5,3.4984,4.52287,3.76482
4,ab40272a2545,CD44,YWHAZ;STAT5B;SEMA4A;PKM;SPI1,5,100.0,0.0,exp02_blood-coregtor-default,0.37954,1.45045,0.29048,0.51667,0.6,0.45,13.56231,28.21627,11.55437
5,ffc3ed306f3f,CXCR4,FOSL2;GTPBP1;MXD1;FOS;SF1;ATF4,6,100.0,0.0,exp02_blood-coregtor-default,0.42835,1.32822,0.3642,0.56667,0.54444,0.53333,9.18467,11.73129,8.00125
6,565bc928cf2a,GSTP1,CSNK2B;UBXN1,2,100.0,0.0,exp02_blood-coregtor-default,0.33758,1.19202,0.30974,0.5,0.5,0.5,10.17326,4.78522,14.44184
7,d51df10d54b6,HBA2,HCLS1;RAB7A;ANXA1;STAT5B;USF1;ZBTB7B,6,100.0,0.0,exp02_blood-coregtor-default,0.43032,1.6984,0.32346,0.48889,0.47778,0.5,4.47425,11.50856,3.55751
8,02b5905780eb,HBB,TSC22D4;YWHAZ,2,100.0,0.0,exp02_blood-coregtor-default,0.36603,1.03417,0.32305,0.5,0.5,1.0,5.56049,0.32943,4.88733
9,146eedebf633,HLA-DRB1,JUND;RPS4X;SF1;FOSL2,4,100.0,0.0,exp02_blood-coregtor-default,0.45053,1.30417,0.37521,0.58333,0.58333,0.58333,28.42012,15.69067,17.85817
10,57e05007de0d,HLA-E,TSC22D4;USF1;STAT6;TFE3,4,100.0,0.0,exp02_blood-coregtor-default,0.53815,1.58762,0.48935,0.5,0.44444,0.47222,4.80392,5.15989,1.86337
11,ce34731ad18c,HMOX1,TPI1;ENO1;HSPA5;KLF2;CSNK2B;FOS;JUND;NFIL3;ATF4;FOSL2,10,100.0,0.0,exp02_blood-coregtor-default,0.4268,1.51279,0.36612,0.55556,0.66667,0.54074,18.24411,34.52351,14.90748
12,a1d82c0ebd05,HSP90AA1,RPL35;ATF4;RPL6;MXD1;HSPA5;KLF6;UBB,7,100.0,0.0,exp02_blood-coregtor-default,0.38466,1.12972,0.35497,0.52381,0.6746,0.57143,28.91886,27.355,17.40739
13,433bd193c675,HSPA1A,GTPBP1;HSPA5;NUCB1;RPL35;ATF4;NFIL3;TPI1;ARG1;JUND,9,100.0,0.0,exp02_blood-coregtor-default,0.34095,1.11566,0.29996,0.50463,0.55556,0.52778,10.31846,13.03143,12.7659
14,b1683fa9c984,MCL1,BCL6;YWHAZ;FOSL2;STAT5B;KLF6;SF1;SEMA4A;RPL35;LYL1;STAT6;TSC22D4;ATF4,12,100.0,0.0,exp02_blood-coregtor-default,0.4285,1.28616,0.37924,0.47475,0.5101,0.46717,5.48928,17.33838,3.73309
15,714e0fb4e1be,NFKBIA,RAB7A;SMAP2;CEBPD;STAT5B;FOS;HMGB2;JUNB;YWHAZ;TFE3;BCL6,10,100.0,0.0,exp02_blood-coregtor-default,0.45188,1.45755,0.39118,0.51852,0.55556,0.51852,11.48648,24.80417,6.10334
16,5564075da7c2,PDLIM7,TSC22D4;TFE3;SPI1,3,100.0,0.0,exp02_blood-coregtor-default,0.42073,1.31254,0.38036,0.5,0.44444,0.5,1.27796,1.92373,2.50598
17,43de764fa862,RHOA,YWHAZ;LTF;JUNB;JUND;KLF2;CSNK2B;GTPBP1;ENO1;KLF6,9,100.0,0.0,exp02_blood-coregtor-default,0.41923,1.40637,0.34724,0.51389,0.58333,0.51852,12.12762,14.50405,10.5425
18,e4ed07f2e677,SOCS3,CEBPB;BCL3;ARID5A;FOS;JUNB;NFIL3;KLF6,7,100.0,0.0,exp02_blood-coregtor-default,0.57077,1.95511,0.45862,0.50794,0.77778,0.55556,13.80102,46.63486,7.32713
19,b0a5c6ba6fe1,TGFB1,CSNK2B;UBXN1;SF1;JUND,4,100.0,0.0,exp02_blood-coregtor-default,0.3418,1.05565,0.29487,0.5,0.47222,0.5,8.85711,1.62895,11.00498
20,9b58a3d89504,TIMP1,ENO1;CSNK2B;TPI1;JUNB,4,100.0,0.0,exp02_blood-coregtor-default,0.36833,1.16222,0.3453,0.58333,0.58333,0.58333,29.06547,54.64273,32.43499
21,2d9847b52055,TKT,SPI1;SEMA4A;HCLS1,3,100.0,0.0,exp02_blood-coregtor-default,0.38811,1.80967,0.25014,0.38889,0.61111,0.38889,0.28979,12.58431,0.66193
22,73dee859d8f6,VIM,RAB7A;SPI1;SEMA4A;PKM,4,100.0,0.0,exp02_blood-coregtor-default,0.27816,1.15772,0.21208,0.55556,0.5,0.55556,5.57028,1.90285,5.93039
