cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
93f620448762,ACTB,FOSL2;YWHAZ;SF1;LYL1;KLF6,5,62.5,0.4122,exp02_blood-coregtor-n_five
dab3da6053f3,BCL2L1,UBB;TAGLN2;MXD1,3,100.0,0.0,exp02_blood-coregtor-n_five
574cdbc3ba82,CCND3,ZBTB7B;RAB7A;TSC22D4,3,60.0,0.4493,exp02_blood-coregtor-n_five
75c33e54fd08,CCND3,CEBPD;HCLS1,2,40.0,0.2897,exp02_blood-coregtor-n_five
dad0929b1da4,CD44,STAT5B;YWHAZ;SPI1;PKM,4,80.0,0.4503,exp02_blood-coregtor-n_five
64d2484014c6,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,5,83.3333,0.4893,exp02_blood-coregtor-n_five
cede031f3271,DUSP1,FOS,1,100.0,0.0,exp02_blood-coregtor-n_five
463fc9a7a5d2,GADD45B,GTPBP1,1,100.0,0.0,exp02_blood-coregtor-n_five
47c8b005e99e,GSTP1,CSNK2B;UBXN1,2,100.0,0.0,exp02_blood-coregtor-n_five
0f139abe8f53,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,5,83.3333,0.7749,exp02_blood-coregtor-n_five
2f20ee65dbea,HBB,TSC22D4;YWHAZ,2,100.0,0.0,exp02_blood-coregtor-n_five
95d85f8e8fb5,HMOX1,HSPA5;TPI1;ENO1;FOS;CSNK2B,5,50.0,0.6086,exp02_blood-coregtor-n_five
b96257e8ae7c,HSP90AA1,ATF4;RPL35;MXD1;RPL6;HSPA5,5,71.4286,0.4972,exp02_blood-coregtor-n_five
72e99dcc4404,HSPA1A,GTPBP1;ATF4;NUCB1;HSPA5;RPL35,5,55.5556,0.7577,exp02_blood-coregtor-n_five
c1e2806ead8d,MCL1,YWHAZ;STAT5B,2,16.6667,0.5558,exp02_blood-coregtor-n_five
c802f63a59d2,MCL1,FOSL2;SEMA4A;SF1;KLF6;STAT6,5,41.6667,0.3956,exp02_blood-coregtor-n_five
79024fcc56e2,NFKBIA,CEBPD;RAB7A;SMAP2;STAT5B;FOS;HMGB2,6,60.0,0.41,exp02_blood-coregtor-n_five
b1f05d024db2,PDLIM7,TSC22D4;TFE3;SPI1,3,100.0,0.0,exp02_blood-coregtor-n_five
6a6acf954536,RHOA,GTPBP1;JUNB;KLF2;JUND;KLF6;LTF,6,66.6667,0.13,exp02_blood-coregtor-n_five
8b37bee7c3f6,SOCS3,BCL3;CEBPB;ARID5A;NFIL3;FOS,5,71.4286,0.2877,exp02_blood-coregtor-n_five
58a59e097452,TKT,SPI1;SEMA4A;HCLS1,3,100.0,0.0,exp02_blood-coregtor-n_five
