cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
93f620448762,ACTB,FOSL2;YWHAZ;SF1;LYL1;KLF6,5,62.5,0.4122,exp02_blood-coregtor-n_five,0.53456,1.3849,0.4828,0.48333,0.48333,0.46667,7.12212,5.45562,4.58991,0.0,0.0,0.0,0.0
dab3da6053f3,BCL2L1,UBB;TAGLN2;MXD1,3,100.0,0.0,exp02_blood-coregtor-n_five,0.25844,0.54038,0.29109,0.5,0.44444,0.5,6.60802,0.18686,4.7513,0.0,0.0,0.0,0.0
574cdbc3ba82,CCND3,ZBTB7B;RAB7A;TSC22D4,3,60.0,0.4493,exp02_blood-coregtor-n_five,0.26413,0.98685,0.22722,0.5,0.33333,0.5,1.12158,0.0,1.03714,0.0,0.0,0.0,0.0
75c33e54fd08,CCND3,CEBPD;HCLS1,2,40.0,0.2897,exp02_blood-coregtor-n_five,0.40519,1.27477,0.3502,0.5,0.5,0.5,0.82352,2.64369,1.85515,0.0,0.0,0.0,0.0
dad0929b1da4,CD44,STAT5B;YWHAZ;SPI1;PKM,4,80.0,0.4503,exp02_blood-coregtor-n_five,0.45206,1.61401,0.34946,0.58333,0.66667,0.5,22.48394,46.72154,19.15789,0.25,0.01282051282051282,0.024390243902439022,0.012345679012345678
64d2484014c6,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,5,83.3333,0.4893,exp02_blood-coregtor-n_five,0.42531,1.22385,0.36437,0.5,0.46667,0.5,4.90609,2.76347,5.4749,0.2,0.019230769230769232,0.03508771929824562,0.017857142857142856
47c8b005e99e,GSTP1,CSNK2B;UBXN1,2,100.0,0.0,exp02_blood-coregtor-n_five,0.33758,1.19202,0.30974,0.5,0.5,0.5,10.17326,4.78522,14.44184,0.0,0.0,0.0,0.0
0f139abe8f53,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,5,83.3333,0.7749,exp02_blood-coregtor-n_five,0.40949,1.59485,0.30537,0.48333,0.5,0.5,3.79512,14.59114,4.38558,0.0,0.0,0.0,0.0
2f20ee65dbea,HBB,TSC22D4;YWHAZ,2,100.0,0.0,exp02_blood-coregtor-n_five,0.36603,1.03417,0.32305,0.5,0.5,1.0,5.56049,0.32943,4.88733,0.0,0.0,0.0,0.0
95d85f8e8fb5,HMOX1,HSPA5;TPI1;ENO1;FOS;CSNK2B,5,50.0,0.6086,exp02_blood-coregtor-n_five,0.37117,1.29102,0.31402,0.55,0.75,0.55,35.12691,56.79831,42.44743,0.2,0.015625,0.028985507246376812,0.014705882352941176
b96257e8ae7c,HSP90AA1,ATF4;RPL35;MXD1;RPL6;HSPA5,5,71.4286,0.4972,exp02_blood-coregtor-n_five,0.37911,1.15833,0.34915,0.55,0.68333,0.65,48.62578,28.87751,29.35384,0.0,0.0,0.0,0.0
72e99dcc4404,HSPA1A,GTPBP1;ATF4;NUCB1;HSPA5;RPL35,5,55.5556,0.7577,exp02_blood-coregtor-n_five,0.34089,1.04711,0.30155,0.55,0.58333,0.6,12.78659,17.32182,18.36214,0.0,0.0,0.0,0.0
c1e2806ead8d,MCL1,YWHAZ;STAT5B,2,16.6667,0.5558,exp02_blood-coregtor-n_five,0.42293,1.29263,0.33905,0.5,0.5,0.5,9.80482,34.39869,5.24176,0.0,0.0,0.0,0.0
c802f63a59d2,MCL1,FOSL2;SEMA4A;SF1;KLF6;STAT6,5,41.6667,0.3956,exp02_blood-coregtor-n_five,0.46039,1.29361,0.42019,0.45,0.48333,0.45,2.51976,9.62452,1.57072,0.0,0.0,0.0,0.0
79024fcc56e2,NFKBIA,CEBPD;RAB7A;SMAP2;STAT5B;FOS;HMGB2,6,60.0,0.41,exp02_blood-coregtor-n_five,0.38747,1.24935,0.34781,0.5,0.51111,0.5,8.06204,18.05224,4.42346,0.16666666666666666,0.029411764705882353,0.05,0.02564102564102564
b1f05d024db2,PDLIM7,TSC22D4;TFE3;SPI1,3,100.0,0.0,exp02_blood-coregtor-n_five,0.41875,1.30714,0.37952,0.5,0.44444,0.5,1.27796,1.92373,2.50598,0.3333333333333333,0.02631578947368421,0.048780487804878044,0.025
6a6acf954536,RHOA,GTPBP1;JUNB;KLF2;JUND;KLF6;LTF,6,66.6667,0.13,exp02_blood-coregtor-n_five,0.45272,1.53725,0.38226,0.5,0.63333,0.51111,6.95176,22.66382,4.991,0.0,0.0,0.0,0.0
8b37bee7c3f6,SOCS3,BCL3;CEBPB;ARID5A;NFIL3;FOS,5,71.4286,0.2877,exp02_blood-coregtor-n_five,0.55338,2.05518,0.41137,0.51667,0.73333,0.56667,13.44816,46.94532,6.34531,0.4,0.05405405405405406,0.09523809523809523,0.05
58a59e097452,TKT,SPI1;SEMA4A;HCLS1,3,100.0,0.0,exp02_blood-coregtor-n_five,0.38783,1.81267,0.24981,0.38889,0.61111,0.38889,0.28979,12.58431,0.66193,0.0,0.0,0.0,0.0
