cluster_uid,target,sources,n_sources,n_percent,method
daa25f24827b,ACTB,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,21,100.0,exp02-coregnet
6c14f87adcfa,APOE,GOT1;NCALD;TSC22D4,3,100.0,exp02-coregnet
2ca3f118df01,APP,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,20,100.0,exp02-coregnet
d46c6782b4e0,CRYAB,NCALD,1,100.0,exp02-coregnet
487248207869,DUSP1,GOT1;NCALD,2,100.0,exp02-coregnet
5ac9f23c95e4,FASN,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,21,100.0,exp02-coregnet
8bdbb260a6a5,HBA2,NCALD,1,100.0,exp02-coregnet
e46efaf02524,HLA-E,NCALD,1,100.0,exp02-coregnet
e40196444b64,HSP90AA1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,21,100.0,exp02-coregnet
d0862666c11e,MAT2A,BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,20,100.0,exp02-coregnet
1604540a41c6,NDRG1,NCALD;OLIG1;TSC22D4,3,100.0,exp02-coregnet
43c516cb3187,SPARC,GOT1;NCALD;OLIG1;TSC22D4,4,100.0,exp02-coregnet
151c7e21d6c6,STMN1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,21,100.0,exp02-coregnet
fa6d2de989cb,VIM,GOT1;NCALD;TSC22D4,3,100.0,exp02-coregnet
