cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
daa25f24827b,ACTB,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,21,100.0,exp02-coregnet,0.33333,0.95491,0.31663,0.49127,0.46429,0.47619,8.43907,7.97267,9.9819,0.0,0.0,0.0,0.0
6c14f87adcfa,APOE,GOT1;NCALD;TSC22D4,3,100.0,exp02-coregnet,0.20412,0.55367,0.22333,0.44444,0.33333,0.44444,0.43655,0.0,0.30645,0.0,0.0,0.0,0.0
2ca3f118df01,APP,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,20,100.0,exp02-coregnet,0.33731,0.95654,0.321,0.48772,0.46228,0.47456,7.62835,7.93466,9.21723,0.0,0.0,0.0,0.0
487248207869,DUSP1,GOT1;NCALD,2,100.0,exp02-coregnet,0.17609,0.50317,0.20055,0.5,0.33333,0.5,0.25515,0.0,0.27946,0.0,0.0,0.0,0.0
5ac9f23c95e4,FASN,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,21,100.0,exp02-coregnet,0.33333,0.95491,0.31663,0.49127,0.46429,0.47619,8.43907,7.97267,9.9819,0.0,0.0,0.0,0.0
e40196444b64,HSP90AA1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,21,100.0,exp02-coregnet,0.33333,0.95491,0.31663,0.49127,0.46429,0.47619,8.43907,7.97267,9.9819,0.0,0.0,0.0,0.0
d0862666c11e,MAT2A,BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,20,100.0,exp02-coregnet,0.32849,0.9463,0.31304,0.49825,0.47193,0.47982,9.22614,8.74738,10.89978,0.0,0.0,0.0,0.0
1604540a41c6,NDRG1,NCALD;OLIG1;TSC22D4,3,100.0,exp02-coregnet,0.25662,0.4974,0.28474,0.38889,0.38889,0.38889,0.25472,0.17493,0.26998,0.0,0.0,0.0,0.0
43c516cb3187,SPARC,GOT1;NCALD;OLIG1;TSC22D4,4,100.0,exp02-coregnet,0.22264,0.54294,0.24572,0.44444,0.38889,0.44444,0.5438,0.20056,0.49443,0.0,0.0,0.0,0.0
151c7e21d6c6,STMN1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,21,100.0,exp02-coregnet,0.33333,0.95491,0.31663,0.49127,0.46429,0.47619,8.43907,7.97267,9.9819,0.0,0.0,0.0,0.0
fa6d2de989cb,VIM,GOT1;NCALD;TSC22D4,3,100.0,exp02-coregnet,0.20412,0.55367,0.22333,0.44444,0.33333,0.44444,0.43655,0.0,0.30645,0.0,0.0,0.0,0.0
