cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
68074aae6521,ACTB,CSNK2B;RAB7A;YWHAE;NUCB1;PKM;ID2;NFE2L1;EWSR1,8,100.0,0.0,exp02_cortex-ba9-coregtor-default
7dcfbe2dd44d,APOE,TSC22D4,1,100.0,0.0,exp02_cortex-ba9-coregtor-default
7c7a7b2667f2,APP,MAPK1;PRNP;GOT1;TCEAL6;TPPP;YWHAZ;SOD1;RAN;RAB7A;ZMAT2;NFE2L1;YWHAE;TCEAL2;PKM,14,100.0,0.0,exp02_cortex-ba9-coregtor-default
aa1bfea1be89,BCL2L1,SOD1;RAB7A;YWHAE;EWSR1;NUCB1;CSNK2B;PKM;NFE2L1;TCEAL2;NPDC1;UBXN1;UBB;RAN;DRAP1;TPPP;SSBP3,16,100.0,0.0,exp02_cortex-ba9-coregtor-default
c03354b3f077,CLU,ENO1;NUCB1;TSC22D4;SRP9;RPS4X;CSNK2B;ATF4;HSPA5;RPL35;UBB;UBXN1;EWSR1,12,100.0,0.0,exp02_cortex-ba9-coregtor-default
bb046f57899e,CRYAB,TSC22D4;FEZ1;ATF4;UBXN1;HSPA5;HNRNPA1;AGAP2;ENO1;OLIG1;RPL35;RPL6;UBB;SNRNP70;RPS4X;RAB7A,15,100.0,0.0,exp02_cortex-ba9-coregtor-default
3ba5f606e153,DUSP1,BHLHE40;DRAP1;OLIG1;ID2;CSNK2B;ENO1;JUND;HNRNPA1;RPS4X;CBX7;USF2;TCEAL2;RAN;SNRNP70;TSC22D4;SRP9;UBXN1,17,100.0,0.0,exp02_cortex-ba9-coregtor-default
0a45e5650bdd,FASN,SREBF2;AGAP2,2,100.0,0.0,exp02_cortex-ba9-coregtor-default
bf24b94bc6cd,GADD45B,ATF4;ID2;HSPA5;EWSR1;OLIG1;JUND;ENO1;TSC22D4;NUCB1;BHLHE40;CSNK2B;UBB,12,100.0,0.0,exp02_cortex-ba9-coregtor-default
aba56abe1cc7,GSTP1,UBXN1;RPL6;RPS4X;RPL35;TSC22D4;HNRNPA1;CSNK2B;ENO1;FEZ1;RAB7A;SRP9;SNRNP70,12,100.0,0.0,exp02_cortex-ba9-coregtor-default
1513966dd4ec,HBA2,FEZ1;RPL35;AGAP2;HNRNPA1;TSC22D4;OLIG1;SREBF2;GOT1;SRP9;SNRNP70;RPS4X;ARNT2;ZBTB18;UBXN1;TCEAL6;SSBP3;NCALD;DRAP1,18,100.0,0.0,exp02_cortex-ba9-coregtor-default
9b876759c466,HBB,TSC22D4;OLIG1;FEZ1;GOT1;SNRNP70;AGAP2;RPS4X;HNRNPA1;RPL35;SRP9;ZBTB18;HSPA5;TCEAL6;ARNT2;SSBP3;SREBF2;PRDX5,17,77.2727,0.3956,exp02_cortex-ba9-coregtor-default
eb13319455cb,HBB,JUND;DRAP1,2,9.0909,0.3086,exp02_cortex-ba9-coregtor-default
663b7cef2548,HLA-E,TSC22D4;RAB7A;EWSR1;SRP9;NUCB1;ATF4;TCEAL2;OLIG1;HSPA5;DRAP1;HNRNPA1;AGAP2;RPL6;ENO1;UBXN1;BHLHE40;CSNK2B;ID2;SNRNP70;UBB,20,100.0,0.0,exp02_cortex-ba9-coregtor-default
