cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
d3cdd792906b,ACTB,NUCB1;CSNK2B;RAB7A;YWHAE;EWSR1,5,62.5,0.6719,exp02_cortex-ba9-coregtor-n_five
70093774f253,APOE,TSC22D4,1,100.0,0.0,exp02_cortex-ba9-coregtor-n_five
e2ca36b9030e,APP,GOT1;TPPP;YWHAZ;MAPK1;NFE2L1,5,35.7143,0.5355,exp02_cortex-ba9-coregtor-n_five
850418114c6d,APP,RAN;TCEAL6;SOD1,3,21.4286,0.1307,exp02_cortex-ba9-coregtor-n_five
f4fc68465e00,BCL2L1,YWHAE;SOD1;CSNK2B;RAB7A;NUCB1,5,31.25,0.6398,exp02_cortex-ba9-coregtor-n_five
1f59724cd9ff,CLU,SRP9;NUCB1;ENO1;TSC22D4;ATF4,5,41.6667,0.3223,exp02_cortex-ba9-coregtor-n_five
d904e165cb51,CLU,UBB;HSPA5;RPS4X,3,25.0,0.1966,exp02_cortex-ba9-coregtor-n_five
06562e7f8ec2,CRYAB,TSC22D4;UBXN1;HNRNPA1;OLIG1;ATF4;HSPA5;FEZ1,7,46.6667,0.2567,exp02_cortex-ba9-coregtor-n_five
aed2061ecb12,DUSP1,HNRNPA1;ENO1,2,11.7647,0.5534,exp02_cortex-ba9-coregtor-n_five
ff1e61f6efc5,DUSP1,BHLHE40;OLIG1;ID2;JUND;RPS4X,5,29.4118,0.3169,exp02_cortex-ba9-coregtor-n_five
bc82b41aeabf,FASN,SREBF2;AGAP2,2,100.0,0.0,exp02_cortex-ba9-coregtor-n_five
9394e5b4c349,GADD45B,HSPA5;ID2;JUND;ATF4;NUCB1,5,41.6667,0.3719,exp02_cortex-ba9-coregtor-n_five
cf0aea349df8,GSTP1,RPS4X;UBXN1;RPL35;TSC22D4;RPL6;HNRNPA1,6,50.0,0.5042,exp02_cortex-ba9-coregtor-n_five
8a796e518980,GSTP1,ENO1;FEZ1,2,16.6667,0.4956,exp02_cortex-ba9-coregtor-n_five
29056a0e5a07,HBA2,RPL35;FEZ1;TSC22D4;OLIG1;SNRNP70,5,27.7778,0.2534,exp02_cortex-ba9-coregtor-n_five
7f63eeb5be9b,HBB,OLIG1;FEZ1;RPL35;SNRNP70;TSC22D4,5,22.7273,0.408,exp02_cortex-ba9-coregtor-n_five
5c70c4c7fc1c,HLA-E,HSPA5;ENO1,2,10.0,0.2895,exp02_cortex-ba9-coregtor-n_five
d2d404e65e6b,HLA-E,NUCB1;SRP9,2,10.0,0.2695,exp02_cortex-ba9-coregtor-n_five
ae68f1b06ca9,HLA-E,BHLHE40;AGAP2,2,10.0,0.2537,exp02_cortex-ba9-coregtor-n_five
d1da62d6c5cf,HLA-E,TSC22D4;RAB7A;EWSR1;OLIG1;ATF4,5,25.0,0.2466,exp02_cortex-ba9-coregtor-n_five
6e3298acd451,HSP90AA1,UBB;NUCB1;HSPA5;ATF4;RAN,5,45.4545,0.6483,exp02_cortex-ba9-coregtor-n_five
58b1d69cd817,HSPA1A,HSPA5;JUND;ATF4;UBB;NUCB1,5,62.5,0.3051,exp02_cortex-ba9-coregtor-n_five
ced54de09076,MAT2A,ATF4;HNRNPA1,2,8.0,0.2084,exp02_cortex-ba9-coregtor-n_five
d523a9617e6b,MAT2A,RAB7A;EWSR1;CSNK2B;ENO1;TPPP,5,20.0,0.1936,exp02_cortex-ba9-coregtor-n_five
9e4fe298204e,NDRG1,OLIG1;FEZ1;HNRNPA1;TSC22D4;RPS4X,5,83.3333,0.7575,exp02_cortex-ba9-coregtor-n_five
3ce61f7a6a67,OGA,RAB7A;YWHAE;NFE2L1;SOD1;EWSR1;PRNP,6,50.0,0.6347,exp02_cortex-ba9-coregtor-n_five
0df2ca441b78,RHOA,ATF4;RAB7A,2,16.6667,0.4519,exp02_cortex-ba9-coregtor-n_five
18304eca6aaf,RHOA,CSNK2B;SNRNP70,2,16.6667,0.4005,exp02_cortex-ba9-coregtor-n_five
21a358ab875b,RHOA,HNRNPA1;TSC22D4;RPS4X;UBXN1;OLIG1;FEZ1,6,50.0,0.2098,exp02_cortex-ba9-coregtor-n_five
cf94a6e9d828,SPARC,HNRNPA1;SNRNP70;TSC22D4;UBXN1;FEZ1;CSNK2B;HSPA5;EWSR1,8,42.1053,0.2796,exp02_cortex-ba9-coregtor-n_five
93c5a546e74e,STMN1,GOT1;YWHAZ;TCEAL2;NCALD;SOD1;PRDX5;TCEAL6,7,58.3333,0.2738,exp02_cortex-ba9-coregtor-n_five
baa90a434a2d,SUMO1,RAN;YWHAZ;SOD1;PRNP;TPI1,5,71.4286,0.5381,exp02_cortex-ba9-coregtor-n_five
b8437eacc56e,TKT,CSNK2B;UBXN1;RAB7A;NUCB1;ATF4;EWSR1;NPDC1,7,70.0,0.2024,exp02_cortex-ba9-coregtor-n_five
90010d1b048b,TXN,YWHAE;SOD1;CSNK2B;RAN,4,20.0,0.3835,exp02_cortex-ba9-coregtor-n_five
8a970f2ae467,TXN,EWSR1;HSPA5;AGAP2;UBXN1;RPL6,5,25.0,0.2869,exp02_cortex-ba9-coregtor-n_five
bca8e27c78a4,TXN,SRP9;TPI1,2,10.0,0.2063,exp02_cortex-ba9-coregtor-n_five
21793261e55f,TXN,RAB7A;YWHAZ,2,10.0,0.1827,exp02_cortex-ba9-coregtor-n_five
efd486f5288c,VIM,ATF4;CSNK2B;EWSR1;ENO1;RAB7A,5,25.0,0.1975,exp02_cortex-ba9-coregtor-n_five
