"Regulator","Target"
"TAGLN2","ACTB"
"TAGLN2","VIM"
"CLK1","ACTB"
"CLK1","VIM"
"ENO1","ACTB"
"ENO1","CRYAB"
"ENO1","MAT2A"
"ENO1","TIMP1"
"ENO1","VEGFA"
"ID2","ACTB"
"ID2","VIM"
"ID2","MCL1"
"ID2","HSP90AA1"
"ID2","ID3"
"ID2","TIMP1"
"ID2","GADD45B"
"CEBPD","ACTB"
"CEBPD","FN1"
"CEBPD","CLU"
"CEBPD","VIM"
"CEBPD","MCL1"
"CEBPD","APOE"
"CEBPD","TIMP1"
"CEBPD","VEGFA"
"CEBPD","GADD45B"
"JUND","ACTB"
"JUND","CLU"
"JUND","VIM"
"JUND","MCL1"
"JUND","APOE"
"JUND","ID3"
"JUND","SPARC"
"JUND","DUSP1"
"JUN","ACTB"
"JUN","CLU"
"JUN","VIM"
"JUN","MCL1"
"JUN","HSP90AA1"
"JUN","APOE"
"JUN","ID3"
"JUN","HSPA1A"
"JUN","SPARC"
"JUN","DUSP1"
"JUN","VEGFA"
"JUN","GADD45B"
"JUNB","ACTB"
"JUNB","FN1"
"JUNB","CLU"
"JUNB","MAT2A"
"JUNB","VIM"
"JUNB","MCL1"
"JUNB","HSP90AA1"
"JUNB","APOE"
"JUNB","ID3"
"JUNB","SPARC"
"JUNB","TIMP3"
"JUNB","DUSP1"
"JUNB","VEGFA"
"JUNB","GADD45B"
"FOS","ACTB"
"FOS","FN1"
"FOS","CLU"
"FOS","MAT2A"
"FOS","ACTA2"
"FOS","VIM"
"FOS","MCL1"
"FOS","HSP90AA1"
"FOS","APOE"
"FOS","ID3"
"FOS","SPARC"
"FOS","TIMP3"
"FOS","DUSP1"
"FOS","GADD45B"
"EGR1","ACTB"
"EGR1","FN1"
"EGR1","CLU"
"EGR1","MAT2A"
"EGR1","ACTA2"
"EGR1","VIM"
"EGR1","HBB"
"EGR1","MCL1"
"EGR1","HSP90AA1"
"EGR1","APOE"
"EGR1","TAGLN"
"EGR1","ID3"
"EGR1","HSPA1A"
"EGR1","SPARC"
"EGR1","TIMP3"
"EGR1","DUSP1"
"EGR1","VEGFA"
"EGR1","GADD45B"
"NR4A1","ACTB"
"NR4A1","FN1"
"NR4A1","CLU"
"NR4A1","MAT2A"
"NR4A1","ACTA2"
"NR4A1","VIM"
"NR4A1","HBB"
"NR4A1","MCL1"
"NR4A1","HSP90AA1"
"NR4A1","APOE"
"NR4A1","TAGLN"
"NR4A1","ID3"
"NR4A1","HSPA1A"
"NR4A1","SPARC"
"NR4A1","TIMP3"
"NR4A1","DUSP1"
"NR4A1","VEGFA"
"NR4A1","GADD45B"
"BHLHE40","ACTB"
"BHLHE40","FN1"
"BHLHE40","CRYAB"
"BHLHE40","CLU"
"BHLHE40","MAT2A"
"BHLHE40","ACTA2"
"BHLHE40","VIM"
"BHLHE40","HBB"
"BHLHE40","MCL1"
"BHLHE40","HSP90AA1"
"BHLHE40","APOE"
"BHLHE40","TAGLN"
"BHLHE40","ID3"
"BHLHE40","HSPA1A"
"BHLHE40","SPARC"
"BHLHE40","TIMP1"
"BHLHE40","DUSP1"
"BHLHE40","VEGFA"
"BHLHE40","GADD45B"
"NFE2L1","CRYAB"
"UQCRB","CRYAB"
"CYCS","CRYAB"
"SMPX","CRYAB"
"TBX5","CRYAB"
"NKX2-5","CRYAB"
"GOT1","CRYAB"
"HADHB","CRYAB"
"HADHB","HSP90AA1"
"HSPA5","CRYAB"
"HSPA5","HSP90AA1"
"PRNP","HSP90AA1"
"ID1","ID3"
"ID1","TIMP3"
