cluster_uid,target,sources,n_sources,n_percent,method
26ac890c03af,ACTA2,BHLHE40;EGR1;FOS;NR4A1,4,100.0,exp02-coregnet
5c0157ad5a6d,ACTB,BHLHE40;CEBPD;CLK1;EGR1;ENO1;FOS;ID2;JUN;JUNB;JUND;NR4A1;TAGLN2,12,100.0,exp02-coregnet
b951012f17b7,APOE,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;JUND;NR4A1,8,100.0,exp02-coregnet
40e65f87e7f8,CLU,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;JUND;NR4A1,8,100.0,exp02-coregnet
55195304af8a,CRYAB,BHLHE40;CYCS;ENO1;GOT1;HADHB;HSPA5;NFE2L1;NKX2-5;SMPX;TBX5;UQCRB,11,100.0,exp02-coregnet
ac9fc8319639,DUSP1,BHLHE40;EGR1;FOS;JUN;JUNB;JUND;NR4A1,7,100.0,exp02-coregnet
dbdf1d6d5331,FN1,BHLHE40;CEBPD;EGR1;FOS;JUNB;NR4A1,6,100.0,exp02-coregnet
09b76ee9b7e4,GADD45B,BHLHE40;CEBPD;EGR1;FOS;ID2;JUN;JUNB;NR4A1,8,100.0,exp02-coregnet
4a1c790baa2d,HBB,BHLHE40;EGR1;NR4A1,3,100.0,exp02-coregnet
bd33361ee592,HSP90AA1,BHLHE40;EGR1;FOS;HADHB;HSPA5;ID2;JUN;JUNB;NR4A1;PRNP,10,100.0,exp02-coregnet
bbababc56a24,HSPA1A,BHLHE40;EGR1;JUN;NR4A1,4,100.0,exp02-coregnet
0c1d28c32731,ID3,BHLHE40;EGR1;FOS;ID1;ID2;JUN;JUNB;JUND;NR4A1,9,100.0,exp02-coregnet
b86282b4a0f7,MAT2A,BHLHE40;EGR1;ENO1;FOS;JUNB;NR4A1,6,100.0,exp02-coregnet
2ea0458bdcbf,MCL1,BHLHE40;CEBPD;EGR1;FOS;ID2;JUN;JUNB;JUND;NR4A1,9,100.0,exp02-coregnet
ea8348a00fd9,SPARC,BHLHE40;EGR1;FOS;JUN;JUNB;JUND;NR4A1,7,100.0,exp02-coregnet
d4d5a4f84577,TAGLN,BHLHE40;EGR1;NR4A1,3,100.0,exp02-coregnet
8674b322e9cd,TIMP1,BHLHE40;CEBPD;ENO1;ID2,4,100.0,exp02-coregnet
0e363d1a336a,TIMP3,EGR1;FOS;ID1;JUNB;NR4A1,5,100.0,exp02-coregnet
a09855c916a8,VEGFA,BHLHE40;CEBPD;EGR1;ENO1;JUN;JUNB;NR4A1,7,100.0,exp02-coregnet
10d5e05decf2,VIM,BHLHE40;CEBPD;CLK1;EGR1;FOS;ID2;JUN;JUNB;JUND;NR4A1;TAGLN2,11,100.0,exp02-coregnet
