cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
26ac890c03af,ACTA2,BHLHE40;EGR1;FOS;NR4A1,4,100.0,exp02-coregnet,0.56887,2.18647,0.44617,0.5,0.91667,0.5,18.54053,91.63646,8.54192,0.25,0.02702702702702703,0.04878048780487805,0.025
5c0157ad5a6d,ACTB,BHLHE40;CEBPD;CLK1;EGR1;ENO1;FOS;ID2;JUN;JUNB;JUND;NR4A1;TAGLN2,12,100.0,exp02-coregnet,0.45203,1.56769,0.39091,0.60354,0.69949,0.58081,19.03766,42.91816,10.95625,0.16666666666666666,0.09523809523809523,0.12121212121212123,0.06451612903225806
b951012f17b7,APOE,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;JUND;NR4A1,8,100.0,exp02-coregnet,0.63611,2.30677,0.53202,0.67857,0.92857,0.64286,31.82692,90.7593,18.30038,0.125,0.041666666666666664,0.0625,0.03225806451612903
40e65f87e7f8,CLU,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;JUND;NR4A1,8,100.0,exp02-coregnet,0.63611,2.30677,0.53202,0.67857,0.92857,0.64286,31.82692,90.7593,18.30038,0.5,0.16,0.24242424242424243,0.13793103448275862
55195304af8a,CRYAB,BHLHE40;CYCS;ENO1;GOT1;HADHB;HSPA5;NFE2L1;NKX2-5;SMPX;TBX5;UQCRB,11,100.0,exp02-coregnet,0.28762,1.01588,0.26345,0.48636,0.54848,0.50152,7.12519,16.73384,8.58751,0.0,0.0,0.0,0.0
ac9fc8319639,DUSP1,BHLHE40;EGR1;FOS;JUN;JUNB;JUND;NR4A1,7,100.0,exp02-coregnet,0.628,2.35742,0.51397,0.7381,0.95238,0.69048,33.03469,103.39536,20.76847,0.14285714285714285,0.034482758620689655,0.05555555555555555,0.02857142857142857
dbdf1d6d5331,FN1,BHLHE40;CEBPD;EGR1;FOS;JUNB;NR4A1,6,100.0,exp02-coregnet,0.61171,2.13834,0.51671,0.56667,0.86667,0.56667,21.93015,75.68306,9.53956,0.3333333333333333,0.03076923076923077,0.056338028169014086,0.028985507246376812
09b76ee9b7e4,GADD45B,BHLHE40;CEBPD;EGR1;FOS;ID2;JUN;JUNB;NR4A1,8,100.0,exp02-coregnet,0.57951,2.09782,0.4772,0.58929,0.83929,0.56548,22.47137,70.86513,13.26158,0.25,0.08695652173913043,0.12903225806451613,0.06896551724137931
4a1c790baa2d,HBB,BHLHE40;EGR1;NR4A1,3,100.0,exp02-coregnet,0.5712,2.03446,0.46632,0.5,0.83333,0.5,11.85379,56.48663,4.42939,0.0,0.0,0.0,0.0
bd33361ee592,HSP90AA1,BHLHE40;EGR1;FOS;HADHB;HSPA5;ID2;JUN;JUNB;NR4A1;PRNP,10,100.0,exp02-coregnet,0.4159,1.56455,0.33614,0.62222,0.7,0.60741,18.1617,44.47403,14.02966,0.1,0.05,0.06666666666666667,0.034482758620689655
bbababc56a24,HSPA1A,BHLHE40;EGR1;JUN;NR4A1,4,100.0,exp02-coregnet,0.58117,2.07135,0.47323,0.58333,0.91667,0.5,21.85308,95.01577,9.90232,0.0,0.0,0.0,0.0
0c1d28c32731,ID3,BHLHE40;EGR1;FOS;ID1;ID2;JUN;JUNB;JUND;NR4A1,9,100.0,exp02-coregnet,0.55365,2.08154,0.44831,0.65278,0.84722,0.62037,21.75717,71.84499,14.19154,0.3333333333333333,0.14285714285714285,0.2,0.1111111111111111
b86282b4a0f7,MAT2A,BHLHE40;EGR1;ENO1;FOS;JUNB;NR4A1,6,100.0,exp02-coregnet,0.55122,1.97648,0.44005,0.6,0.8,0.6,18.66336,59.89933,8.28897,0.16666666666666666,0.047619047619047616,0.07407407407407407,0.038461538461538464
2ea0458bdcbf,MCL1,BHLHE40;CEBPD;EGR1;FOS;ID2;JUN;JUNB;JUND;NR4A1,9,100.0,exp02-coregnet,0.59702,2.19925,0.48951,0.63889,0.86111,0.60648,25.81849,75.82067,15.01424,0.1111111111111111,0.02702702702702703,0.043478260869565216,0.022222222222222223
ea8348a00fd9,SPARC,BHLHE40;EGR1;FOS;JUN;JUNB;JUND;NR4A1,7,100.0,exp02-coregnet,0.628,2.35742,0.51397,0.7381,0.95238,0.69048,33.03469,103.39536,20.76847,0.14285714285714285,0.043478260869565216,0.06666666666666667,0.034482758620689655
