cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
f939687b5d18,ACTA2,CYCS;SUCLG1;SMPX;PRDX5;EZR;GOT1;TBX5;YWHAE;UGP2;UQCRB;PRNP;NFE2L1;PKM;NR4A1,14,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
6e08a27325a6,ACTB,ATF4;SF1;CLK1;TAGLN2;ID2;BHLHE40;NR4A1;JUN;NUCB1;DRAP1,10,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
c9c35a61e3a6,APOE,SNRNP70;JUN;CLK1;TAGLN2;ID1;RPS4X;HNRNPA1;RPL35;ID2;JUNB;NR4A1;ATF4;BHLHE40;NPDC1;CSNK2B;EGR1;JUND;CYCS;PRNP;SF1,20,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
02488eaa502e,APP,PRNP;YWHAE,2,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
05727a0a5f6f,CLU,TAGLN2;NUCB1;EGR1;NPDC1;ID2;SF1;JUN;NR4A1;CLK1;FOS;JUNB;RPS4X;SNRNP70;RPS10;JUND;EZR,16,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
1c7355d32200,CRYAB,SMPX;TPI1;HADHB;SUCLG1;UGP2;DRAP1;YWHAE;SOD1;YBX1,9,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
7cb06602ac24,DUSP1,FOS;JUNB,2,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
aa3ba98d97ef,FN1,DRAP1;P4HB;ENO1;CEBPD;TAGLN2;CSNK2B;PKM;ID2;CLK1;TPI1,10,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
370de4fdd149,GADD45B,CEBPD;JUNB;BHLHE40;ATF4,4,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
8a9e711717bd,GSTP1,RPS10;DRAP1;CSNK2B;RPL35,4,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
fdd8e62bc9d2,HBB,BHLHE40;NR4A1;NPDC1;RPL35;CSNK2B;CEBPD;ATF4;GOT1;CLK1;TAGLN2;ENO1;JUND;ID2;ZNF358;NFE2L1;RPS10;SNRNP70,17,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
0f192d25de40,HLA-E,TAGLN2;SF1;JUN;ID2;CLK1;JUNB;BHLHE40;NPDC1;NR4A1,9,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
cc520c71f542,HSP90AA1,HSPA5;CLK1;ID1;SOD1;YWHAE;ID2;CYCS;PRNP;ATF4;JUN;YBX1;BHLHE40;NUCB1;SMPX;UGP2;USF2;EPAS1;CD59,18,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
0a7fb9964025,HSPA1A,CLK1;ID1;HSPA5;SOD1;ATF4;JUN;FOS,7,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
c1bcdd834c5e,ID3,ID1;NPDC1;TAGLN2;JUN;ID2;JUND;FOS;SNRNP70,8,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
84b3df978252,MAT2A,JUNB;EGR1;SF1;YBX1;ID1;HNRNPA1;CD59;ENO1;CSNK2B;ID2;EPAS1;CLK1,12,92.3077,0.402,exp02_heart_atrial_appendage-coregtor-default
dd4f7dfd87db,MCL1,EGR1;JUNB;FOS,3,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
f97ecc1a7aae,PDK4,EPAS1;UGP2;SF1;CSNK2B;ID1;HNRNPA1;NFE2L1;CD59;HADHB;SMPX,10,90.9091,0.5056,exp02_heart_atrial_appendage-coregtor-default
fd62c9b8afa5,RHOA,TAGLN2;RPL6;RPS10;YWHAE;P4HB,5,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
3ac940abf19f,SPARC,TAGLN2;ZNF358;NPDC1;NUCB1;CEBPD;EGR1;USF2;CLK1;SF1;FOS;PKM;SNRNP70;NKX2-5;RPL6;P4HB;JUNB;JUN;NR4A1;HSPA5;HSF1,20,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
05db1b7b34e5,TAGLN,HSPA5;SMPX;DRAP1;TAGLN2;P4HB;UGP2;CD59;TPI1;RPS10;ATF4,10,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
b176e39db37a,TIMP1,ENO1;TPI1;RPL35;P4HB;DRAP1;HNRNPA1;HSPA5;SF1;RPS10;CD59;NUCB1;ID2;ATF4;PKM;CSNK2B;TAGLN2,16,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
e8e9e31d3d34,TIMP3,EPAS1;EZR;JUNB;EGR1,4,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
5a505fcf7ca9,VEGFA,ENO1;BHLHE40;TPI1;CEBPD;ATF4;HSPA5;SF1;P4HB,8,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
20499dfdcc89,VIM,TAGLN2;HNRNPA1;RPL6,3,100.0,0.0,exp02_heart_atrial_appendage-coregtor-default
