cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
359c84f731f3,ACTA2,EZR;SMPX;CYCS;GOT1;PRDX5,5,35.7143,0.5175,exp02_heart_atrial_appendage-coregtor-n_five
58aa9137eec4,ACTB,SF1;CLK1;BHLHE40;TAGLN2;ATF4;ID2,6,60.0,0.6415,exp02_heart_atrial_appendage-coregtor-n_five
aece0a3c7de1,APOE,CLK1;SNRNP70;ID1;ID2;JUN,5,25.0,0.2481,exp02_heart_atrial_appendage-coregtor-n_five
83896e735d4e,APP,PRNP;YWHAE,2,100.0,0.0,exp02_heart_atrial_appendage-coregtor-n_five
30002d4f6bcb,CLU,TAGLN2;ID2;SF1;NPDC1;EGR1,5,31.25,0.3251,exp02_heart_atrial_appendage-coregtor-n_five
ee74fc7a9c8b,CLU,NUCB1;CLK1,2,12.5,0.2304,exp02_heart_atrial_appendage-coregtor-n_five
ff6020408e82,CRYAB,TPI1;SMPX;SUCLG1;DRAP1;UGP2;YWHAE,6,66.6667,0.3114,exp02_heart_atrial_appendage-coregtor-n_five
417e993cb39b,DUSP1,FOS;JUNB,2,100.0,0.0,exp02_heart_atrial_appendage-coregtor-n_five
deb4c38d8b43,FN1,TPI1;DRAP1,2,20.0,0.7609,exp02_heart_atrial_appendage-coregtor-n_five
213d560d662d,FN1,ENO1;P4HB;ID2;TAGLN2;PKM,5,50.0,0.257,exp02_heart_atrial_appendage-coregtor-n_five
c0a6d0207bbd,FN1,CEBPD;CSNK2B,2,20.0,0.161,exp02_heart_atrial_appendage-coregtor-n_five
95f1740683ef,HBB,RPL35;ATF4;CEBPD;NPDC1;BHLHE40,5,29.4118,0.2527,exp02_heart_atrial_appendage-coregtor-n_five
8e00171f5775,HLA-E,CLK1;JUNB;SF1;ID2;JUN,5,55.5556,0.3945,exp02_heart_atrial_appendage-coregtor-n_five
fb956d9357e4,HSP90AA1,EPAS1;SMPX,2,11.1111,0.8492,exp02_heart_atrial_appendage-coregtor-n_five
17754105b30a,HSP90AA1,YWHAE;CYCS;PRNP;SOD1;ID1;CLK1,6,33.3333,0.3812,exp02_heart_atrial_appendage-coregtor-n_five
e7cae7ed5587,HSPA1A,ID1;SOD1;HSPA5;CLK1;ATF4,5,71.4286,0.6193,exp02_heart_atrial_appendage-coregtor-n_five
9cecaf3517d6,ID3,ID1;NPDC1,2,25.0,0.6822,exp02_heart_atrial_appendage-coregtor-n_five
16573708104d,ID3,ID2;JUN;FOS;SNRNP70;TAGLN2,5,62.5,0.2421,exp02_heart_atrial_appendage-coregtor-n_five
7da398fc1057,MAT2A,HNRNPA1;CD59;SF1;EGR1;JUNB,5,38.4615,0.4365,exp02_heart_atrial_appendage-coregtor-n_five
bfa0371e55b1,MCL1,EGR1;JUNB;FOS,3,100.0,0.0,exp02_heart_atrial_appendage-coregtor-n_five
186021eb088f,PDK4,HNRNPA1;CSNK2B,2,18.1818,0.2673,exp02_heart_atrial_appendage-coregtor-n_five
48a5ef16d34e,PDK4,CD59;HADHB;UGP2;EPAS1;SF1;NFE2L1,6,54.5455,0.2524,exp02_heart_atrial_appendage-coregtor-n_five
aaca6d71f0c8,RHOA,P4HB;RPL6;RPS10;YWHAE,4,80.0,0.4545,exp02_heart_atrial_appendage-coregtor-n_five
07c0324ead53,SPARC,NUCB1;SNRNP70,2,10.0,0.3025,exp02_heart_atrial_appendage-coregtor-n_five
c1a45e7a1d83,SPARC,TAGLN2;NPDC1;CLK1;CEBPD;EGR1,5,25.0,0.259,exp02_heart_atrial_appendage-coregtor-n_five
ed1eaba84cd2,SPARC,PKM;SF1;ZNF358,3,15.0,0.1213,exp02_heart_atrial_appendage-coregtor-n_five
d443eb69338a,TAGLN,DRAP1;CD59;TAGLN2;SMPX;HSPA5,5,50.0,0.4296,exp02_heart_atrial_appendage-coregtor-n_five
0d14664d8480,TIMP1,CSNK2B;TAGLN2,2,12.5,0.6147,exp02_heart_atrial_appendage-coregtor-n_five
ae2547cff0fd,TIMP1,TPI1;ATF4;P4HB;ID2;DRAP1,5,31.25,0.1933,exp02_heart_atrial_appendage-coregtor-n_five
3ead7b8266fe,VEGFA,BHLHE40;ENO1;TPI1;CEBPD;ATF4,5,62.5,0.4778,exp02_heart_atrial_appendage-coregtor-n_five
e972a9991048,VIM,TAGLN2;HNRNPA1;RPL6,3,100.0,0.0,exp02_heart_atrial_appendage-coregtor-n_five
