cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
7fce72df6a9a,ACTA2,CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;TPI1;UBXN1;UGP2;YBX1;YWHAE,19,100.0,exp02-coregnet,0.33716,1.10225,0.29799,0.54288,0.61209,0.56628,40.18211,27.49864,47.45125,0.10526315789473684,0.05405405405405406,0.07142857142857144,0.037037037037037035
edfbd3ab9bc0,ACTB,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;NUCB1;P4HB;PKM;PSMA6;RPL35;RPL6;RPS10;RPS4X;TPI1;UGP2;YBX1;YWHAE,20,100.0,exp02-coregnet,0.34959,1.10644,0.31279,0.56228,0.62193,0.58596,43.0796,27.65089,50.38141,0.05,0.047619047619047616,0.04878048780487805,0.025
22b9465e5a2e,APP,CFL2;CYCS;DRAP1;EZR;GOT1;HADHB;HNRNPA1;HSPA5;P4HB;PDLIM5;PKM;PSMA6;RPL6;RPS4X;SMPX;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,21,100.0,exp02-coregnet,0.30584,1.04305,0.26685,0.55119,0.59286,0.56508,27.85868,21.71784,35.55829,0.0,0.0,0.0,0.0
4cade436d736,CDKN1A,ATF4;CD59;CEBPD;CFL2;DRAP1;ENO1;EZR;HADHB;HNRNPA1;HSPA5;JUNB;P4HB;PKM;PSMA6;RPS10;SMPX;TPI1;UGP2;YBX1;YWHAE,20,100.0,exp02-coregnet,0.31863,1.06279,0.28171,0.52632,0.58684,0.54342,25.58246,22.54682,31.28665,0.1,0.007874015748031496,0.014598540145985401,0.007352941176470588
3880e25d644a,CRYAB,CFL2;DRAP1;EGR1;EZR;GOT1;HADHB;HSPA5;P4HB;PDLIM5;PKM;PSMA6;SMPX;SOD1;TPI1;UGP2;YBX1;YWHAE,17,100.0,exp02-coregnet,0.29326,1.07238,0.24845,0.53554,0.58333,0.54105,18.19239,18.0195,26.21705,0.0,0.0,0.0,0.0
775526755ed1,DUSP1,CEBPD;CFL2;CYCS;EGR1;FHL2;FOS;GOT1;HADHB;JUN;JUNB;JUND;NKX2-5;NR4A1;SMPX;SUCLG1,15,100.0,exp02-coregnet,0.32718,1.1663,0.29487,0.53651,0.63492,0.52143,11.19691,34.318,7.68743,0.06666666666666667,0.034482758620689655,0.045454545454545456,0.023255813953488372
9889d3780a32,FN1,CD59;CFL2;DRAP1;ENO1;EZR;HADHB;HSPA5;P4HB;PDLIM5;PKM;RPL6;SMPX;UGP2;YWHAE,14,100.0,exp02-coregnet,0.29979,1.02391,0.26881,0.51832,0.56777,0.53663,24.48055,18.15842,31.72684,0.0,0.0,0.0,0.0
eda9bce84447,GADD45B,ATF4;CD59;CEBPD;CFL2;CSNK2B;DRAP1;EGR1;ENO1;EZR;FOS;GOT1;HADHB;HNRNPA1;HSPA5;JUN;JUNB;JUND;NFE2L1;NKX2-5;NR4A1;P4HB;PDLIM5;PKM;PSMA6;RPS10;RPS4X;SMPX;SOD1;SUCLG1;TPI1;UGP2;YWHAE,32,100.0,exp02-coregnet,0.32504,1.14142,0.27987,0.54872,0.57594,0.54015,17.049,19.73507,18.29531,0.0625,0.08695652173913043,0.07272727272727272,0.03773584905660377
952829760ae8,GSTP1,CFL2;CSNK2B;DRAP1;ENO1;EZR;GTF3A;HADHB;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,22,100.0,exp02-coregnet,0.31711,1.05488,0.28075,0.53247,0.57431,0.54473,29.55728,20.09364,35.7615,0.0,0.0,0.0,0.0
20c9e6bd81d0,HBB,CFL2;CYCS;EGR1;EZR;FHL2;FOS;GOT1;HADHB;JUNB;NFE2L1;NR4A1;PDLIM5;SMPX;SUCLG1;UGP2,15,100.0,exp02-coregnet,0.26978,0.93853,0.24881,0.50476,0.54762,0.49841,5.17029,17.70291,5.73392,0.06666666666666667,0.01694915254237288,0.02702702702702703,0.0136986301369863
