cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
db4f7c6fb95c,ACTA2,EPAS1;SNRNP70;P4HB;EGR1;RPS4X;JUN;TAGLN2;HNRNPA1;JUNB;RPL6;CEBPD;NUCB1;JUND;UBXN1;USF2;NR4A1;FOS;DRAP1;RPS10;CSNK2B,20,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
e0b68e848ee7,ACTB,HNRNPA1;RPL6;ENO1;TAGLN2;CSNK2B;RPS4X;RPL35;DRAP1;RPS10;P4HB,10,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
518dcdfd8a62,APP,YWHAE;EZR;UGP2;P4HB;YBX1;HSPA5;CFL2,7,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
f605b81cc059,CDKN1A,ATF4;ENO1;HNRNPA1;TAGLN2;RPL35;CEBPD;RPL6;RPS10;UBXN1;DRAP1;YWHAE;HSPA5,12,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
3ccb144016be,CRYAB,DRAP1;UGP2;ATF4;YWHAE;RPL6;CD59;CFL2;EZR,8,88.8889,0.6308,exp02_heart_left_ventricle-coregtor-default
28df97a7a212,DUSP1,FOS;JUN;NR4A1;JUNB;RPS10;EGR1;NUCB1;TPI1;ATF4;RPS4X;HSF1;P4HB;CEBPD;RPL35;ENO1;UBXN1,16,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
9d1d80248c81,FN1,CD59;DRAP1;RPS10;P4HB;YBX1;PKM;TPI1;YWHAE;ENO1;RPL6;PSMA6;HNRNPA1,12,92.3077,0.2355,exp02_heart_left_ventricle-coregtor-default
b5282311a4ca,GADD45B,CEBPD;JUNB;TAGLN2,3,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
744c9eafb919,GSTP1,DRAP1;RPS10;UBXN1;RPS4X;CSNK2B,5,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
b9e29f2d7a54,HBB,EPAS1;UBXN1;NUCB1;TAGLN2;JUNB;SNRNP70;CEBPD;TPI1;HNRNPA1;NKX2-5;NR4A1;CSNK2B;PDLIM5;RPS10;JUND;RPS4X;EGR1;ENO1;RPL6;ATF4;HSF1;CFL2;EZR,23,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
d2b522eeabb2,HLA-E,TAGLN2;CEBPD;ENO1;NUCB1;UBXN1;RPL35;RPS10;JUNB;HSF1;RPS4X;P4HB;NR4A1;TPI1;CSNK2B;EGR1;RPL6;HNRNPA1;SNRNP70;ATF4,19,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
14ea07f2c872,HSP90AA1,ATF4;YWHAE;HSPA5;CEBPD;YBX1;HNRNPA1;CFL2;UGP2;ESRRA;CD59;RPL35;RPL6;HADHB,13,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
34ba7ec7cba7,HSPA1A,ATF4;FOS;JUN;JUND;HSPA5;CEBPD,6,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
d6332edb6a60,ID3,SNRNP70;HNRNPA1;TAGLN2;RPS4X;NUCB1;USF2;RPL35;CEBPD;ID1;EGR1;UBXN1;ATF4;RPS10;CSNK2B;JUNB;NR4A1;EPAS1;TPI1;HSF1;ENO1,20,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
bc5b14a67cce,MAT2A,CSNK2B;HNRNPA1;HSPA5;P4HB;JUNB;CD59;CEBPD;NUCB1;TPI1;PSMA6;ATF4;ENO1;PKM;YWHAE;UGP2;ESRRA,16,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
1d8677183ba2,MCL1,JUN;JUND;P4HB;JUNB;RPS4X;CEBPD;EGR1;HNRNPA1;NR4A1;TAGLN2;ATF4;FOS;RPL6;SNRNP70;RPL35;ENO1,16,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
463ab7ab9a9b,PDK4,EZR;YWHAE;PSMA6;EPAS1;P4HB;ESRRA;CD59;HADHB;UGP2;PDLIM5;HNRNPA1;YBX1;NFE2L1;CFL2;ATF4;EGR1;CEBPD;UBXN1;SOD1;HSPA5,20,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
f5668d1a5972,PRKACA,TPI1;PSMA6;PKM;PDLIM5;YWHAE;YBX1;EZR;SOD1;SUCLG1;UGP2;SMPX;CFL2,12,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
58e8d453b079,RHOA,P4HB;RPL6;PSMA6;YWHAE;HNRNPA1;CD59;RPS10;TAGLN2;ENO1;HSPA5;RPS4X,11,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
163cce4b4e08,SPARC,SNRNP70;P4HB;HNRNPA1;RPS4X;NR4A1;ATF4;NUCB1;USF2;CSNK2B;UBXN1;EGR1;TAGLN2;PKM;JUNB;TPI1;CEBPD;ENO1;RPS10;RPL35;HSF1;DRAP1,21,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
bdb2a8f98fa8,TAGLN,RPL6;EPAS1;P4HB;TAGLN2;HNRNPA1;SNRNP70;YWHAE;RPS4X;CD59;DRAP1;ATF4;JUNB;TPI1;NR4A1;CSNK2B;RPS10;EGR1;RPL35;FOS,19,90.4762,0.5038,exp02_heart_left_ventricle-coregtor-default
a6bd9dd01b2b,TAGLN,ENO1;CEBPD,2,9.5238,0.172,exp02_heart_left_ventricle-coregtor-default
9d191fe12fba,TIMP1,ENO1;RPL6;TAGLN2;HNRNPA1;RPS10;RPL35;HSPA5;P4HB;RPS4X;CSNK2B;CEBPD;PSMA6;ATF4;YWHAE;TPI1;UBXN1;CD59,17,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
873f0f023347,TIMP3,EPAS1;JUNB;JUND;NR4A1;FOS;EGR1;JUN,7,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
1ccb3a96d7cc,VEGFA,ID1;NUCB1;ENO1;HSF1;TAGLN2;CEBPD;RPS10;HSPA5;RPS4X;JUNB;NR4A1;UBXN1;EGR1;YWHAE;ATF4;TPI1;P4HB;RPL6;SNRNP70;CYCS;HNRNPA1;RPL35;CSNK2B;CFL2,24,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
2d6ebea8586b,VIM,HNRNPA1;RPS4X;TAGLN2;SNRNP70;ENO1;NR4A1;TPI1;NUCB1;RPL35;RPS10;CEBPD;RPL6;EGR1;P4HB;EPAS1;ATF4;JUNB;YWHAE,18,100.0,0.0,exp02_heart_left_ventricle-coregtor-default
