cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
161d2378576a,ACTA2,P4HB;RPS4X,2,10.0,0.5093,exp02_heart_left_ventricle-coregtor-n_five
c6ab60d584c8,ACTA2,EGR1;EPAS1;TAGLN2;SNRNP70;JUND,5,25.0,0.4684,exp02_heart_left_ventricle-coregtor-n_five
dfc15ee78c3c,ACTB,TAGLN2;ENO1;RPL6;HNRNPA1;RPS4X,5,50.0,0.3694,exp02_heart_left_ventricle-coregtor-n_five
22611b90d926,APP,YBX1;UGP2;CFL2;EZR;HSPA5;YWHAE,6,85.7143,0.2312,exp02_heart_left_ventricle-coregtor-n_five
07423d7ba69a,CDKN1A,ENO1;ATF4;CEBPD;HNRNPA1;RPL6;TAGLN2;RPS10,7,58.3333,0.3099,exp02_heart_left_ventricle-coregtor-n_five
ff4110b9a64d,CRYAB,UGP2;YWHAE;CFL2;DRAP1;ATF4;CD59,6,66.6667,0.3877,exp02_heart_left_ventricle-coregtor-n_five
6a9f50165b98,DUSP1,FOS;NR4A1;JUN,3,18.75,0.5207,exp02_heart_left_ventricle-coregtor-n_five
c61051561df4,DUSP1,HSF1;UBXN1;NUCB1;RPS4X;ATF4,5,31.25,0.3494,exp02_heart_left_ventricle-coregtor-n_five
d94b52528f49,DUSP1,EGR1;TPI1;JUNB;CEBPD,4,25.0,0.2359,exp02_heart_left_ventricle-coregtor-n_five
3c413f4ed616,FN1,P4HB;DRAP1;CD59;RPS10;PKM,5,38.4615,0.4778,exp02_heart_left_ventricle-coregtor-n_five
bada0ba977bc,FN1,TPI1;YBX1,2,15.3846,0.2895,exp02_heart_left_ventricle-coregtor-n_five
e613052e25bb,GADD45B,CEBPD;JUNB;TAGLN2,3,100.0,0.0,exp02_heart_left_ventricle-coregtor-n_five
0c155ae90c48,GSTP1,UBXN1;DRAP1;RPS10;CSNK2B,4,80.0,0.658,exp02_heart_left_ventricle-coregtor-n_five
fc934945fc6e,HBB,EPAS1;CEBPD;NKX2-5;TAGLN2;SNRNP70;TPI1,6,26.087,0.2232,exp02_heart_left_ventricle-coregtor-n_five
5219ffcaaba9,HLA-E,HSF1;NR4A1,2,10.5263,0.2527,exp02_heart_left_ventricle-coregtor-n_five
7de7a6f77b6a,HLA-E,RPS10;TPI1;EGR1,3,15.7895,0.2361,exp02_heart_left_ventricle-coregtor-n_five
