cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
161d2378576a,ACTA2,P4HB;RPS4X,2,10.0,0.5093,exp02_heart_left_ventricle-coregtor-n_five,0.37069,1.09936,0.32137,0.5,0.5,0.5,61.88617,7.65472,80.2576,0.0,0.0,0.0,0.0
c6ab60d584c8,ACTA2,EGR1;EPAS1;TAGLN2;SNRNP70;JUND,5,25.0,0.4684,exp02_heart_left_ventricle-coregtor-n_five,0.37243,1.29948,0.31896,0.55,0.55,0.55,6.31448,18.59551,6.31026,0.2,0.02702702702702703,0.047619047619047616,0.024390243902439025
dfc15ee78c3c,ACTB,TAGLN2;ENO1;RPL6;HNRNPA1;RPS4X,5,50.0,0.3694,exp02_heart_left_ventricle-coregtor-n_five,0.42074,1.15637,0.38975,0.65,0.8,0.65,111.83462,49.35318,101.72702,0.0,0.0,0.0,0.0
22611b90d926,APP,YBX1;UGP2;CFL2;EZR;HSPA5;YWHAE,6,85.7143,0.2312,exp02_heart_left_ventricle-coregtor-n_five,0.30744,1.1224,0.26294,0.53333,0.63333,0.53333,29.50261,22.76881,40.10339,0.0,0.0,0.0,0.0
07423d7ba69a,CDKN1A,ENO1;ATF4;CEBPD;HNRNPA1;RPL6;TAGLN2;RPS10,7,58.3333,0.3099,exp02_heart_left_ventricle-coregtor-n_five,0.39936,1.16067,0.35913,0.59524,0.69048,0.59524,52.08834,33.91134,53.4353,0.0,0.0,0.0,0.0
ff4110b9a64d,CRYAB,UGP2;YWHAE;CFL2;DRAP1;ATF4;CD59,6,66.6667,0.3877,exp02_heart_left_ventricle-coregtor-n_five,0.24737,0.84628,0.23874,0.5,0.51111,0.5,3.78703,3.98477,5.50199,0.0,0.0,0.0,0.0
6a9f50165b98,DUSP1,FOS;NR4A1;JUN,3,18.75,0.5207,exp02_heart_left_ventricle-coregtor-n_five,0.63519,2.55205,0.49927,0.66667,1.0,0.66667,64.50977,124.6438,39.55192,0.3333333333333333,0.034482758620689655,0.0625,0.03225806451612903
c61051561df4,DUSP1,HSF1;UBXN1;NUCB1;RPS4X;ATF4,5,31.25,0.3494,exp02_heart_left_ventricle-coregtor-n_five,0.33314,1.05949,0.29058,0.5,0.51667,0.55,4.41669,11.46097,9.86401,0.0,0.0,0.0,0.0
d94b52528f49,DUSP1,EGR1;TPI1;JUNB;CEBPD,4,25.0,0.2359,exp02_heart_left_ventricle-coregtor-n_five,0.43132,1.32377,0.41737,0.58333,0.75,0.58333,11.02488,36.29831,8.42728,0.0,0.0,0.0,0.0
3c413f4ed616,FN1,P4HB;DRAP1;CD59;RPS10;PKM,5,38.4615,0.4778,exp02_heart_left_ventricle-coregtor-n_five,0.29907,0.8755,0.28431,0.5,0.53333,0.5,18.56395,15.52235,27.24995,0.0,0.0,0.0,0.0
