"Regulator","Target"
"FEZ1","ACTB"
"FEZ1","CRYAB"
"FEZ1","TXN"
"FEZ1","STMN1"
"FEZ1","APP"
"FEZ1","GSTP1"
"FEZ1","NDRG1"
"FEZ1","TKT"
"TAGLN2","ACTB"
"TAGLN2","CLU"
"TAGLN2","TXN"
"TAGLN2","MAT2A"
"TAGLN2","HLA-E"
"TAGLN2","GSTP1"
"TAGLN2","VIM"
"TAGLN2","ID3"
"TAGLN2","TIMP3"
"TAGLN2","TKT"
"ATF4","ACTB"
"ATF4","CLU"
"ATF4","TXN"
"ATF4","MAT2A"
"ATF4","GSTP1"
"ATF4","HSP90AA1"
"ATF4","SUMO1"
"ATF4","TKT"
"CLK1","ACTB"
"CLK1","TXN"
"CLK1","MAT2A"
"CLK1","STMN1"
"CLK1","APP"
"CLK1","GSTP1"
"CLK1","HSP90AA1"
"CLK1","SUMO1"
"CLK1","TKT"
"JUND","ACTB"
"JUND","CLU"
"JUND","TXN"
"JUND","MAT2A"
"JUND","STMN1"
"JUND","GSTP1"
"JUND","HSP90AA1"
"JUND","SUMO1"
"JUND","APOE"
"JUND","TIMP3"
"JUND","TKT"
"DRAP1","ACTB"
"DRAP1","TXN"
"DRAP1","MAT2A"
"DRAP1","STMN1"
"DRAP1","APP"
"DRAP1","GSTP1"
"DRAP1","HSP90AA1"
"DRAP1","SUMO1"
"DRAP1","TIMP3"
"DRAP1","TKT"
"RAD21","ACTB"
"RAD21","TXN"
"RAD21","MAT2A"
"RAD21","STMN1"
"RAD21","APP"
"RAD21","GSTP1"
"RAD21","HSP90AA1"
"RAD21","SUMO1"
"RAD21","TKT"
"SNRNP70","ACTB"
"SNRNP70","TXN"
"SNRNP70","MAT2A"
"SNRNP70","STMN1"
"SNRNP70","APP"
"SNRNP70","GSTP1"
"SNRNP70","SUMO1"
"SNRNP70","TIMP3"
"SNRNP70","TKT"
"EWSR1","ACTB"
"EWSR1","CLU"
"EWSR1","TXN"
"EWSR1","MAT2A"
"EWSR1","STMN1"
"EWSR1","APP"
"EWSR1","GSTP1"
"EWSR1","HSP90AA1"
"EWSR1","SUMO1"
"EWSR1","TIMP3"
"EWSR1","TKT"
"RAB7A","ACTB"
"RAB7A","CLU"
"RAB7A","TXN"
