cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
b13cbdfa412a,ACTB,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,38,100.0,exp02-coregnet,0.32497,0.9979,0.30007,0.53438,0.50628,0.51565,11.33283,12.36286,11.58696,0.05263157894736842,0.09523809523809523,0.06779661016949153,0.03508771929824561
9fe08f725d6b,APOE,DUSP26;ENO1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;PRNP;RAN;TCEAL2;TCEAL6;TPI1;YWHAZ,14,100.0,exp02-coregnet,0.36615,1.19353,0.33144,0.56777,0.57875,0.53114,19.80015,27.79441,18.2968,0.07142857142857142,0.041666666666666664,0.052631578947368425,0.02702702702702703
c0485e0170ee,APP,CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,35,100.0,exp02-coregnet,0.32494,0.98105,0.30144,0.53249,0.5021,0.51373,11.43292,11.74198,11.78259,0.05714285714285714,0.04081632653061224,0.04761904761904761,0.024390243902439025
99c3fb36ea14,CLU,ATF4;CANX;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAN;SCAND1;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,33,100.0,exp02-coregnet,0.33179,1.01239,0.30765,0.54009,0.51847,0.52083,12.21042,14.90862,12.80242,0.12121212121212122,0.16,0.1379310344827586,0.07407407407407407
1116663fa01d,CRYAB,FEZ1;FOS;JUN,3,100.0,exp02-coregnet,0.3886,1.63927,0.31153,0.66667,0.61111,0.66667,32.97922,0.9155,28.50594,0.0,0.0,0.0,0.0
0595d3e8358f,DUSP1,FOS;JUN;JUNB,3,100.0,exp02-coregnet,0.67977,2.68017,0.57483,1.0,1.0,1.0,61.40462,131.87315,55.06947,0.3333333333333333,0.034482758620689655,0.0625,0.03225806451612903
dad1a61bc5e4,GADD45B,FOS;HSPA5;JUN;JUNB,4,100.0,exp02-coregnet,0.50382,1.95058,0.41892,0.83333,0.91667,0.75,41.77156,90.43261,34.00169,0.25,0.043478260869565216,0.07407407407407408,0.038461538461538464
e377494d8e93,GSTP1,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,38,100.0,exp02-coregnet,0.32497,0.9979,0.30007,0.53438,0.50628,0.51565,11.33283,12.36286,11.58696,0.05263157894736842,0.05128205128205128,0.05194805194805195,0.02666666666666667
964f212d5ee1,HLA-DRB1,DUSP26;FOS;GOT1;HSPA5;JUN;JUNB;PRNP;RAN;TCEAL6;YWHAZ,10,100.0,exp02-coregnet,0.35236,1.21735,0.30741,0.56667,0.56296,0.51111,18.30107,22.08227,16.04603,0.1,0.03333333333333333,0.05,0.02564102564102564
32189bf3eb2d,HLA-E,FOS;GOT1;HSPA5;JUN;JUNB;NUCB1;TAGLN2,7,100.0,exp02-coregnet,0.32744,1.14419,0.29864,0.64286,0.60317,0.61905,16.69799,26.99475,15.1633,0.14285714285714285,0.019230769230769232,0.03389830508474577,0.017241379310344827
