cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
e09823c7e842,ACTB,CSNK2B;RAB7A;RPL6;ENO1;EWSR1;NUCB1;TAGLN2;YWHAE;UBXN1;ATF4,10,100.0,0.0,exp02_hypothalamus-coregtor-default
aae4fa46f217,APOE,TSC22D4;THRA;UBXN1;ENO1;RPL35;SCAND1;UBB;STUB1;DRAP1;YWHAE;EWSR1;USF2;PKM;ZMAT2;CSNK2B;SRP9;TPI1;RPS4X,18,100.0,0.0,exp02_hypothalamus-coregtor-default
db05b2199a8c,APP,TPPP;NFE2L1;PRNP;UBB;RAB7A;YWHAE;RAD21;GOT1;CANX;RAN;ZMAT2;CSNK2B;TCEAL6;DRAP1,14,100.0,0.0,exp02_hypothalamus-coregtor-default
4cd555e1e84b,CLU,ENO1;EWSR1;THRA;UBXN1;PKM;JUN;RAB7A;TAGLN2,8,100.0,0.0,exp02_hypothalamus-coregtor-default
808b146cc079,CRYAB,CENPB;FEZ1;UBXN1;ENO1;TSC22D4;ATF4;JUN;HNRNPA1,8,100.0,0.0,exp02_hypothalamus-coregtor-default
8bb039e7063a,DUSP1,FOS;JUNB;SNRNP70,3,100.0,0.0,exp02_hypothalamus-coregtor-default
c16e3ce27cf5,GADD45B,JUN;JUNB;TAGLN2;ENO1;ATF4;CSNK2B;NUCB1;RPL35;HSPA5,9,100.0,0.0,exp02_hypothalamus-coregtor-default
c3cf0db8687e,GSTP1,PHF1;CSNK2B;STUB1;ENO1;PRDX5;NUCB1;DRAP1;UBXN1;CANX;PKM;EWSR1;RAB7A;RAN;NPDC1;YWHAE;THRA,16,100.0,0.0,exp02_hypothalamus-coregtor-default
a81561bdf4d1,HBA2,JUN;RPS4X,2,10.0,0.4801,exp02_hypothalamus-coregtor-default
4fe315b73a72,HBA2,NPDC1;THRA,2,10.0,0.4474,exp02_hypothalamus-coregtor-default
3ac01527ec79,HBA2,CENPB;TAGLN2;TSC22D4;NUCB1;FEZ1;DRAP1;TCEAL2;RPL35;HSPA5;TCEAL6;OLIG1;SOD1;UBB;ENO1;SCAND1,15,75.0,0.2463,exp02_hypothalamus-coregtor-default
081ce1af0ff1,HBB,RPS4X;ENO1;TSC22D4;GOT1;NUCB1;DRAP1;CENPB;YWHAE;HSPA5;RPL35;FEZ1;TCEAL6;JUN;FOS;ZMAT2;ZNF358;JUNB;RAN;SOD1;TCEAL2;TAGLN2,21,87.5,0.1778,exp02_hypothalamus-coregtor-default
2703f137962b,HLA-DRB1,CANX;UBXN1;ATF4;RPL6;FOS;DRAP1;CLK1;HNRNPA1;CSNK2B;RPS4X;SNRNP70;JUN;EWSR1;NUCB1;TAGLN2;PKM;RAD21;PRDX5;STUB1;PRNP;HSPA5;THRA;USF2;JUNB;RAB7A;NFE2L1;JUND,27,96.4286,0.469,exp02_hypothalamus-coregtor-default
8eed33e6940f,HLA-E,TAGLN2;UBXN1;ATF4;HNRNPA1;RPS4X;CLK1;CENPB;CSNK2B,8,100.0,0.0,exp02_hypothalamus-coregtor-default
79c84e5c0bfd,HSP90AA1,NUCB1;HSPA5;SOD1;RAN;UBB;CANX;GOT1;SRP9;RAB7A;TPI1;PRNP;YWHAE;PKM;STUB1;YWHAZ,15,100.0,0.0,exp02_hypothalamus-coregtor-default
49138dd367e8,HSPA1A,JUN;FOS,2,100.0,0.0,exp02_hypothalamus-coregtor-default
7a273c1df3b9,ID3,TAGLN2;ENO1,2,100.0,0.0,exp02_hypothalamus-coregtor-default
2eb8118b19a7,MAT2A,HNRNPA1;RAB7A;NFE2L1;EWSR1;RAD21;CANX;PRNP;SNRNP70;UBB;PHF1;CLK1;NUCB1,12,100.0,0.0,exp02_hypothalamus-coregtor-default
a44c89378ce6,NDRG1,FEZ1;CENPB;TSC22D4;HNRNPA1;OLIG1,5,100.0,0.0,exp02_hypothalamus-coregtor-default
cbd2b0cdd5e8,RHOA,HNRNPA1;RAB7A;ATF4;CSNK2B;RPS4X;YWHAE;UBXN1;RPL6,8,100.0,0.0,exp02_hypothalamus-coregtor-default
8c4e4f9b90c6,SPARC,ENO1;RAD21;SRP9;NUCB1;RAB7A;UBXN1;YWHAE;THRA;EWSR1;PKM;CANX;CSNK2B;PHF1;HNRNPA1;RPS4X;TCEAL6;PRDX5;TSC22D4;SNRNP70;NPDC1;CLK1;NFE2L1;USF2;UBB,24,100.0,0.0,exp02_hypothalamus-coregtor-default
a85cf4a06033,STMN1,SOD1;NFE2L1;GOT1;RAD21;YWHAZ;YWHAE;DUSP26;RAN;UBB;STUB1;PRNP;NUCB1,12,100.0,0.0,exp02_hypothalamus-coregtor-default
