cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
a446e4ff32cf,ACTB,RAB7A;CSNK2B;YWHAE;RPL6;ENO1,5,50.0,0.2556,exp02_hypothalamus-coregtor-n_five
cc5cabd76e38,APOE,TSC22D4;THRA;UBXN1;YWHAE;ENO1,5,27.7778,0.5051,exp02_hypothalamus-coregtor-n_five
4bb6e322b53b,APP,ZMAT2;YWHAE,2,14.2857,0.3417,exp02_hypothalamus-coregtor-n_five
ddbfeb464744,APP,NFE2L1;UBB;PRNP;RAD21;TPPP,5,35.7143,0.2828,exp02_hypothalamus-coregtor-n_five
e2aa9dea3252,APP,GOT1;CANX;RAB7A,3,21.4286,0.2557,exp02_hypothalamus-coregtor-n_five
3538e799cb4b,CLU,RAB7A;UBXN1;ENO1;PKM;EWSR1;THRA,6,75.0,0.3813,exp02_hypothalamus-coregtor-n_five
f9c5d4ce68b4,CRYAB,TSC22D4;CENPB;UBXN1;ATF4;FEZ1;ENO1,6,75.0,0.5208,exp02_hypothalamus-coregtor-n_five
1d38d0c4178c,DUSP1,FOS;JUNB;SNRNP70,3,100.0,0.0,exp02_hypothalamus-coregtor-n_five
7ecf967e6585,GADD45B,JUN;JUNB;ENO1;TAGLN2;ATF4;CSNK2B,6,66.6667,0.7256,exp02_hypothalamus-coregtor-n_five
6f4076d97bc5,GSTP1,DRAP1;CSNK2B;PHF1;ENO1;PRDX5,5,31.25,0.4186,exp02_hypothalamus-coregtor-n_five
67c1f9e58f24,HBA2,TSC22D4;CENPB;FEZ1;NUCB1;TAGLN2,5,25.0,0.4558,exp02_hypothalamus-coregtor-n_five
209415a26ab3,HBB,YWHAE;GOT1,2,8.3333,0.7349,exp02_hypothalamus-coregtor-n_five
581149ff07ce,HBB,NUCB1;JUN;TSC22D4;CENPB;RPS4X;RPL35,6,25.0,0.2633,exp02_hypothalamus-coregtor-n_five
7854486c9dbb,HLA-DRB1,HNRNPA1;RPS4X;TAGLN2;ATF4;RPL6,5,17.8571,0.2149,exp02_hypothalamus-coregtor-n_five
567adec55761,HLA-E,TAGLN2;RPS4X;HNRNPA1;UBXN1;ATF4,5,62.5,0.3633,exp02_hypothalamus-coregtor-n_five
03b344418b5a,HSP90AA1,UBB;HSPA5;CANX;RAN;NUCB1,5,33.3333,0.5655,exp02_hypothalamus-coregtor-n_five
abcc503289a8,HSPA1A,JUN;FOS,2,100.0,0.0,exp02_hypothalamus-coregtor-n_five
ff2c3b2aa2c5,ID3,TAGLN2;ENO1,2,100.0,0.0,exp02_hypothalamus-coregtor-n_five
a79452fef985,MAT2A,RAB7A;EWSR1;HNRNPA1;CANX;RAD21,5,41.6667,0.3555,exp02_hypothalamus-coregtor-n_five
51cb40334fd0,NDRG1,CENPB;FEZ1;TSC22D4;HNRNPA1,4,80.0,0.4278,exp02_hypothalamus-coregtor-n_five
d34297a81d1e,RHOA,RPL6;CSNK2B;ATF4;YWHAE;RAB7A;RPS4X;HNRNPA1,7,87.5,0.5709,exp02_hypothalamus-coregtor-n_five
121920161bcf,SPARC,PHF1;CANX,2,8.3333,0.2985,exp02_hypothalamus-coregtor-n_five
0e8eec6eda64,SPARC,EWSR1;RAB7A;SRP9;ENO1;YWHAE,5,20.8333,0.2275,exp02_hypothalamus-coregtor-n_five
137edce6d928,STMN1,NFE2L1;RAD21;SOD1;GOT1;YWHAE;UBB;YWHAZ,7,58.3333,0.3052,exp02_hypothalamus-coregtor-n_five
f66655bab8ca,SUMO1,SOD1;YWHAZ;RAN;PRNP;SRP9,5,50.0,0.5022,exp02_hypothalamus-coregtor-n_five
1c8a9658a1c5,TIMP3,RAB7A;PKM;YWHAE;EWSR1;ENO1;CSNK2B,6,26.087,0.3674,exp02_hypothalamus-coregtor-n_five
a5939b4fb5f8,TKT,NUCB1;STUB1;RAB7A;ZMAT2;SOD1;YWHAE,6,40.0,0.3269,exp02_hypothalamus-coregtor-n_five
42363d22735b,TXN,SOD1;RPL6;TPI1;CSNK2B;DRAP1;RAN,6,37.5,0.2181,exp02_hypothalamus-coregtor-n_five
1ae3f61ba3d7,VIM,RPL35;CSNK2B,2,10.5263,0.2611,exp02_hypothalamus-coregtor-n_five
e497b74217a8,VIM,RPL6;HNRNPA1;TAGLN2;ATF4;CLK1;HSPA5,6,31.5789,0.1964,exp02_hypothalamus-coregtor-n_five
