cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
a446e4ff32cf,ACTB,RAB7A;CSNK2B;YWHAE;RPL6;ENO1,5,50.0,0.2556,exp02_hypothalamus-coregtor-n_five,0.38073,1.28376,0.3062,0.55,0.55,0.55,39.23416,18.26189,38.83292,0.0,0.0,0.0,0.0
cc5cabd76e38,APOE,TSC22D4;THRA;UBXN1;YWHAE;ENO1,5,27.7778,0.5051,exp02_hypothalamus-coregtor-n_five,0.35526,1.13648,0.30815,0.6,0.48333,0.6,14.27622,5.31387,14.14401,0.0,0.0,0.0,0.0
4bb6e322b53b,APP,ZMAT2;YWHAE,2,14.2857,0.3417,exp02_hypothalamus-coregtor-n_five,0.18466,0.35417,0.22709,0.5,0.5,0.5,9.10901,0.19332,6.26445,0.0,0.0,0.0,0.0
ddbfeb464744,APP,NFE2L1;UBB;PRNP;RAD21;TPPP,5,35.7143,0.2828,exp02_hypothalamus-coregtor-n_five,0.32088,1.21297,0.25919,0.5,0.51667,0.55,1.70733,8.19285,3.74267,0.0,0.0,0.0,0.0
e2aa9dea3252,APP,GOT1;CANX;RAB7A,3,21.4286,0.2557,exp02_hypothalamus-coregtor-n_five,0.30597,1.34206,0.21718,0.5,0.66667,0.5,34.59175,9.95546,61.85104,0.0,0.0,0.0,0.0
3538e799cb4b,CLU,RAB7A;UBXN1;ENO1;PKM;EWSR1;THRA,6,75.0,0.3813,exp02_hypothalamus-coregtor-n_five,0.39763,1.24403,0.32645,0.63333,0.52222,0.63333,25.29945,21.43233,31.3942,0.0,0.0,0.0,0.0
f9c5d4ce68b4,CRYAB,TSC22D4;CENPB;UBXN1;ATF4;FEZ1;ENO1,6,75.0,0.5208,exp02_hypothalamus-coregtor-n_five,0.31671,0.96759,0.29098,0.5,0.43333,0.48889,2.60378,2.09614,3.12648,0.0,0.0,0.0,0.0
1d38d0c4178c,DUSP1,FOS;JUNB;SNRNP70,3,100.0,0.0,exp02_hypothalamus-coregtor-n_five,0.48902,1.94967,0.36199,0.66667,0.66667,0.66667,24.13439,44.63273,14.40459,0.0,0.0,0.0,0.0
7ecf967e6585,GADD45B,JUN;JUNB;ENO1;TAGLN2;ATF4;CSNK2B,6,66.6667,0.7256,exp02_hypothalamus-coregtor-n_five,0.3998,1.36071,0.35138,0.7,0.65556,0.63333,23.94666,23.79216,19.36835,0.16666666666666666,0.043478260869565216,0.06896551724137931,0.03571428571428571
6f4076d97bc5,GSTP1,DRAP1;CSNK2B;PHF1;ENO1;PRDX5,5,31.25,0.4186,exp02_hypothalamus-coregtor-n_five,0.39443,1.31827,0.33139,0.55,0.53333,0.55,7.91886,6.15449,9.09519,0.0,0.0,0.0,0.0
