cluster_uid,target,sources,n_sources,n_percent,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
0244d64d3be4,ACTA2,CEBPD;EGR1;ENO1;EPAS1;EZR;FOS;HSPA5;ID1;JUN;JUNB;LTF;NR4A1;P4HB;PKM;RPS4X;STAT6;TAGLN2,17,100.0,exp02-coregnet,0.59069,0.64093,0.56863,21.1063,36.09728,20.55213,0.41184,1.40158,0.3426,0.05882,0.02703,0.03704,0.01887
4a562a826d33,ACTB,ATF4;BHLHE40;CD59;CEBPD;CLK1;CSNK2B;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;GADD45A;HES1;HNRNPA1;HSPA5;ID1;JUN;JUNB;JUND;LTF;NR4A1;P4HB;PKM;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,33,100.0,exp02-coregnet,0.56818,0.58176,0.55682,21.40102,21.1772,19.85734,0.38683,1.29848,0.32712,0.06061,0.09524,0.07407,0.03846
7406f0ba929e,APOE,EGR1;GADD45A;LTF;NR4A1,4,100.0,exp02-coregnet,0.5,0.66667,0.5,7.47088,41.16233,2.80243,0.41299,1.61185,0.30715,0.0,0.0,0.0,0.0
361f8cd327e3,APP,ATF4;BHLHE40;CD59;CEBPD;CLK1;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;HNRNPA1;HSPA5;JUN;JUNB;JUND;LTF;NFE2L1;NR4A1;P4HB;PAX8;PKM;RPL35;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,30,100.0,exp02-coregnet,0.57854,0.58084,0.56207,20.08768,22.1148,19.61831,0.38893,1.31367,0.3294,0.1,0.06122,0.07595,0.03947
5a0380929333,CDKN1C,ATF4;BHLHE40;CEBPD;DDIT3;EGR1;GADD45A;HSPA5;JUN;JUNB;LTF;NR4A1;P4HB;RPS4X;TAGLN2,14,100.0,exp02-coregnet,0.5989,0.64469,0.57326,17.13397,34.46254,12.97079,0.41295,1.48715,0.33923,0.07143,0.02564,0.03774,0.01923
b4eb7a2d507d,CLU,CD59;CEBPD;EGR1;ENO1;EZR;FOS;HSPA5;JUN;JUNB;LTF;P4HB;PAX8;PKM;RPS4X;STAT6;TAGLN2,16,100.0,exp02-coregnet,0.58056,0.62361,0.55833,20.94036,30.59123,22.17317,0.37694,1.31477,0.31618,0.1875,0.12,0.14634,0.07895
a597730d718b,CRYAB,CEBPD;EGR1;GADD45A;HSPA5;LTF;NR4A1;P4HB;PAX8,8,100.0,exp02-coregnet,0.55357,0.57143,0.54762,11.20855,25.68262,9.08571,0.39364,1.49906,0.30406,0.0,0.0,0.0,0.0
dfafa1810564,DUSP1,BHLHE40;DDIT3;EGR1;FOS;HES1;HSPA5;JUN;JUNB;JUND;LTF;NR4A1;RPS4X,12,100.0,exp02-coregnet,0.63889,0.71212,0.61869,21.27776,46.60233,14.73527,0.47528,1.82128,0.37176,0.16667,0.06897,0.09756,0.05128
61a78094d763,GADD45B,ATF4;BHLHE40;CD59;CEBPD;CLK1;DDIT3;EGR1;ENO1;FOS;GADD45A;HES1;HNRNPA1;HSPA5;JUN;JUNB;JUND;LTF;NR4A1;P4HB;PAX8;PKM;RPL35;RPS4X;TAGLN2;TPI1,25,100.0,exp02-coregnet,0.57833,0.61722,0.56722,19.56313,27.12833,18.12519,0.37599,1.33527,0.31489,0.08,0.08696,0.08333,0.04348
a0ab1379990f,GSTP1,ATF4;BHLHE40;CD59;CEBPD;CLK1;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;HES1;HNRNPA1;HSPA5;ID1;JUN;JUNB;JUND;LTF;NR4A1;P4HB;PAX8;PKM;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TPI1;TRIM28;UBXN1,33,100.0,exp02-coregnet,0.56787,0.58396,0.55903,21.22733,21.72546,20.50707,0.37785,1.26769,0.32319,0.06061,0.05128,0.05556,0.02857
