cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
0244d64d3be4,ACTA2,CEBPD;EGR1;ENO1;EPAS1;EZR;FOS;HSPA5;ID1;JUN;JUNB;LTF;NR4A1;P4HB;PKM;RPS4X;STAT6;TAGLN2,17,100.0,exp02-coregnet,0.40978,1.39167,0.34191,0.59069,0.64093,0.56863,21.1063,36.09728,20.55213,0.058823529411764705,0.02702702702702703,0.03703703703703704,0.018867924528301886
4a562a826d33,ACTB,ATF4;BHLHE40;CD59;CEBPD;CLK1;CSNK2B;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;GADD45A;HES1;HNRNPA1;HSPA5;ID1;JUN;JUNB;JUND;LTF;NR4A1;P4HB;PKM;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,33,100.0,exp02-coregnet,0.38493,1.29027,0.32662,0.56818,0.58176,0.55682,21.40102,21.1772,19.85734,0.06060606060606061,0.09523809523809523,0.07407407407407407,0.038461538461538464
7406f0ba929e,APOE,EGR1;GADD45A;LTF;NR4A1,4,100.0,exp02-coregnet,0.40986,1.59881,0.30655,0.5,0.66667,0.5,7.47088,41.16233,2.80243,0.0,0.0,0.0,0.0
361f8cd327e3,APP,ATF4;BHLHE40;CD59;CEBPD;CLK1;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;HNRNPA1;HSPA5;JUN;JUNB;JUND;LTF;NFE2L1;NR4A1;P4HB;PAX8;PKM;RPL35;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,30,100.0,exp02-coregnet,0.38707,1.30478,0.32901,0.57854,0.58084,0.56207,20.08768,22.1148,19.61831,0.1,0.061224489795918366,0.07594936708860761,0.039473684210526314
5a0380929333,CDKN1C,ATF4;BHLHE40;CEBPD;DDIT3;EGR1;GADD45A;HSPA5;JUN;JUNB;LTF;NR4A1;P4HB;RPS4X;TAGLN2,14,100.0,exp02-coregnet,0.41057,1.47456,0.33876,0.5989,0.64469,0.57326,17.13397,34.46254,12.97079,0.07142857142857142,0.02564102564102564,0.03773584905660377,0.019230769230769232
b4eb7a2d507d,CLU,CD59;CEBPD;EGR1;ENO1;EZR;FOS;HSPA5;JUN;JUNB;LTF;P4HB;PAX8;PKM;RPS4X;STAT6;TAGLN2,16,100.0,exp02-coregnet,0.37524,1.30592,0.31574,0.58056,0.62361,0.55833,20.94036,30.59123,22.17317,0.1875,0.12,0.14634146341463414,0.07894736842105263
a597730d718b,CRYAB,CEBPD;EGR1;GADD45A;HSPA5;LTF;NR4A1;P4HB;PAX8,8,100.0,exp02-coregnet,0.39072,1.48534,0.30345,0.55357,0.57143,0.54762,11.20855,25.68262,9.08571,0.0,0.0,0.0,0.0
dfafa1810564,DUSP1,BHLHE40;DDIT3;EGR1;FOS;HES1;HSPA5;JUN;JUNB;JUND;LTF;NR4A1;RPS4X,12,100.0,exp02-coregnet,0.47299,1.81018,0.37121,0.63889,0.71212,0.61869,21.27776,46.60233,14.73527,0.16666666666666666,0.06896551724137931,0.0975609756097561,0.05128205128205128
61a78094d763,GADD45B,ATF4;BHLHE40;CD59;CEBPD;CLK1;DDIT3;EGR1;ENO1;FOS;GADD45A;HES1;HNRNPA1;HSPA5;JUN;JUNB;JUND;LTF;NR4A1;P4HB;PAX8;PKM;RPL35;RPS4X;TAGLN2;TPI1,25,100.0,exp02-coregnet,0.37471,1.32882,0.31461,0.57833,0.61722,0.56722,19.56313,27.12833,18.12519,0.08,0.08695652173913043,0.08333333333333333,0.043478260869565216
a0ab1379990f,GSTP1,ATF4;BHLHE40;CD59;CEBPD;CLK1;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;HES1;HNRNPA1;HSPA5;ID1;JUN;JUNB;JUND;LTF;NR4A1;P4HB;PAX8;PKM;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TPI1;TRIM28;UBXN1,33,100.0,exp02-coregnet,0.37601,1.25958,0.32273,0.56787,0.58396,0.55903,21.22733,21.72546,20.50707,0.06060606060606061,0.05128205128205128,0.05555555555555555,0.02857142857142857
50584a809a06,HBB,BHLHE40;EGR1;FOS;JUN;LTF;NR4A1,6,100.0,exp02-coregnet,0.50366,1.93769,0.39368,0.56667,0.8,0.53333,20.39476,74.83691,12.21568,0.16666666666666666,0.01694915254237288,0.030769230769230767,0.015625
