cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
88eee3fe1622,ACTA2,STAT6;NFE2L1;EPAS1;TRIM28;EZR;ENO1;PKM;P4HB;TAGLN2;JUNB;CEBPD;YBX1;CD59;SNRNP70;ILF2;ID1;SF1;RPS10;JUND;UBXN1,20,90.9091,0.3693,exp02_kidney_cortex-coregtor-default
aa821fb8cb0a,ACTB,STAT6;EZR;P4HB;ENO1;UBXN1;TAGLN2;TRIM28;SF1;EPAS1;PKM;SNRNP70;NFE2L1;HNRNPA1;CD59;ILF2,15,100.0,0.0,exp02_kidney_cortex-coregtor-default
b59d07da3f9d,APOE,AKR1A1;CAT;GADD45A;SUCLG1;SOD1;SRP9;HADHB;YWHAE;PKM;PRDX5,10,76.9231,0.4201,exp02_kidney_cortex-coregtor-default
e686402e302e,APP,PKM;TRIM28;SF1;STAT6;UBXN1;CD59;EPAS1;ENO1;YBX1;TAGLN2;CLK1;NUCB1;P4HB;SNRNP70;NFE2L1;YWHAE;HNRNPA1,17,100.0,0.0,exp02_kidney_cortex-coregtor-default
07e8ea721d4f,CDKN1C,GADD45A;CSNK2B;SRP9;YWHAE;ATF4;TPI1;JUN;HADHB;SOD1;HES1;BHLHE40;RPL35;PRDX5;TAGLN2;ID2;DDIT3;JUNB;NUCB1;NR4A1;SUCLG1;JUND;YBX1;RPL6;CD59;CEBPD;EPAS1;TRIM28;CAT,28,90.3226,0.3802,exp02_kidney_cortex-coregtor-default
6442e4d294d0,CDKN1C,ILF2;NFE2L1,2,6.4516,0.1258,exp02_kidney_cortex-coregtor-default
e02c43524f0b,CLU,NUCB1;STAT6;P4HB;CEBPD;LTF;TAGLN2;NFE2L1;CD59;UBXN1;EZR;RPS4X;RPS10;JUNB;HNRNPA1;ENO1;BHLHE40;PKM;CLK1;ID2;ATF4;JUN;DDIT3,22,100.0,0.0,exp02_kidney_cortex-coregtor-default
55184b424aa9,CRYAB,NUCB1;GADD45A;ILF2;GOT1;STAT6;P4HB;EZR;PAX8;NR4A1;LTF;CEBPD;HES1;SUCLG1;SOD1,14,93.3333,0.4222,exp02_kidney_cortex-coregtor-default
d4bc1c74f3ed,DUSP1,HES1;JUND;JUNB;FOS;NR4A1;EGR1;JUN;ATF4;BHLHE40;DDIT3;SF1;TRIM28;CLK1,13,100.0,0.0,exp02_kidney_cortex-coregtor-default
ef09ada79952,GADD45B,JUND;EGR1;DDIT3;JUNB;ATF4;GADD45A;NR4A1;BHLHE40;FOS;HSPA5;CAT;TPI1;ID2;CSNK2B;CD59;JUN;CEBPD;HADHB;YWHAE;PKM;ILF2;EZR;YBX1;HES1,24,96.0,0.4932,exp02_kidney_cortex-coregtor-default
