cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
acc245a85823,ACTA2,EPAS1;STAT6;PKM;ENO1;TRIM28,5,22.7273,0.2206,exp02_kidney_cortex-coregtor-n_five
8a84984a5daa,ACTB,STAT6;P4HB;TRIM28;EZR;EPAS1,5,33.3333,0.6474,exp02_kidney_cortex-coregtor-n_five
3d9d27929dd0,APOE,AKR1A1;SOD1;SUCLG1;CAT;GADD45A,5,38.4615,0.4477,exp02_kidney_cortex-coregtor-n_five
fb91d37ecfca,APP,STAT6;PKM;TRIM28;EPAS1;UBXN1;SF1,6,35.2941,0.5035,exp02_kidney_cortex-coregtor-n_five
357e37f29669,CDKN1C,TPI1;ATF4;SRP9;HADHB;GADD45A,5,16.129,0.2257,exp02_kidney_cortex-coregtor-n_five
8540b8c00ed7,CLU,P4HB;NUCB1;STAT6;EZR;CEBPD,5,22.7273,0.3133,exp02_kidney_cortex-coregtor-n_five
6193dfd7c352,CLU,RPS4X;NFE2L1,2,9.0909,0.0859,exp02_kidney_cortex-coregtor-n_five
2f0d0725ef3b,CRYAB,ILF2;NUCB1;EZR;GADD45A;GOT1,5,33.3333,0.343,exp02_kidney_cortex-coregtor-n_five
60a357d3f669,DUSP1,FOS;JUNB;NR4A1;HES1;EGR1,5,38.4615,0.5651,exp02_kidney_cortex-coregtor-n_five
2566cd132e0c,GADD45B,DDIT3;BHLHE40;ATF4;JUNB;HSPA5,5,20.0,0.2762,exp02_kidney_cortex-coregtor-n_five
91f5d216f227,GSTP1,SF1;UBXN1;STAT6;TRIM28;TAGLN2,5,33.3333,0.434,exp02_kidney_cortex-coregtor-n_five
c9f7210fdda4,HBB,RPL6;CSNK2B;SOD1;YBX1;RPL35,5,15.625,0.2731,exp02_kidney_cortex-coregtor-n_five
008690763a51,HLA-DRB1,ATF4;SNRNP70;UBXN1;STAT6;TAGLN2,5,20.0,0.3389,exp02_kidney_cortex-coregtor-n_five
69adf4ccee88,HLA-E,HNRNPA1;ATF4;TAGLN2;RPS10;UBXN1;STAT6,6,20.0,0.2738,exp02_kidney_cortex-coregtor-n_five
4ce76a4beae7,HSP90AA1,NUCB1;JUN;HSPA5;JUND;PAX8,5,31.25,0.598,exp02_kidney_cortex-coregtor-n_five
1510b60a4361,HSPA1A,JUND;JUN;HSPA5;DDIT3;NUCB1,5,29.4118,0.5651,exp02_kidney_cortex-coregtor-n_five
6945d3107eeb,NDRG1,TPI1;P4HB;BHLHE40;CD59;DDIT3,5,14.7059,0.2777,exp02_kidney_cortex-coregtor-n_five
b604124553e7,RHOA,UBXN1;CSNK2B;TRIM28;STAT6;P4HB;HNRNPA1;TAGLN2,7,38.8889,0.3492,exp02_kidney_cortex-coregtor-n_five
c1b0b4954cf3,SOD2,BHLHE40;GADD45A,2,8.3333,0.421,exp02_kidney_cortex-coregtor-n_five
a38e3adc2db3,SOD2,LTF;P4HB;HSPA5;TPI1;NUCB1,5,20.8333,0.2826,exp02_kidney_cortex-coregtor-n_five
ecd7c3a235f5,SPARC,TAGLN2;P4HB;STAT6;EPAS1;TRIM28,5,31.25,0.3755,exp02_kidney_cortex-coregtor-n_five
f3121b4aafde,TAGLN,EPAS1;CEBPD;TAGLN2;STAT6;UBXN1,5,20.8333,0.2779,exp02_kidney_cortex-coregtor-n_five
665840985508,TIMP1,TAGLN2;STAT6;P4HB;CEBPD;ENO1,5,33.3333,0.434,exp02_kidney_cortex-coregtor-n_five
67405bc4470f,TIMP1,JUNB;HNRNPA1,2,13.3333,0.2428,exp02_kidney_cortex-coregtor-n_five
76c9ea261d6b,TIMP1,UBXN1;TRIM28,2,13.3333,0.1946,exp02_kidney_cortex-coregtor-n_five
1857a5fb174d,TIMP3,SF1;EPAS1;UBXN1;ID1;CEBPD;PKM,6,33.3333,0.2657,exp02_kidney_cortex-coregtor-n_five
d097c485e6fe,TXN,SUCLG1;AKR1A1;SOD1;PRDX5;CAT;SRP9,6,42.8571,0.6054,exp02_kidney_cortex-coregtor-n_five
5d47f66b68ba,VEGFA,TPI1;P4HB;DDIT3;BHLHE40;HSPA5,5,15.1515,0.3477,exp02_kidney_cortex-coregtor-n_five
e0c2864eb466,VIM,TAGLN2;STAT6;HNRNPA1;TRIM28;RPS10,5,20.8333,0.28,exp02_kidney_cortex-coregtor-n_five
