"Regulator","Target"
"BHLHE40","FN1"
"BHLHE40","CDKN1A"
"BHLHE40","SOCS3"
"BHLHE40","DUSP1"
"BHLHE40","GADD45B"
"BCL3","FN1"
"BCL3","HLA-E"
"BCL3","CDKN1A"
"BCL3","NFKBIA"
"BCL3","HBB"
"BCL3","SOCS3"
"BCL3","GADD45B"
"BCL3","PDK4"
"GADD45A","FN1"
"GADD45A","CLU"
"GADD45A","HLA-E"
"GADD45A","CDKN1A"
"GADD45A","NFKBIA"
"GADD45A","HBB"
"GADD45A","SOCS3"
"GADD45A","TAGLN"
"GADD45A","SPARC"
"GADD45A","TIMP1"
"GADD45A","DUSP1"
"GADD45A","GADD45B"
"NR4A1","FN1"
"NR4A1","HLA-E"
"NR4A1","CDKN1A"
"NR4A1","NFKBIA"
"NR4A1","SOCS3"
"NR4A1","TAGLN"
"NR4A1","TIMP3"
"NR4A1","DUSP1"
"NR4A1","GADD45B"
"FOS","PDK4"
"FOS","DUSP1"
"FOS","FN1"
"FOS","HBB"
"FOS","TAGLN"
"FOS","SPARC"
"EGR1","PDK4"
"EGR1","NFKBIA"
"EGR1","SOCS3"
"EGR1","DUSP1"
"EGR1","GADD45B"
"EGR1","TIMP1"
"EPAS1","HLA-E"
"EPAS1","TIMP3"
"TRIP10","HLA-E"
"ETS2","HLA-E"
"ETS2","CDKN1A"
"ETS2","NFKBIA"
"JUN","HLA-E"
"JUN","HSP90AA1"
"JUN","DUSP1"
"JUN","GADD45B"
"JUNB","HLA-E"
"JUNB","CDKN1A"
"JUNB","NFKBIA"
"JUNB","SOCS3"
"JUNB","DUSP1"
"JUNB","GADD45B"
"KLF9","NFKBIA"
"KLF9","TIMP3"
"KLF4","NFKBIA"
"KLF4","DUSP1"
"HSPA5","HSP90AA1"
