cluster_uid,target,sources,n_sources,n_percent,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
a725f89d3bed,CDKN1A,BCL3;BHLHE40;ETS2;GADD45A;JUNB;NR4A1,6,100.0,exp02-coregnet,0.5,0.6,0.5,11.86504,28.62158,4.70079,0.53022,1.72582,0.44309,0.5,0.01181,0.02308,0.01167
790aad3c88f5,DUSP1,BHLHE40;EGR1;FOS;GADD45A;JUN;JUNB;KLF4;NR4A1,8,100.0,exp02-coregnet,0.58929,0.875,0.57143,27.01095,87.4822,13.20002,0.56541,2.13173,0.44505,0.125,0.03448,0.05405,0.02778
db3caaa0d0d6,FN1,BCL3;BHLHE40;FOS;GADD45A;NR4A1,5,100.0,exp02-coregnet,0.55,0.7,0.55,17.23987,43.2463,7.27964,0.48542,1.80663,0.36128,0.2,0.01538,0.02857,0.01449
4d6648455a18,GADD45B,BCL3;BHLHE40;EGR1;GADD45A;JUN;JUNB;NR4A1,7,100.0,exp02-coregnet,0.59524,0.78571,0.57143,17.31539,64.08801,9.11151,0.5351,1.91042,0.41864,0.28571,0.08696,0.13333,0.07143
30402593726c,HBB,BCL3;FOS;GADD45A,3,100.0,exp02-coregnet,0.66667,0.83333,0.66667,9.68784,51.7687,5.45149,0.48208,1.8915,0.32164,0.0,0.0,0.0,0.0
7676a2212a36,HLA-E,BCL3;EPAS1;ETS2;GADD45A;JUN;JUNB;NR4A1;TRIP10,8,100.0,exp02-coregnet,0.57143,0.66071,0.57143,13.51389,37.33123,8.59455,0.48533,1.55758,0.41592,0.0,0.0,0.0,0.0
ee8724bea8e4,HSP90AA1,HSPA5;JUN,2,100.0,exp02-coregnet,1.0,1.0,0.5,42.42484,106.32023,17.33513,0.34869,1.30223,0.29021,0.5,0.05,0.09091,0.04762
22a8f8cee277,NFKBIA,BCL3;EGR1;ETS2;GADD45A;JUNB;KLF4;KLF9;NR4A1,8,100.0,exp02-coregnet,0.5119,0.71429,0.5119,8.49061,41.86443,4.46197,0.53033,1.86345,0.42912,0.125,0.02941,0.04762,0.02439
b1adc419ccf3,PDK4,BCL3;EGR1;FOS,3,100.0,exp02-coregnet,0.66667,0.83333,0.66667,10.72783,115.52275,7.87602,0.51737,2.11297,0.35231,0.33333,0.04348,0.07692,0.04
e1d90d8595ad,SOCS3,BCL3;BHLHE40;EGR1;GADD45A;JUNB;NR4A1,6,100.0,exp02-coregnet,0.53333,0.7,0.53333,12.11758,43.583,4.89429,0.51858,1.84222,0.40271,0.0,0.0,0.0,0.0
2e78c88604c5,SPARC,FOS;GADD45A,2,100.0,exp02-coregnet,0.5,1.0,0.5,16.58127,69.09518,6.04405,0.421,1.67834,0.27896,0.0,0.0,0.0,0.0
36a58443b0f4,TAGLN,FOS;GADD45A;NR4A1,3,100.0,exp02-coregnet,0.5,0.83333,0.5,26.59101,76.4708,9.69058,0.4809,1.89625,0.35318,0.0,0.0,0.0,0.0
94f40e30757f,TIMP1,EGR1;GADD45A,2,100.0,exp02-coregnet,0.5,1.0,0.5,2.30408,56.55149,2.60999,0.44908,1.90688,0.30103,0.5,0.02632,0.05,0.02564
bf47a859f95b,TIMP3,EPAS1;KLF9;NR4A1,3,100.0,exp02-coregnet,0.5,0.5,0.5,6.16953,16.25324,5.86171,0.59152,1.93095,0.53532,0.0,0.0,0.0,0.0
