cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
f6887a3a1a77,ACTA2,YWHAZ;TAGLN2;EZR;CLK1;CSNK2B;HNRNPA1;TBX2;GADD45A;NUCB1;XBP1;TRIP10;YBX1;BHLHE40;NPDC1;NR4A1;PKM;ATF4;CEBPD;SF1;TPI1;KLF9,21,100.0,0.0,exp02_lung-coregtor-default
09b3b24f1c66,ACTB,YWHAZ;YWHAE;P4HB;PKM;ENO1;TPI1,6,100.0,0.0,exp02_lung-coregtor-default
d78062c33de5,APOE,TAGLN2;TRIP10;STAT3;CEBPD;ETS2;GADD45A;ANXA1;BCL6;SF1;NPDC1,10,100.0,0.0,exp02_lung-coregtor-default
eda67c30f788,APP,EPAS1;YWHAE,2,100.0,0.0,exp02_lung-coregtor-default
8777a4a74869,CDKN1A,GADD45A;BCL3;ETS2,3,100.0,0.0,exp02_lung-coregtor-default
15879e323404,CLU,TRIP10;GADD45A;RPL6;NUCB1;STAT6;CLK1;RPS4X;ANXA1;PSMA6;CEBPD;ATF4;NPDC1;RPL35;HNRNPA1;SNRNP70;HSPA5;EPAS1;ID1;JUN;ETS2;EZR;YBX1;KLF6;YWHAE;TAGLN2,25,100.0,0.0,exp02_lung-coregtor-default
afc06baf4837,DUSP1,JUN;NR4A1;EGR1,3,100.0,0.0,exp02_lung-coregtor-default
26af28f5ac86,FN1,YWHAZ;HNRNPA1;TRIP10;GADD45A;CSNK2B;BCL3,6,100.0,0.0,exp02_lung-coregtor-default
4ad79598b9de,GSTP1,PRDX5,1,100.0,0.0,exp02_lung-coregtor-default
d70b6cc1225f,HBB,TAGLN2;BHLHE40;NR4A1;TRIP10;NPDC1;RPL35;SNRNP70;RPL6;BCL6;JUNB;XBP1;TBX2;CSNK2B;STAT6;CEBPD;CLK1,16,100.0,0.0,exp02_lung-coregtor-default
66d631eccd16,HLA-DRB1,TAGLN2;RPL6;BHLHE40;EPAS1;BCL3;JUND;RPS10;JUNB;STAT6;NUCB1;P4HB;ETS2;JUN;RPL35;ANXA1;YWHAZ;NPDC1;YWHAE;PRDX5,19,100.0,0.0,exp02_lung-coregtor-default
6b9b5eb9e97b,HLA-E,TRIP10;EPAS1,2,100.0,0.0,exp02_lung-coregtor-default
b6578c3957f6,HSP90AA1,NUCB1;CLK1;ANXA1;STAT6;KLF6;GADD45A;EPAS1,7,100.0,0.0,exp02_lung-coregtor-default
c24eb6285aba,HSPA1A,CLK1;NUCB1;ANXA1;KLF6;NR4A1;JUN;STAT6;YBX1,8,100.0,0.0,exp02_lung-coregtor-default
c47dcf98c285,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,7,87.5,0.5796,exp02_lung-coregtor-default
bd9c5ea9b062,PDK4,KLF9;KLF4;BHLHE40;BCL3;CEBPB;PKM;STAT3;EPAS1;KLF6,9,100.0,0.0,exp02_lung-coregtor-default
24cb0d8e0a5b,RHOA,YWHAE;YWHAZ;TAGLN2,3,100.0,0.0,exp02_lung-coregtor-default
35d7b7e72d9e,SOCS3,BCL3;JUNB;ETS2;KLF9;BHLHE40;GADD45A;STAT6;KLF4,8,100.0,0.0,exp02_lung-coregtor-default
a2f1f0768845,SPARC,TBX2;ETS2;CSNK2B;YWHAZ;TAGLN2;TRIP10;CLK1;EZR;HNRNPA1;CEBPD;NPDC1;PRDX5;XBP1;GADD45A,14,100.0,0.0,exp02_lung-coregtor-default
9416242395be,TAGLN,ATF4;TAGLN2;EZR;GADD45A;CSNK2B;YBX1;TRIP10;HNRNPA1;YWHAZ;CLK1;TBX2,11,100.0,0.0,exp02_lung-coregtor-default
f4852a2cbde1,TIMP1,TPI1;PKM;YBX1;TBX2;P4HB;RPL35;HNRNPA1;CD59;EZR;PSMA6;CSNK2B,11,100.0,0.0,exp02_lung-coregtor-default
914940cd6a70,TIMP3,EPAS1;KLF9,2,100.0,0.0,exp02_lung-coregtor-default
c7bfca208ce9,VIM,XBP1;RPL6;TBX2;CLK1;NPDC1;RPL35;ENO1,7,100.0,0.0,exp02_lung-coregtor-default
