cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
da22c435fa10,ACTA2,TBX2;XBP1;CSNK2B;CLK1;YWHAZ,5,23.8095,0.1723,exp02_lung-coregtor-n_five,0.48333,0.46667,0.48333,6.29353,6.23536,6.10165,0.35712,1.34958,0.28626,0.0,0.0,0.0,0.0
f7199323b626,ACTB,TPI1;P4HB;ENO1;PKM;YWHAE,5,83.3333,0.3165,exp02_lung-coregtor-n_five,0.6,0.95,0.65,74.87288,102.72596,91.41846,0.41843,1.55745,0.3521,0.0,0.0,0.0,0.0
33383cbef980,APOE,TAGLN2;STAT3;ETS2;TRIP10;BCL6,5,50.0,0.2689,exp02_lung-coregtor-n_five,0.55,0.58333,0.55,5.96964,26.81592,6.21246,0.31791,0.9478,0.29824,0.0,0.0,0.0,0.0
9da916193cec,APP,EPAS1;YWHAE,2,100.0,0.0,exp02_lung-coregtor-n_five,0.5,0.5,0.5,7.58712,12.98816,3.54955,0.36782,1.22541,0.29838,0.0,0.0,0.0,0.0
18ff1e68ece5,CDKN1A,GADD45A;BCL3;ETS2,3,100.0,0.0,exp02_lung-coregtor-n_five,0.5,0.5,0.5,4.22556,19.23826,3.1972,0.45379,1.52727,0.35943,0.33333,0.00394,0.00778,0.00391
c140415d8fca,CLU,CLK1;ANXA1,2,8.0,0.4632,exp02_lung-coregtor-n_five,0.5,0.33333,0.5,2.97609,0.0,2.65602,0.22068,0.68414,0.20554,0.0,0.0,0.0,0.0
564ea328c958,CLU,PSMA6;NUCB1;STAT6;RPL6;NPDC1,5,20.0,0.1881,exp02_lung-coregtor-n_five,0.5,0.48333,0.5,4.72527,9.08012,5.88,0.30901,0.70037,0.32634,0.0,0.0,0.0,0.0
ac7f3d159fbc,DUSP1,JUN;NR4A1;EGR1,3,100.0,0.0,exp02_lung-coregtor-n_five,0.66667,1.0,0.5,29.37416,165.43855,14.145,0.59718,2.18445,0.47454,0.33333,0.03448,0.0625,0.03226
88cf45584e84,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,5,83.3333,0.6782,exp02_lung-coregtor-n_five,0.6,0.55,0.6,25.80721,12.15437,18.99265,0.39273,1.20492,0.33923,0.0,0.0,0.0,0.0
1a2de3b47569,HBB,SNRNP70;BCL6;BHLHE40;RPL35;TAGLN2,5,31.25,0.1982,exp02_lung-coregtor-n_five,0.55,0.46667,0.55,30.95684,2.28228,30.75481,0.2923,0.85049,0.27329,0.0,0.0,0.0,0.0
e1ec3b26b61f,HBB,NPDC1;TRIP10,2,12.5,0.1899,exp02_lung-coregtor-n_five,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.37637,0.54049,0.43187,0.0,0.0,0.0,0.0
