cluster_uid,target,sources,n_sources,n_percent,method
4c6c2b7cda63,CDKN1A,BCL6;CEBPB;CEBPD;GADD45A,4,100.0,exp02-coregnet
4792769e26db,CRYAB,SMPX,1,100.0,exp02-coregnet
3c793c98e5f8,DUSP1,CEBPB;CEBPD;GADD45A;JUNB;NR4A1,5,100.0,exp02-coregnet
e7d9286c4197,HMOX1,CEBPD;GADD45A;MYF6,3,100.0,exp02-coregnet
31e429cf5b6a,HSP90AA1,BCL6;CEBPD;GADD45A;JUNB;MYF6,5,100.0,exp02-coregnet
b1db08ca915b,MAT2A,BHLHE40;CEBPB;CEBPD;GADD45A;JUNB;KLF10;NR4A1,7,100.0,exp02-coregnet
7f29537a7b08,MCL1,BCL6;CEBPB;CEBPD;ENO1;GADD45A;GPD1;JUNB;KLF9;MYF6,9,100.0,exp02-coregnet
81774a5370b2,NFKBIA,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,7,100.0,exp02-coregnet
0231f09b46ef,PDK4,BCL6;CEBPD;GADD45A,3,100.0,exp02-coregnet
499ad07c5fa5,PER1,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,7,100.0,exp02-coregnet
c8607abbb3e6,SOD2,BCL6;GADD45A;NR4A1,3,100.0,exp02-coregnet
a45d1269a726,SPARC,CEBPD;GADD45A;JUNB;NR4A1,4,100.0,exp02-coregnet
667530ecccd5,SQSTM1,BCL6;CEBPD;GADD45A;MYF6,4,100.0,exp02-coregnet
8c9e35af5afe,TAGLN,CEBPD;JUNB;NR4A1,3,100.0,exp02-coregnet
c0481a9bb269,TIMP3,CEBPD;GADD45A;JUNB;KLF9,4,100.0,exp02-coregnet
480dfffb001b,VEGFA,BHLHE40;KLF10;MYF6;NR4A1,4,100.0,exp02-coregnet
5025474aaf14,VIM,CEBPD;GADD45A;JUNB;MYF6;NR4A1,5,100.0,exp02-coregnet
