cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
4c6c2b7cda63,CDKN1A,BCL6;CEBPB;CEBPD;GADD45A,4,100.0,exp02-coregnet,0.55274,1.97203,0.42526,0.58333,0.83333,0.55556,19.9445,71.95454,9.47161,0.5,0.007874015748031496,0.015503875968992248,0.0078125
3c793c98e5f8,DUSP1,CEBPB;CEBPD;GADD45A;JUNB;NR4A1,5,100.0,exp02-coregnet,0.57961,2.00442,0.48207,0.55,0.75,0.58333,30.88129,72.70027,12.06265,0.2,0.034482758620689655,0.0588235294117647,0.030303030303030304
e7d9286c4197,HMOX1,CEBPD;GADD45A;MYF6,3,100.0,exp02-coregnet,0.50187,1.5357,0.43893,0.44444,0.5,0.38889,6.36913,7.60815,0.37814,0.0,0.0,0.0,0.0
31e429cf5b6a,HSP90AA1,BCL6;CEBPD;GADD45A;JUNB;MYF6,5,100.0,exp02-coregnet,0.57383,1.85589,0.48566,0.51667,0.7,0.48333,9.12518,26.91643,2.75752,0.0,0.0,0.0,0.0
b1db08ca915b,MAT2A,BHLHE40;CEBPB;CEBPD;GADD45A;JUNB;KLF10;NR4A1,7,100.0,exp02-coregnet,0.58353,1.92339,0.50073,0.51587,0.71429,0.53968,20.23003,44.13108,7.75178,0.0,0.0,0.0,0.0
7f29537a7b08,MCL1,BCL6;CEBPB;CEBPD;ENO1;GADD45A;GPD1;JUNB;KLF9;MYF6,9,100.0,exp02-coregnet,0.45696,1.50103,0.399,0.49074,0.61574,0.52315,9.06846,22.51765,6.07668,0.0,0.0,0.0,0.0
81774a5370b2,NFKBIA,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,7,100.0,exp02-coregnet,0.56172,1.87204,0.47756,0.50794,0.71429,0.53175,11.46047,36.33367,5.40389,0.14285714285714285,0.029411764705882353,0.04878048780487805,0.025
0231f09b46ef,PDK4,BCL6;CEBPD;GADD45A,3,100.0,exp02-coregnet,0.52327,1.76316,0.3962,0.5,0.83333,0.44444,7.86685,32.68857,1.40889,0.0,0.0,0.0,0.0
499ad07c5fa5,PER1,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,7,100.0,exp02-coregnet,0.56172,1.87204,0.47756,0.50794,0.71429,0.53175,11.46047,36.33367,5.40389,0.0,0.0,0.0,0.0
c8607abbb3e6,SOD2,BCL6;GADD45A;NR4A1,3,100.0,exp02-coregnet,0.50457,1.81749,0.38243,0.5,0.83333,0.5,13.07011,41.57081,5.04093,0.0,0.0,0.0,0.0
a45d1269a726,SPARC,CEBPD;GADD45A;JUNB;NR4A1,4,100.0,exp02-coregnet,0.58099,1.89347,0.49705,0.5,0.66667,0.47222,24.06845,46.61981,5.31298,0.0,0.0,0.0,0.0
667530ecccd5,SQSTM1,BCL6;CEBPD;GADD45A;MYF6,4,100.0,exp02-coregnet,0.51983,1.67172,0.43015,0.44444,0.66667,0.41667,4.27632,17.35309,0.89351,0.0,0.0,0.0,0.0
8c9e35af5afe,TAGLN,CEBPD;JUNB;NR4A1,3,100.0,exp02-coregnet,0.72937,2.32035,0.66321,0.5,0.83333,0.5,26.74663,65.14317,7.00841,0.0,0.0,0.0,0.0
c0481a9bb269,TIMP3,CEBPD;GADD45A;JUNB;KLF9,4,100.0,exp02-coregnet,0.56474,1.79181,0.49763,0.47222,0.66667,0.47222,13.07003,25.00499,3.15046,0.0,0.0,0.0,0.0
480dfffb001b,VEGFA,BHLHE40;KLF10;MYF6;NR4A1,4,100.0,exp02-coregnet,0.61239,1.9337,0.55387,0.47222,0.63889,0.47222,3.96616,10.73467,1.97181,0.25,0.007042253521126761,0.013698630136986302,0.006896551724137931
5025474aaf14,VIM,CEBPD;GADD45A;JUNB;MYF6;NR4A1,5,100.0,exp02-coregnet,0.58391,1.85873,0.51552,0.48333,0.6,0.45,14.98596,29.36507,3.38296,0.0,0.0,0.0,0.0
