cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
02a7c9b97329,ACTB,HNRNPA1;RPL35;ENO1;CSNK2B;SNRNP70,5,38.4615,0.243,exp02_muscle_skeletal-coregtor-n_five
f8f7023987ff,CARM1,SF1;TAF7;YBX1;KLF10;MEF2D,5,50.0,0.3908,exp02_muscle_skeletal-coregtor-n_five
320f45d9936b,CDKN1A,HNRNPA1;ENO1;GADD45A;SF1;CSNK2B,5,62.5,0.3643,exp02_muscle_skeletal-coregtor-n_five
cf3d70029473,CRYAB,NR4A1;CYB5R1;BHLHE40;PDLIM5;CFL2,5,38.4615,0.4498,exp02_muscle_skeletal-coregtor-n_five
bb4189a5ad27,DUSP1,NR4A1;JUNB;CEBPB;HNRNPA1;CEBPD,5,35.7143,0.3694,exp02_muscle_skeletal-coregtor-n_five
8281ae713b55,DUSP1,CSNK2B;RPS4X,2,14.2857,0.3183,exp02_muscle_skeletal-coregtor-n_five
839015921096,GSTP1,DRAP1;CSNK2B;UBXN1;PSMA6;RPS10,5,83.3333,0.7856,exp02_muscle_skeletal-coregtor-n_five
d1b40d83698b,HBB,UGP2;ESRRA;RPL35,3,12.5,0.2161,exp02_muscle_skeletal-coregtor-n_five
76845f45761c,HBB,GPD1;CEBPD;ENO1;HNRNPA1;SNRNP70;CFL2,6,25.0,0.0604,exp02_muscle_skeletal-coregtor-n_five
aa76e1697b97,HLA-E,RPL35;HNRNPA1;SNRNP70;CEBPD;RPS4X,5,71.4286,0.5343,exp02_muscle_skeletal-coregtor-n_five
ed91ce37735a,HMOX1,MEF2D;CEBPD,2,9.0909,0.2811,exp02_muscle_skeletal-coregtor-n_five
51efbfb46cf4,HMOX1,CEBPB;UGP2;HNRNPA1;SMPX;NFIX;PKM;ENO1,7,31.8182,0.2231,exp02_muscle_skeletal-coregtor-n_five
340aaa50ca11,HMOX1,GADD45A;STUB1,2,9.0909,0.2202,exp02_muscle_skeletal-coregtor-n_five
036d2f907c39,HSP90AA1,SOD1;ATF4;SF1;YBX1;TAF7;ESRRA,6,40.0,0.2808,exp02_muscle_skeletal-coregtor-n_five
31bcb24253a5,MAT2A,NFIX;SF1;CEBPB;KLF10,4,44.4444,0.4037,exp02_muscle_skeletal-coregtor-n_five
b4538710979b,MAT2A,GADD45A;ENO1;ATF4;JUNB;BHLHE40,5,55.5556,0.3284,exp02_muscle_skeletal-coregtor-n_five
8789efabb022,MCL1,RPL6;HNRNPA1;TAF7;SNRNP70;RPS4X,5,45.4545,0.4228,exp02_muscle_skeletal-coregtor-n_five
f222c6b24805,NFKBIA,CEBPB;KLF9;BCL6,3,60.0,0.6369,exp02_muscle_skeletal-coregtor-n_five
996077035705,NFKBIA,UBXN1;CEBPD,2,40.0,0.5153,exp02_muscle_skeletal-coregtor-n_five
81b77242af1a,PDK4,KLF9;CEBPB,2,100.0,0.0,exp02_muscle_skeletal-coregtor-n_five
3fef54071da6,PDLIM7,NR4A1;ZNF358;UBXN1;RPS10,4,40.0,0.7365,exp02_muscle_skeletal-coregtor-n_five
841d93f62cb1,PDLIM7,PRDX5;GPD1;PKM;TPI1;HADHB,5,50.0,0.6239,exp02_muscle_skeletal-coregtor-n_five
3becaaa37fd7,PER1,MEF2D;CEBPB;KLF9;RPS4X;SNRNP70;RPL35;CEBPD,7,70.0,0.3205,exp02_muscle_skeletal-coregtor-n_five
399f15abd707,PRKACA,SUCLG1;RPL6;YBX1,3,20.0,0.3117,exp02_muscle_skeletal-coregtor-n_five
6767a2fba859,PRKACA,TRIP10;YWHAE;MEF2D;ESRRA;NFIC,5,33.3333,0.2394,exp02_muscle_skeletal-coregtor-n_five
1527b854a624,RHOA,RPS4X;RPL35;YWHAE;CSNK2B,4,80.0,0.2392,exp02_muscle_skeletal-coregtor-n_five
08aa776aa286,SOD2,PSMA6;TPI1;UBXN1;NFIC,4,80.0,0.6151,exp02_muscle_skeletal-coregtor-n_five
5371e5e16c2a,SPARC,HADHB;SMPX;ESRRA;JUNB;HNRNPA1,5,29.4118,0.608,exp02_muscle_skeletal-coregtor-n_five
0a86140cedb3,SQSTM1,MEF2D;PSMA6;CSNK2B;YWHAE;NFE2L1,5,71.4286,0.682,exp02_muscle_skeletal-coregtor-n_five
8a67e3f9c1bb,TAGLN,RPL35;RPS4X,2,9.5238,0.2853,exp02_muscle_skeletal-coregtor-n_five
79b0ee0a8829,TAGLN,CSNK2B;JUNB,2,9.5238,0.172,exp02_muscle_skeletal-coregtor-n_five
0561b9f991a7,TAGLN,NFIC;NFIX,2,9.5238,0.153,exp02_muscle_skeletal-coregtor-n_five
eadd38366219,TAGLN,PSMA6;CFL2;UGP2;GPD1;GOT1,5,23.8095,0.1462,exp02_muscle_skeletal-coregtor-n_five
3c1f5f7a3c68,TIMP3,SF1;JUNB;HADHB;SNRNP70;HNRNPA1,5,45.4545,0.4817,exp02_muscle_skeletal-coregtor-n_five
7b85a71ca3e4,TIMP3,KLF9;RPS4X,2,18.1818,0.3605,exp02_muscle_skeletal-coregtor-n_five
3e7965770e65,VIM,RPL35;RPS4X;SNRNP70;CSNK2B;HNRNPA1,5,55.5556,0.5243,exp02_muscle_skeletal-coregtor-n_five
