cluster_uid,target,sources,n_sources,n_percent,method
111c08881148,ACTA2,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet
d7ba41a548f7,APOE,EGR1;NR4A1,2,100.0,exp02-coregnet
a02e8cdd717c,CLU,EGR1;HSPA5;NR4A1,3,100.0,exp02-coregnet
f0202f46817d,CRYAB,BHLHE40;DDIT3;EGR1;FOS;HSPA5;JUN;JUNB;NR4A1;TFF3,9,100.0,exp02-coregnet
39ae6bbda138,DUSP1,BHLHE40;EGR1;FOS;JUN;JUNB;JUND;NR4A1,7,100.0,exp02-coregnet
cf9f75bbd169,GADD45B,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;NR4A1,7,100.0,exp02-coregnet
48445b10da7f,HBB,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet
704791ecf875,HSP90AA1,BHLHE40;DDIT3;EGR1;FOS;HSPA5;JUN;NR4A1,7,100.0,exp02-coregnet
8f8bfa6b1a09,HSPA1A,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet
b59fd4bc6876,PER1,BHLHE40;CEBPD;EGR1;FOS;JUN;JUND;NR4A1,7,100.0,exp02-coregnet
8e5b37784a37,TAGLN,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet
8500e478a7b7,TIMP1,BHLHE40;NR4A1,2,100.0,exp02-coregnet
215fcb45c687,TIMP3,EGR1;NR4A1,2,100.0,exp02-coregnet
2c5682765234,TKT,BHLHE40;EGR1;FOS;HSPA5;NR4A1,5,100.0,exp02-coregnet
556b8c1e7dfb,VIM,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet
