cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
111c08881148,ACTA2,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet,0.58712,2.24226,0.46646,0.6,0.95,0.55,29.6096,105.60594,17.99442,0.2,0.02702702702702703,0.047619047619047616,0.024390243902439025
d7ba41a548f7,APOE,EGR1;NR4A1,2,100.0,exp02-coregnet,0.55661,2.01649,0.46002,0.5,1.0,0.5,9.97791,119.71316,3.55224,0.0,0.0,0.0,0.0
a02e8cdd717c,CLU,EGR1;HSPA5;NR4A1,3,100.0,exp02-coregnet,0.41836,1.52639,0.3324,0.66667,0.66667,0.66667,16.85533,63.93414,12.25681,0.0,0.0,0.0,0.0
f0202f46817d,CRYAB,BHLHE40;DDIT3;EGR1;FOS;HSPA5;JUN;JUNB;NR4A1;TFF3,9,100.0,exp02-coregnet,0.46321,1.726,0.38042,0.625,0.76389,0.59722,18.72187,57.42212,13.15469,0.0,0.0,0.0,0.0
39ae6bbda138,DUSP1,BHLHE40;EGR1;FOS;JUN;JUNB;JUND;NR4A1,7,100.0,exp02-coregnet,0.62872,2.36325,0.51402,0.7381,0.95238,0.69048,33.03469,103.39536,20.76847,0.14285714285714285,0.034482758620689655,0.05555555555555555,0.02857142857142857
cf9f75bbd169,GADD45B,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;NR4A1,7,100.0,exp02-coregnet,0.6221,2.20994,0.52308,0.61905,0.90476,0.59524,28.3573,86.27465,16.50442,0.2857142857142857,0.08695652173913043,0.13333333333333333,0.07142857142857142
48445b10da7f,HBB,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet,0.58712,2.24226,0.46646,0.6,0.95,0.55,29.6096,105.60594,17.99442,0.2,0.01694915254237288,0.03125,0.015873015873015872
704791ecf875,HSP90AA1,BHLHE40;DDIT3;EGR1;FOS;HSPA5;JUN;NR4A1,7,100.0,exp02-coregnet,0.51388,2.00104,0.40081,0.66667,0.83333,0.61905,23.5133,74.83363,16.17488,0.14285714285714285,0.05,0.07407407407407408,0.038461538461538464
8f8bfa6b1a09,HSPA1A,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet,0.58712,2.24226,0.46646,0.6,0.95,0.55,29.6096,105.60594,17.99442,0.0,0.0,0.0,0.0
b59fd4bc6876,PER1,BHLHE40;CEBPD;EGR1;FOS;JUN;JUND;NR4A1,7,100.0,exp02-coregnet,0.61632,2.28262,0.50515,0.64286,0.92857,0.59524,29.91784,89.45226,16.82382,0.5714285714285714,0.15384615384615385,0.24242424242424246,0.13793103448275862
8e5b37784a37,TAGLN,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet,0.58712,2.24226,0.46646,0.6,0.95,0.55,29.6096,105.60594,17.99442,0.0,0.0,0.0,0.0
8500e478a7b7,TIMP1,BHLHE40;NR4A1,2,100.0,exp02-coregnet,0.56875,1.91702,0.47443,0.5,0.5,0.5,18.68788,24.43775,6.26446,0.0,0.0,0.0,0.0
215fcb45c687,TIMP3,EGR1;NR4A1,2,100.0,exp02-coregnet,0.55661,2.01649,0.46002,0.5,1.0,0.5,9.97791,119.71316,3.55224,0.5,0.045454545454545456,0.08333333333333334,0.043478260869565216
2c5682765234,TKT,BHLHE40;EGR1;FOS;HSPA5;NR4A1,5,100.0,exp02-coregnet,0.47363,1.79325,0.37204,0.55,0.8,0.55,17.18778,69.02418,10.15907,0.2,0.03571428571428571,0.06060606060606061,0.03125
556b8c1e7dfb,VIM,BHLHE40;EGR1;FOS;JUN;NR4A1,5,100.0,exp02-coregnet,0.58712,2.24226,0.46646,0.6,0.95,0.55,29.6096,105.60594,17.99442,0.2,0.02,0.03636363636363636,0.018518518518518517
